Выборы Президента Российской Федерации																																																																									
																																																																									
"Наименование Избирательной комиссии:    Новосибирск, Заельцовская"																																																																									
																																																																									
Итоги голосования 																																																																									
																																																																									
		Сумма	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																									
18	. Глазьев Сергей Юрьевич	3576	77	58	66	91	57	86	101	90	86	85	79	89	126	73	92	77	85	58	77	49	68	40	5	50	85	37	75	114	74	34	49	76	65	44	48	72	73	49	20	27	2	49	25	24	32	21	62	38	1	47	47	47	47	33	3	50	48	65	35	56	17	23	22	69	3	3					
		5.66%	6.40%	4.31%	7.68%	8.03%	7.55%	7.38%	8.65%	7.92%	5.40%	6.19%	6.26%	9.08%	8.81%	6.76%	6.32%	6.42%	5.99%	7.13%	5.42%	4.99%	5.26%	3.84%	2.87%	5.11%	7.25%	5.05%	5.76%	7.63%	5.79%	4.10%	5.70%	6.35%	5.65%	4.19%	4.58%	7.77%	7.84%	6.89%	2.42%	2.07%	2.11%	7.03%	4.60%	3.99%	4.91%	3.65%	6.98%	4.07%	1.15%	3.38%	5.15%	4.77%	5.04%	4.27%	0.83%	5.55%	6.29%	5.11%	5.56%	4.66%	2.78%	3.66%	2.89%	5.01%	0.94%	1.49%					
19	. Малышкин Олег Александрович	751	8	20	8	13	7	14	11	8	17	11	7	9	12	12	17	3	12	10	13	13	8	28	6	9	11	6	12	22	15	11	14	13	9	8	11	9	10	3	11	23	1	8	10	12	5	9	14	21	0	14	18	5	16	6	9	16	7	19	11	24	13	4	11	28	3	3					
		1.19%	0.66%	1.49%	0.93%	1.15%	0.93%	1.20%	0.94%	0.70%	1.07%	0.80%	0.55%	0.92%	0.84%	1.11%	1.17%	0.25%	0.85%	1.23%	0.92%	1.32%	0.62%	2.68%	3.45%	0.92%	0.94%	0.82%	0.92%	1.47%	1.17%	1.33%	1.63%	1.09%	0.78%	0.76%	1.05%	0.97%	1.07%	0.42%	1.33%	1.77%	1.05%	1.15%	1.84%	1.99%	0.77%	1.56%	1.58%	2.25%	0.00%	1.01%	1.97%	0.51%	1.72%	0.78%	2.50%	1.78%	0.92%	1.49%	1.75%	2.00%	2.13%	0.64%	1.45%	2.03%	0.94%	1.49%					
20	. Миронов Сергей Михайлович	394	8	11	6	8	0	4	8	5	10	10	18	13	11	4	13	5	18	11	5	7	3	6	2	5	8	3	7	11	7	1	2	8	7	3	2	5	5	4	8	7	2	5	0	1	3	2	3	7	0	9	6	12	1	3	5	6	6	7	8	6	4	2	8	8	0	1					
		0.62%	0.66%	0.82%	0.70%	0.71%	0.00%	0.34%	0.68%	0.44%	0.63%	0.73%	1.43%	1.33%	0.77%	0.37%	0.89%	0.42%	1.27%	1.35%	0.35%	0.71%	0.23%	0.58%	1.15%	0.51%	0.68%	0.41%	0.54%	0.74%	0.55%	0.12%	0.23%	0.67%	0.61%	0.29%	0.19%	0.54%	0.54%	0.56%	0.97%	0.54%	2.11%	0.72%	0.00%	0.17%	0.46%	0.35%	0.34%	0.75%	0.00%	0.65%	0.66%	1.22%	0.11%	0.39%	1.39%	0.67%	0.79%	0.55%	1.27%	0.50%	0.65%	0.32%	1.05%	0.58%	0.00%	0.50%					
21	. Путин Владимир Владимирович	41409	820	919	523	707	473	736	715	692	1047	870	765	564	868	665	933	777	908	482	941	672	851	760	128	665	757	482	898	968	812	554	568	750	736	689	698	522	559	430	635	1043	65	471	373	410	459	401	550	586	76	955	657	605	629	532	240	608	496	876	399	813	398	404	532	912	242	138					
