Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Монастырщинская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544					
1	"Число избирателей, внесенных в список"	10682	299	259	607	266	229	154	173	390	283	228	181	709	138	188	203	280	369	742	352	299	324	243	2702	1064					
2	Число полученных избирательных бюллетеней	10894	324	262	616	278	236	151	165	401	292	240	183	707	149	209	203	290	361	722	363	308	352	242	2744	1096					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5857	184	146	399	174	155	96	106	204	166	112	117	416	69	123	148	152	169	404	161	158	182	112	1305	599					
5	"Число избирательных бюллетеней, выданных вне помещения"	1761	64	47	92	69	63	51	22	91	53	53	22	151	39	55	35	48	102	162	131	52	100	115	125	19					
6	Число погашенных избирательных бюллетеней	3276	76	69	125	35	18	4	37	106	73	75	44	140	41	31	20	90	90	156	71	98	70	15	1314	478					
7	Число избирательных бюллетеней в переносных ящиках	1761	64	47	92	69	63	51	22	91	53	53	22	151	39	55	35	48	102	162	131	52	100	115	125	19					
8	Число бюллетеней в стационарных ящиках для голосования	5856	184	146	399	174	155	96	106	204	166	112	117	415	69	123	148	152	169	404	161	158	182	112	1305	599					
9	Число недействительных избирательных бюллетеней	49	5	0	1	0	3	3	0	0	1	2	1	0	0	0	0	0	1	4	2	1	3	3	11	8					
10	Число действительных избирательных бюллетеней	7568	243	193	490	243	215	144	128	295	218	163	138	566	108	178	183	200	270	562	290	209	279	224	1419	610					
11	Число полученных открепительных  удостоверений	390	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	30	30					
12	Число выданных открепительных удостоверений	66	1	2	0	6	7	0	0	1	1	1	0	4	3	6	0	0	0	0	3	0	2	0	17	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	52	2	1	5	2	1	1	2	1	3	0	2	3	1	3	1	2	2	5	2	0	1	1	6	5					
14	Число неиспользованных открепительных удостоверений	324	14	13	15	9	8	15	15	14	14	14	15	11	12	9	15	15	15	15	12	15	13	15	13	18					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	172	10	5	11	4	3	0	4	5	7	5	1	13	1	2	5	0	0	11	9	5	2	3	43	23					
		2.26%	4.03%	2.59%	2.24%	1.65%	1.38%	0.00%	3.12%	1.69%	3.20%	3.03%	0.72%	2.30%	0.93%	1.12%	2.73%	0.00%	0.00%	1.94%	3.08%	2.38%	0.71%	1.32%	3.01%	3.72%					
19	. Малышкин Олег Александрович	172	6	7	12	8	6	4	5	6	6	4	0	16	6	3	4	5	0	14	5	10	7	3	25	10					
		2.26%	2.42%	3.63%	2.44%	3.29%	2.75%	2.72%	3.91%	2.03%	2.74%	2.42%	0.00%	2.83%	5.56%	1.69%	2.19%	2.50%	0.00%	2.47%	1.71%	4.76%	2.48%	1.32%	1.75%	1.62%					
20	. Миронов Сергей Михайлович	63	4	4	7	0	0	0	1	0	2	2	0	2	1	1	2	0	3	4	3	2	2	1	15	7					
		0.83%	1.61%	2.07%	1.43%	0.00%	0.00%	0.00%	0.78%	0.00%	0.91%	1.21%	0.00%	0.35%	0.93%	0.56%	1.09%	0.00%	1.11%	0.71%	1.03%	0.95%	0.71%	0.44%	1.05%	1.13%					
21	. Путин Владимир Владимирович	4105	132	92	239	135	153	119	83	150	80	91	96	389	50	88	102	104	179	306	161	135	112	101	717	291					
