Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Сибайская городская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195					
1	"Число избирателей, внесенных в список"	43704	1624	1804	1989	1873	1921	2088	1840	1836	1922	1904	1474	1501	1747	1695	1944	2474	1942	1995	2057	1784	1387	1951	1369	822	761					
2	Число полученных избирательных бюллетеней	41101	1520	1700	1850	1800	1800	1950	1720	1710	1850	1770	1360	1480	1600	1610	1840	2360	1800	1850	1950	1620	1300	1860	1311	750	740					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	36519	1455	1529	1489	1572	1601	1759	1597	1557	1548	1537	1239	1218	1155	1439	1680	2172	1736	1705	1691	1530	1124	1679	1191	707	609					
5	"Число избирательных бюллетеней, выданных вне помещения"	1047	44	63	48	38	53	43	41	62	58	100	26	27	57	31	22	16	24	39	63	44	54	47	19	6	22					
6	Число погашенных избирательных бюллетеней	3535	21	108	313	190	146	148	82	91	244	133	95	235	388	140	138	172	40	106	196	46	122	134	101	37	109					
7	Число избирательных бюллетеней в переносных ящиках	1047	44	63	48	38	53	43	41	62	58	100	26	27	57	31	22	16	24	39	63	44	54	47	19	6	22					
8	Число бюллетеней в стационарных ящиках для голосования	36519	1455	1529	1489	1572	1601	1759	1597	1557	1548	1537	1239	1218	1155	1439	1680	2172	1736	1705	1691	1530	1124	1679	1191	707	609					
9	Число недействительных избирательных бюллетеней	209	8	14	9	13	6	8	3	4	3	3	5	3	4	27	28	3	18	8	3	8	5	11	4	3	8					
10	Число действительных избирательных бюллетеней	37357	1491	1578	1528	1597	1648	1794	1635	1615	1603	1634	1260	1242	1208	1443	1674	2185	1742	1736	1751	1566	1173	1715	1206	710	623					
11	Число полученных открепительных  удостоверений	595	30	25	30	20	30	10	20	35	15	15	20	25	15	50	20	30	20	20	20	30	20	30	30	20	15					
12	Число выданных открепительных удостоверений	188	7	9	4	7	7	2	6	12	8	7	5	7	9	40	3	9	6	7	4	4	3	0	7	6	9					
