Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Заиграевская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189					
1	"Число избирателей, внесенных в список"	36585	2099	1713	512	1333	2253	899	636	1172	89	981	614	1932	2141	321	318	1625	1920	2003	928	1574	463	448	203	145	203	542	189	905	1129	716	70	1013	663	382	759	418	347	1438	110	610	769					
2	Число полученных избирательных бюллетеней	35586	2000	1600	480	1300	2100	900	650	1100	85	950	600	1900	2100	310	330	1600	1900	1900	900	1550	490	440	202	144	205	540	191	900	1100	700	67	950	650	380	800	400	340	1400	112	620	700					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21016	1221	893	300	575	1294	548	442	633	65	681	340	928	1050	228	251	877	965	1110	478	950	344	320	148	117	116	261	150	664	669	518	67	658	334	216	414	251	180	613	79	526	542					
5	"Число избирательных бюллетеней, выданных вне помещения"	3001	122	126	44	185	213	89	51	121	2	66	81	78	110	14	26	173	40	171	101	35	16	21	14	9	44	89	20	48	14	42	0	63	158	75	169	69	39	241	4	9	9					
6	Число погашенных избирательных бюллетеней	11569	657	581	136	540	593	263	157	346	18	203	179	894	940	68	53	550	895	619	321	565	130	99	40	18	45	190	21	188	417	140	0	229	158	89	217	80	121	546	29	85	149					
7	Число избирательных бюллетеней в переносных ящиках	3001	122	126	44	185	213	89	51	121	2	66	81	78	110	14	26	173	40	171	101	35	16	21	14	9	44	89	20	48	14	42	0	63	158	75	169	69	39	241	4	9	9					
8	Число бюллетеней в стационарных ящиках для голосования	21015	1221	893	300	575	1294	548	442	633	65	681	340	928	1050	228	251	877	965	1110	477	950	344	320	148	117	116	261	150	664	669	518	67	658	334	216	414	251	180	613	79	526	542					
9	Число недействительных избирательных бюллетеней	380	15	15	3	18	24	8	14	17	0	20	19	14	21	0	0	23	24	10	8	30	2	5	0	3	2	8	0	11	1	0	0	5	0	4	4	9	2	26	4	2	9					
10	Число действительных избирательных бюллетеней	23636	1328	1004	341	742	1483	629	479	737	67	727	402	992	1139	242	277	1027	981	1271	570	955	358	336	162	123	158	342	170	701	682	560	67	716	492	287	579	311	217	828	79	533	542					
