Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Пошехонская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №870					
1	"Число избирателей, внесенных в список"	13748	565	226	209	425	456	685	647	243	282	279	308	463	327	405	524	110	219	372	309	348	283	422	277	1516	1482	1635	246	370	115					
2	Число полученных избирательных бюллетеней	13430	550	220	200	410	440	660	600	240	280	260	320	470	320	390	530	100	210	370	300	350	280	420	260	1500	1450	1600	240	360	100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6622	201	82	82	223	217	205	240	42	125	130	128	242	146	171	327	68	94	131	118	133	163	138	103	895	905	894	171	197	51					
5	"Число избирательных бюллетеней, выданных вне помещения"	3821	206	93	90	138	138	372	282	178	121	125	142	161	126	162	111	32	93	171	140	122	52	223	101	97	98	118	24	61	44					
6	Число погашенных избирательных бюллетеней	2987	143	45	28	49	85	83	78	20	34	5	50	67	48	57	92	0	23	68	42	95	65	59	56	508	447	588	45	102	5					
7	Число избирательных бюллетеней в переносных ящиках	3821	206	93	90	138	138	372	282	178	121	125	142	161	126	162	111	32	93	171	140	122	52	223	101	97	98	118	24	61	44					
8	Число бюллетеней в стационарных ящиках для голосования	6622	201	82	82	223	217	205	240	42	125	130	128	242	146	171	327	68	94	131	118	133	163	138	103	895	905	894	171	197	51					
9	Число недействительных избирательных бюллетеней	50	1	0	1	0	1	2	0	3	0	0	2	1	1	1	0	0	1	0	0	0	2	1	0	18	3	10	1	1	0					
10	Число действительных избирательных бюллетеней	10393	406	175	171	361	354	575	522	217	246	255	268	402	271	332	438	100	186	302	258	255	213	360	204	974	1000	1002	194	257	95					
11	Число полученных открепительных  удостоверений	598	30	11	11	20	20	30	30	12	12	11	20	20	20	20	30	8	11	20	11	20	11	20	11	50	50	50	11	20	8					
12	Число выданных открепительных удостоверений	170	6	11	4	3	1	2	4	10	5	0	19	16	1	5	20	0	2	11	0	7	5	8	3	8	8	9	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	96	0	0	2	3	7	1	1	1	2	0	1	0	1	6	3	32	3	0	0	0	2	1	0	11	11	3	3	2	0					
14	Число неиспользованных открепительных удостоверений	428	24	0	7	17	19	28	26	2	7	11	1	4	19	15	10	8	9	9	11	13	6	12	8	42	42	41	9	20	8					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																				
18	. Глазьев Сергей Юрьевич	268	10	3	6	5	2	8	12	10	4	6	5	8	5	5	10	4	2	7	1	5	10	4	2	28	35	57	1	11	2					
		2.57%	2.46%	1.71%	3.49%	1.39%	0.56%	1.39%	2.30%	4.55%	1.63%	2.35%	1.85%	1.99%	1.84%	1.50%	2.28%	4.00%	1.07%	2.32%	0.39%	1.96%	4.65%	1.11%	0.98%	2.82%	3.49%	5.63%	0.51%	4.26%	2.11%					
19	. Малышкин Олег Александрович	295	10	2	3	0	8	8	10	9	9	5	7	21	4	11	17	2	6	18	8	13	8	16	5	19	30	31	8	6	1					
		2.82%	2.46%	1.14%	1.74%	0.00%	2.25%	1.39%	1.92%	4.09%	3.66%	1.96%	2.59%	5.21%	1.47%	3.30%	3.88%	2.00%	3.21%	5.96%	3.10%	5.10%	3.72%	4.43%	2.45%	1.92%	2.99%	3.06%	4.10%	2.33%	1.05%					
20	. Миронов Сергей Михайлович	95	3	1	2	0	1	5	6	0	1	3	2	9	0	5	1	0	3	1	1	2	0	5	0	14	9	19	1	0	1					
		0.91%	0.74%	0.57%	1.16%	0.00%	0.28%	0.87%	1.15%	0.00%	0.41%	1.18%	0.74%	2.23%	0.00%	1.50%	0.23%	0.00%	1.60%	0.33%	0.39%	0.78%	0.00%	1.39%	0.00%	1.41%	0.90%	1.88%	0.51%	0.00%	1.05%					
21	. Путин Владимир Владимирович	7619	326	147	119	273	272	460	412	155	196	216	203	266	221	256	286	72	144	207	199	184	151	230	153	686	741	645	148	173	78					
		72.96%	80.10%	84.00%	69.19%	75.62%	76.62%	79.72%	78.93%	70.45%	79.67%	84.71%	75.19%	66.00%	81.25%	76.88%	65.30%	72.00%	77.01%	68.54%	77.13%	72.16%	70.23%	63.71%	75.00%	69.15%	73.88%	63.74%	75.90%	67.05%	82.11%					
22	. Хакамада Ирина Муцуовна	155	1	1	2	2	5	1	7	1	2	2	7	3	2	8	9	0	3	5	4	5	1	5	2	22	21	25	1	6	2					
		1.48%	0.25%	0.57%	1.16%	0.55%	1.41%	0.17%	1.34%	0.45%	0.81%	0.78%	2.59%	0.74%	0.74%	2.40%	2.05%	0.00%	1.60%	1.66%	1.55%	1.96%	0.47%	1.39%	0.98%	2.22%	2.09%	2.47%	0.51%	2.33%	2.11%					
23	. Харитонов Николай Михайлович	1761	42	16	36	77	61	92	67	42	31	20	40	84	33	45	107	22	26	62	42	43	34	96	40	183	136	191	28	55	10					
		16.86%	10.32%	9.14%	20.93%	21.33%	17.18%	15.94%	12.84%	19.09%	12.60%	7.84%	14.81%	20.84%	12.13%	13.51%	24.43%	22.00%	13.90%	20.53%	16.28%	16.86%	15.81%	26.59%	19.61%	18.45%	13.56%	18.87%	14.36%	21.32%	10.53%					
																																				
24	Против всех	200	14	5	3	4	5	1	8	0	3	3	4	11	6	2	8	0	2	2	3	3	9	4	2	22	28	34	7	6	1					
		1.92%	3.44%	2.86%	1.74%	1.11%	1.41%	0.17%	1.53%	0.00%	1.22%	1.18%	1.48%	2.73%	2.21%	0.60%	1.83%	0.00%	1.07%	0.66%	1.16%	1.18%	4.19%	1.11%	0.98%	2.22%	2.79%	3.36%	3.59%	2.33%	1.05%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
