Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Каменская городская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44					
1	"Число избирателей, внесенных в список"	32878	185	2823	1232	1161	1021	1106	2138	2056	2702	2796	2611	2759	2430	2737	2278	2262	581					
2	Число полученных избирательных бюллетеней	33000	200	2860	1210	1160	1030	1120	2200	2070	2670	2830	2580	2770	2460	2680	2350	2250	560					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15506	169	1318	561	554	434	479	1057	929	1421	1340	1231	1462	1100	1173	1012	970	296					
5	"Число избирательных бюллетеней, выданных вне помещения"	1472	0	130	55	96	92	102	56	100	37	94	102	29	80	265	62	117	55					
6	Число погашенных избирательных бюллетеней	16022	31	1412	594	510	504	539	1087	1041	1212	1396	1247	1279	1280	1242	1276	1163	209					
7	Число избирательных бюллетеней в переносных ящиках	1472	0	130	55	96	92	102	56	100	37	94	102	29	80	265	62	117	55					
8	Число бюллетеней в стационарных ящиках для голосования	15502	169	1317	561	554	434	479	1057	929	1421	1340	1231	1462	1099	1172	1012	969	296					
9	Число недействительных избирательных бюллетеней	118	0	8	3	1	9	7	6	11	9	7	14	15	8	8	8	3	1					
10	Число действительных избирательных бюллетеней	16856	169	1439	613	649	517	574	1107	1018	1449	1427	1319	1476	1171	1429	1066	1083	350					
11	Число полученных открепительных  удостоверений	397	5	40	15	15	7	15	43	25	25	31	25	25	35	31	25	25	10					
12	Число выданных открепительных удостоверений	291	0	39	8	8	7	5	38	13	18	26	16	25	31	26	13	14	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	170	2	7	8	8	8	12	20	4	15	11	14	12	10	5	5	18	11					
14	Число неиспользованных открепительных удостоверений	106	5	1	7	7	0	10	5	12	7	5	9	0	4	5	12	11	6					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	940	5	66	47	23	23	29	104	47	74	84	74	107	55	83	38	63	18					
		5.54%	2.96%	4.56%	7.63%	3.54%	4.37%	4.99%	9.34%	4.57%	5.08%	5.86%	5.55%	7.18%	4.66%	5.78%	3.54%	5.80%	5.13%					
19	. Малышкин Олег Александрович	354	1	29	6	9	7	6	30	34	39	30	14	29	28	30	25	27	10					
		2.09%	0.59%	2.00%	0.97%	1.38%	1.33%	1.03%	2.70%	3.30%	2.67%	2.09%	1.05%	1.95%	2.37%	2.09%	2.33%	2.49%	2.85%					
20	. Миронов Сергей Михайлович	101	1	3	7	7	4	4	6	11	5	8	9	4	9	8	6	8	1					
		0.60%	0.59%	0.21%	1.14%	1.08%	0.76%	0.69%	0.54%	1.07%	0.34%	0.56%	0.68%	0.27%	0.76%	0.56%	0.56%	0.74%	0.28%					
21	. Путин Владимир Владимирович	9256	95	909	319	390	261	319	644	521	879	811	682	738	553	765	570	558	242					
		54.53%	56.21%	62.82%	51.79%	60.00%	49.62%	54.91%	57.86%	50.63%	60.29%	56.56%	51.16%	49.50%	46.90%	53.24%	53.07%	51.38%	68.95%					
22	. Хакамада Ирина Муцуовна	317	1	27	9	12	10	6	39	21	35	25	20	27	32	19	19	12	3					
		1.87%	0.59%	1.87%	1.46%	1.85%	1.90%	1.03%	3.50%	2.04%	2.40%	1.74%	1.50%	1.81%	2.71%	1.32%	1.77%	1.10%	0.85%					
23	. Харитонов Николай Михайлович	5291	62	361	215	197	193	196	221	361	346	400	466	512	453	474	382	380	72					
		31.17%	36.69%	24.95%	34.90%	30.31%	36.69%	33.73%	19.86%	35.08%	23.73%	27.89%	34.96%	34.34%	38.42%	32.99%	35.57%	34.99%	20.51%					
																								
24	Против всех	597	4	44	10	11	19	14	63	23	71	69	54	59	41	50	26	35	4					
		3.52%	2.37%	3.04%	1.62%	1.69%	3.61%	2.41%	5.66%	2.24%	4.87%	4.81%	4.05%	3.96%	3.48%	3.48%	2.42%	3.22%	1.14%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
