Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Лебяжьевская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605					
1	"Число избирателей, внесенных в список"	15801	74	113	71	384	537	382	1139	935	701	752	598	942	844	373	444	221	627	252	330	705	59	283	109	245	49	530	202	82	348	763	268	84	187	381	331	51	293	177	258	89	87	364	137					
2	Число полученных избирательных бюллетеней	16035	73	115	73	379	551	390	1155	915	725	762	592	960	835	390	460	223	625	275	330	710	60	295	110	250	51	550	196	84	355	775	275	86	192	395	340	50	310	181	265	91	80	365	141					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9673	66	95	56	329	278	290	537	391	364	408	261	474	430	269	262	124	405	156	241	412	46	224	80	189	43	374	163	74	202	533	184	63	152	189	237	35	198	139	169	77	74	250	130					
5	"Число избирательных бюллетеней, выданных вне помещения"	1156	1	9	5	10	114	22	35	39	21	20	62	19	28	0	66	29	46	65	27	72	6	20	10	20	0	71	7	0	23	52	14	0	11	92	41	7	40	6	16	6	0	24	0					
6	Число погашенных избирательных бюллетеней	5206	6	11	12	40	159	78	583	485	340	334	269	467	377	121	132	70	174	54	62	226	8	51	20	41	8	105	26	10	130	190	77	23	29	114	62	8	72	36	80	8	6	91	11					
7	Число избирательных бюллетеней в переносных ящиках	1156	1	9	5	10	114	22	35	39	21	20	62	19	28	0	66	29	46	65	27	72	6	20	10	20	0	71	7	0	23	52	14	0	11	92	41	7	40	6	16	6	0	24	0					
8	Число бюллетеней в стационарных ящиках для голосования	9673	66	95	56	329	278	290	537	391	364	408	261	474	430	269	262	124	405	156	241	412	46	224	80	189	43	374	163	74	202	533	184	63	152	189	237	35	198	139	169	77	74	250	130					
9	Число недействительных избирательных бюллетеней	84	0	0	1	1	1	4	4	2	3	3	14	6	1	3	1	4	5	2	8	7	0	0	0	0	0	2	1	0	2	2	0	0	2	1	2	0	0	0	1	1	0	0	0					
10	Число действительных избирательных бюллетеней	10745	67	104	60	338	391	308	568	428	382	425	309	487	457	266	327	149	446	219	260	477	52	244	90	209	43	443	169	74	223	583	198	63	161	280	276	42	238	145	184	82	74	274	130					
