Выборы Президента Российской Федерации																																																																									
																																																																									
Наименование Избирательной комиссии:    Красногвардейская																																																																									
																																																																									
Итоги голосования 																																																																									
																																																																									
		Сумма	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734					
1	"Число избирателей, внесенных в список"	34228	2205	1090	1163	922	849	416	165	96	155	52	683	401	616	163	180	280	477	573	83	865	297	117	585	833	475	209	481	628	551	630	883	1051	723	449	185	140	402	151	271	279	82	142	1068	751	852	665	278	195	322	1170	591	207	588	446	479	284	1087	193	584	1117	101	673	222	931	205	221					
2	Число полученных избирательных бюллетеней	34429	2147	1101	1178	929	860	430	168	98	162	57	679	398	621	169	182	279	479	574	87	878	304	120	593	837	476	226	485	630	550	630	885	1051	727	451	190	141	402	157	275	284	83	145	1072	749	849	662	278	197	324	1182	588	207	593	447	482	285	1115	198	589	1125	104	678	222	934	210	221					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22826	1251	652	686	631	550	328	152	83	99	52	337	286	485	137	152	205	451	421	67	575	198	103	402	615	362	160	377	428	371	425	656	649	488	281	116	88	275	96	194	202	63	92	629	466	389	376	221	139	233	785	384	158	444	262	325	180	627	119	389	741	67	396	196	732	151	176					
5	"Число избирательных бюллетеней, выданных вне помещения"	3184	114	37	46	59	104	57	0	0	27	0	189	39	37	10	10	50	0	38	12	101	47	5	82	46	21	12	0	23	41	38	35	35	40	71	56	24	34	26	28	33	12	28	182	117	229	136	0	21	0	82	54	29	63	30	89	56	180	56	31	56	13	57	3	20	13	0					
6	Число погашенных избирательных бюллетеней	8419	782	412	446	239	206	45	16	15	36	5	153	73	99	22	20	24	28	115	8	202	59	12	109	176	93	54	108	179	138	167	194	367	199	99	18	29	93	35	53	49	8	25	261	166	231	150	57	37	91	315	150	20	86	155	68	49	308	23	169	328	24	225	23	182	46	45					
7	Число избирательных бюллетеней в переносных ящиках	3184	114	37	46	59	104	57	0	0	27	0	189	39	37	10	10	50	0	38	12	101	47	5	82	46	21	12	0	23	41	38	35	35	40	71	56	24	34	26	28	33	12	28	182	117	229	136	0	21	0	82	54	29	63	30	89	56	180	56	31	56	13	57	3	20	13	0					
8	Число бюллетеней в стационарных ящиках для голосования	22823	1251	652	686	631	550	328	152	83	99	52	337	286	485	137	152	205	451	421	67	575	198	103	402	615	362	160	377	428	371	425	656	648	488	281	116	88	275	96	194	202	63	92	629	466	389	376	221	139	233	785	383	158	444	262	325	180	627	119	389	741	67	396	195	732	151	176					
9	Число недействительных избирательных бюллетеней	387	9	6	11	10	7	1	0	0	0	1	2	2	3	9	18	2	20	16	1	8	5	27	4	37	3	1	22	9	4	4	0	5	6	3	1	1	9	0	0	4	0	0	2	6	7	6	6	0	4	7	4	3	3	3	10	0	10	1	7	13	0	6	7	3	5	3					
10	Число действительных избирательных бюллетеней	25620	1356	683	721	680	647	384	152	83	126	51	524	323	519	138	144	253	431	443	78	668	240	81	480	624	380	171	355	442	408	459	691	678	522	349	171	111	300	122	222	231	75	120	809	577	611	506	215	160	229	860	433	184	504	289	404	236	797	174	413	784	80	447	191	749	159	173					
11	Число полученных открепительных  удостоверений	398	40	32	12	10	6	6	6	3	3	3	6	5	7	4	4	4	4	5	3	10	3	2	8	8	4	6	4	4	4	8	8	8	8	4	4	4	3	2	3	3	2	2	8	8	8	8	3	2	3	8	8	4	6	5	4	4	7	4	5	6	3	5	3	5	3	3					
12	Число выданных открепительных удостоверений	94	16	7	2	1	4	0	0	0	0	0	0	0	5	0	0	0	1	0	0	10	1	0	1	1	0	3	2	1	2	0	0	1	0	2	1	0	2	0	2	0	0	0	5	0	0	0	0	0	0	2	1	0	2	0	3	0	4	2	3	0	1	4	2	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	61	8	5	3	1	1	0	0	0	0	0	0	2	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	1	2	0	0	5	0	0	0	1	2	0	1	0	1	0	1	3	2	4	0	0	0	0	2	0	2	0	3	0	1	0	0	0	0	0	1	4	0	1					
14	Число неиспользованных открепительных удостоверений	304	24	25	10	9	2	6	6	3	3	3	6	5	2	4	4	4	3	5	3	0	2	2	7	7	4	3	2	3	2	8	8	7	8	2	3	4	1	2	1	3	2	2	3	8	8	8	3	2	3	6	7	4	4	5	1	4	3	2	2	6	2	1	1	5	3	3					
