Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Аткарская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97					
1	"Число избирателей, внесенных в список"	34917	2000	906	1622	1380	2154	1705	1243	1919	2159	866	1340	2779	326	2183	865	670	454	338	367	435	449	1026	841	305	540	401	1177	235	417	260	486	818	360	348	591	484	468					
2	Число полученных избирательных бюллетеней	35200	2050	910	1620	1400	2200	1650	1210	1910	2200	910	1330	2800	350	2200	880	680	450	350	370	430	450	1030	850	320	530	410	1200	240	420	270	490	830	360	350	590	480	480					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	26302	1089	771	1298	963	1733	840	922	1100	1712	611	1036	1667	278	1646	662	552	393	268	262	407	404	913	775	205	487	380	1058	213	345	214	390	791	318	324	550	385	340					
5	"Число избирательных бюллетеней, выданных вне помещения"	3219	232	53	37	124	18	336	136	155	103	103	61	338	29	141	185	91	53	60	89	11	37	93	28	94	33	19	96	18	52	43	72	0	36	17	19	90	117					
6	Число погашенных избирательных бюллетеней	5679	729	86	285	313	449	474	152	655	385	196	233	795	43	413	33	37	4	22	19	12	9	24	47	21	10	11	46	9	23	13	28	39	6	9	21	5	23					
7	Число избирательных бюллетеней в переносных ящиках	3219	232	53	37	124	18	336	136	155	103	103	61	338	29	141	185	91	53	60	89	11	37	93	28	94	33	19	96	18	52	43	72	0	36	17	19	90	117					
8	Число бюллетеней в стационарных ящиках для голосования	26293	1085	771	1298	963	1733	840	922	1095	1712	611	1036	1667	278	1646	662	552	393	268	262	407	404	913	775	205	487	380	1058	213	345	214	390	791	318	324	550	385	340					
9	Число недействительных избирательных бюллетеней	369	92	2	6	2	6	2	3	19	0	26	2	45	0	7	0	2	0	49	0	4	0	6	2	0	4	0	42	0	1	0	2	4	4	2	5	5	25					
10	Число действительных избирательных бюллетеней	29143	1225	822	1329	1085	1745	1174	1055	1231	1815	688	1095	1960	307	1780	847	641	446	279	351	414	441	1000	801	299	516	399	1112	231	396	257	460	787	350	339	564	470	432					
11	Число полученных открепительных  удостоверений	760	30	20	30	20	30	30	20	30	30	30	25	40	10	20	15	15	20	15	15	15	15	20	20	20	15	15	30	20	20	15	20	15	15	15	15	15	15					
12	Число выданных открепительных удостоверений	282	25	9	21	9	17	7	9	13	27	6	13	15	0	15	13	7	0	2	8	5	5	7	0	4	3	8	2	5	2	1	5	11	1	0	6	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	277	3	10	24	8	6	8	8	24	13	11	35	10	15	4	5	3	2	2	8	5	3	9	2	0	5	6	10	4	5	2	3	3	4	3	3	7	4					
14	Число неиспользованных открепительных удостоверений	478	5	11	9	11	13	23	11	17	3	24	12	25	10	5	2	8	20	13	7	10	10	13	20	16	12	7	28	15	18	14	15	4	14	15	9	15	14					
15	"Число открепительных удостоверений, выданных в ТИК"	40	4	1	2	2	0	2	1	3	6	0	2	3	0	4	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																												
18	. Глазьев Сергей Юрьевич	416	26	25	24	14	28	32	16	18	41	9	19	32	3	43	7	0	1	1	6	4	0	8	2	2	1	3	10	0	5	0	3	13	1	1	9	4	5					
		1.41%	1.97%	3.03%	1.80%	1.29%	1.60%	2.72%	1.51%	1.44%	2.26%	1.26%	1.73%	1.60%	0.98%	2.41%	0.83%	0.00%	0.22%	0.30%	1.71%	0.96%	0.00%	0.80%	0.25%	0.67%	0.19%	0.75%	0.87%	0.00%	1.26%	0.00%	0.65%	1.64%	0.28%	0.29%	1.58%	0.84%	1.09%					
19	. Малышкин Олег Александрович	523	32	10	35	22	32	32	16	9	39	31	21	63	28	34	3	13	2	0	3	4	3	7	5	2	2	4	31	4	5	0	4	11	1	0	12	0	3					
