Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Усть-Кутская городская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400					
1	"Число избирателей, внесенных в список"	44142	128	76	67	117	95	27	124	1003	1609	1676	414	1057	908	1161	801	806	1885	1786	2569	741	1336	1653	1233	1135	1567	1393	1901	2011	2140	599	1186	1565	1703	1841	1555	841	299	109	995	443	860	727					
2	Число полученных избирательных бюллетеней	39106	132	76	66	113	95	28	123	904	1414	1496	331	920	857	1019	714	727	1754	1557	2278	559	1149	1438	1082	986	1445	1271	1607	1780	1913	523	1041	1393	1481	1588	1443	749	246	106	883	416	770	633					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20795	116	76	64	95	46	16	75	439	832	798	219	336	382	363	376	302	939	927	1248	392	495	713	606	556	819	656	856	1054	1040	293	595	583	742	859	825	328	172	67	471	191	468	365					
5	"Число избирательных бюллетеней, выданных вне помещения"	1367	0	0	0	5	6	0	0	82	21	62	7	14	32	81	28	41	31	49	45	85	47	71	23	22	20	56	128	34	45	7	12	34	25	14	36	100	0	5	36	34	20	9					
6	Число погашенных избирательных бюллетеней	16944	16	0	2	13	43	12	48	383	561	636	105	570	443	575	310	384	784	581	985	82	607	654	453	408	606	559	623	692	828	223	434	776	714	715	582	321	74	34	376	191	282	259					
7	Число избирательных бюллетеней в переносных ящиках	1367	0	0	0	5	6	0	0	82	21	62	7	14	32	81	28	41	31	49	45	85	47	71	23	22	20	56	128	34	45	7	12	34	25	14	36	100	0	5	36	34	20	9					
8	Число бюллетеней в стационарных ящиках для голосования	20733	116	76	64	95	46	16	75	439	832	736	219	336	382	363	376	302	939	927	1248	392	495	713	606	556	819	656	856	1054	1040	293	595	583	742	859	825	328	172	67	471	191	468	365					
9	Число недействительных избирательных бюллетеней	201	0	2	0	3	0	0	1	3	10	16	0	4	6	0	4	0	14	6	5	3	9	5	3	7	9	2	10	6	10	5	3	6	8	7	12	9	3	0	3	0	5	2					
10	Число действительных избирательных бюллетеней	21899	116	74	64	97	52	16	74	518	843	782	226	346	408	444	400	343	956	970	1288	474	533	779	626	571	830	710	974	1082	1075	295	604	611	759	866	849	419	169	72	504	225	483	372					
11	Число полученных открепительных  удостоверений	486	2	2	2	5	2	2	3	10	16	17	8	11	10	12	10	10	19	23	26	6	13	17	12	11	16	15	21	20	22	6	13	16	20	20	16	10	5	5	10	5	10	7					
12	Число выданных открепительных удостоверений	201	0	0	0	1	0	1	0	3	9	12	8	1	4	1	1	8	12	21	15	1	3	2	3	4	5	7	6	18	13	2	5	3	9	3	8	6	0	0	2	1	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	119	0	1	3	1	0	1	1	1	5	1	13	7	2	4	2	6	0	10	5	1	2	2	0	4	3	3	5	3	5	5	2	2	1	4	8	1	1	0	0	0	1	3					
14	Число неиспользованных открепительных удостоверений	285	2	2	2	4	2	1	3	7	7	5	0	10	6	11	9	2	7	2	11	5	10	15	9	7	11	8	15	2	9	4	8	13	11	17	8	4	5	5	8	4	10	4					
15	"Число открепительных удостоверений, выданных в ТИК"	14	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	2	1	0	0	0	2	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	. Глазьев Сергей Юрьевич	1027	4	0	3	3	1	0	1	17	44	26	8	15	27	16	17	17	47	53	60	14	18	42	33	32	57	35	51	63	77	13	32	20	45	44	31	9	4	2	21	3	11	11					
		4.65%	3.45%	0.00%	4.69%	3.00%	1.92%	0.00%	1.33%	3.26%	5.16%	3.26%	3.54%	4.29%	6.52%	3.60%	4.21%	4.96%	4.85%	5.43%	4.64%	2.94%	3.32%	5.36%	5.25%	5.54%	6.79%	4.92%	5.18%	5.79%	7.10%	4.33%	5.27%	3.24%	5.87%	5.04%	3.60%	2.10%	2.33%	2.78%	4.14%	1.33%	2.25%	2.94%					
19	. Малышкин Олег Александрович	832	5	0	1	1	5	0	0	42	33	39	23	18	22	10	15	15	32	32	43	17	15	24	20	27	16	30	38	33	46	14	16	26	29	25	32	13	4	1	25	5	26	14					
		3.76%	4.31%	0.00%	1.56%	1.00%	9.62%	0.00%	0.00%	8.06%	3.87%	4.89%	10.18%	5.14%	5.31%	2.25%	3.71%	4.37%	3.30%	3.28%	3.33%	3.56%	2.77%	3.06%	3.18%	4.67%	1.91%	4.21%	3.86%	3.03%	4.24%	4.67%	2.64%	4.21%	3.78%	2.86%	3.72%	3.04%	2.33%	1.39%	4.93%	2.22%	5.33%	3.74%					
20	. Миронов Сергей Михайлович	197	1	0	0	1	0	0	1	4	6	6	4	2	5	4	2	3	12	7	12	0	3	6	8	1	3	10	15	10	5	7	5	7	5	6	13	1	3	1	4	3	7	4					
		0.89%	0.86%	0.00%	0.00%	1.00%	0.00%	0.00%	1.33%	0.77%	0.70%	0.75%	1.77%	0.57%	1.21%	0.90%	0.50%	0.87%	1.24%	0.72%	0.93%	0.00%	0.55%	0.77%	1.27%	0.17%	0.36%	1.40%	1.52%	0.92%	0.46%	2.33%	0.82%	1.13%	0.65%	0.69%	1.51%	0.23%	1.74%	1.39%	0.79%	1.33%	1.43%	1.07%					
21	. Путин Владимир Владимирович	14518	85	62	46	72	42	11	64	347	654	538	143	228	256	280	264	227	612	584	853	339	364	473	398	368	500	437	647	685	701	201	367	383	501	554	607	307	111	54	343	163	354	293					
		65.69%	73.28%	81.58%	71.88%	72.00%	80.77%	68.75%	85.33%	66.60%	76.67%	67.42%	63.27%	65.14%	61.84%	63.06%	65.35%	66.18%	63.09%	59.84%	65.97%	71.07%	67.16%	60.33%	63.28%	63.67%	59.59%	61.38%	65.75%	62.96%	64.61%	67.00%	60.46%	62.07%	65.32%	63.46%	70.50%	71.73%	64.53%	75.00%	67.65%	72.44%	72.54%	78.34%					
22	. Хакамада Ирина Муцуовна	834	6	1	1	0	2	3	1	11	22	40	5	10	15	10	11	6	39	49	79	16	24	50	18	22	39	26	46	48	35	17	23	23	30	27	26	7	1	0	14	7	16	8					
		3.77%	5.17%	1.32%	1.56%	0.00%	3.85%	18.75%	1.33%	2.11%	2.58%	5.01%	2.21%	2.86%	3.62%	2.25%	2.72%	1.75%	4.02%	5.02%	6.11%	3.35%	4.43%	6.38%	2.86%	3.81%	4.65%	3.65%	4.67%	4.41%	3.23%	5.67%	3.79%	3.73%	3.91%	3.09%	3.02%	1.64%	0.58%	0.00%	2.76%	3.11%	3.28%	2.14%					
23	. Харитонов Николай Михайлович	3853	15	10	11	15	2	0	6	87	77	114	32	67	71	100	82	66	179	211	196	82	93	171	129	111	187	156	140	199	178	34	127	132	128	180	118	78	42	13	87	33	63	31					
		17.43%	12.93%	13.16%	17.19%	15.00%	3.85%	0.00%	8.00%	16.70%	9.03%	14.29%	14.16%	19.14%	17.15%	22.52%	20.30%	19.24%	18.45%	21.62%	15.16%	17.19%	17.16%	21.81%	20.51%	19.20%	22.29%	21.91%	14.23%	18.29%	16.41%	11.33%	20.92%	21.39%	16.69%	20.62%	13.70%	18.22%	24.42%	18.06%	17.16%	14.67%	12.91%	8.29%					
																																																	
24	Против всех	638	0	1	2	5	0	2	1	10	7	19	11	6	12	24	9	9	35	34	45	6	16	13	20	10	28	16	37	44	33	9	34	20	21	30	22	4	4	1	10	11	6	11					
		2.89%	0.00%	1.32%	3.12%	5.00%	0.00%	12.50%	1.33%	1.92%	0.82%	2.38%	4.87%	1.71%	2.90%	5.41%	2.23%	2.62%	3.61%	3.48%	3.48%	1.26%	2.95%	1.66%	3.18%	1.73%	3.34%	2.25%	3.76%	4.04%	3.04%	3.00%	5.60%	3.24%	2.74%	3.44%	2.56%	0.93%	2.33%	1.39%	1.97%	4.89%	1.23%	2.94%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
