18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																																					
19	Жириновский Владимир Вольфович	6873	81	63	77	72	65	84	84	62	81	132	62	71	88	90	25	46	21	65	51	80	21	104	54	26	10	71	36	61	60	78	90	22	49	24	59	51	73	50	17	24	7	65	23	28	55	75	68	53	39	40	73	21	82	72	84	59	58	56	12	12	14	17	57	104	43	59	56	58	69	52	57	46	46	19	80	101	75	56	42	38	18	14	93	38	38	11	81	47	52	45	75	62	74	95	82	42	46	33	56	71	63	56	56	83	87	38	61	52	54	70	138	111	70	68	74	28	88	66	25	48	5	8									
		5.95%	8.32%	6.91%	6.74%	5.10%	5.18%	5.96%	6.21%	4.61%	5.26%	9.50%	8.59%	6.59%	6.40%	5.79%	4.19%	6.39%	3.40%	7.99%	5.53%	5.92%	6.80%	7.18%	5.42%	6.07%	4.22%	7.32%	4.71%	6.61%	5.08%	5.56%	9.69%	2.28%	4.27%	2.87%	5.06%	7.47%	9.61%	6.05%	6.25%	3.35%	2.32%	6.88%	4.57%	3.61%	6.41%	8.33%	6.67%	8.10%	6.98%	5.28%	8.55%	5.16%	9.87%	7.19%	7.37%	8.04%	8.59%	7.79%	4.32%	7.41%	6.54%	6.05%	10.12%	7.49%	8.96%	5.76%	5.79%	6.09%	5.77%	6.62%	5.95%	5.99%	4.96%	6.21%	6.18%	8.88%	5.82%	8.19%	5.32%	6.85%	4.40%	2.23%	6.55%	6.40%	7.48%	3.13%	5.64%	4.75%	5.02%	4.29%	5.72%	5.52%	5.83%	7.56%	6.04%	2.98%	4.11%	2.67%	4.73%	5.46%	6.12%	5.51%	4.65%	7.24%	6.36%	5.76%	6.61%	5.25%	6.59%	4.48%	6.62%	5.76%	4.46%	4.49%	3.93%	3.65%	7.35%	6.60%	3.97%	6.40%	2.35%	2.99%									
20	Зюганов Геннадий Андреевич	15444	153	156	189	283	256	208	224	226	247	169	105	182	244	222	73	80	57	48	145	147	19	221	152	35	24	141	125	119	168	247	112	108	150	100	162	51	91	136	22	121	33	139	63	82	156	123	139	79	42	134	159	57	108	129	160	97	101	69	40	31	28	23	55	233	92	156	156	152	181	126	90	63	157	37	173	69	128	68	86	59	56	26	181	74	39	33	212	55	144	161	188	174	165	177	239	221	195	129	147	151	142	154	161	168	189	104	123	168	137	251	301	190	106	131	225	70	150	30	18	26	15	27									
		13.36%	15.72%	17.11%	16.55%	20.03%	20.41%	14.76%	16.56%	16.80%	16.03%	12.16%	14.54%	16.88%	17.73%	14.29%	12.23%	11.11%	9.24%	5.90%	15.71%	10.88%	6.15%	15.26%	15.26%	8.18%	10.13%	14.54%	16.36%	12.89%	14.24%	17.59%	12.06%	11.20%	13.08%	11.98%	13.89%	7.47%	11.97%	16.46%	8.09%	16.88%	10.93%	14.71%	12.52%	10.57%	18.18%	13.67%	13.64%	12.08%	7.51%	17.68%	18.62%	14.00%	12.99%	12.89%	14.04%	13.22%	14.96%	9.60%	14.39%	19.14%	13.08%	8.19%	9.77%	16.79%	19.17%	15.23%	16.12%	15.97%	15.13%	16.05%	9.39%	8.21%	16.94%	12.09%	13.36%	6.06%	9.94%	9.94%	10.89%	10.63%	13.69%	4.15%	12.76%	12.46%	7.68%	9.38%	14.75%	5.56%	13.90%	15.35%	14.33%	15.49%	13.00%	14.09%	17.60%	15.68%	17.41%	10.45%	12.42%	11.62%	13.79%	15.14%	13.37%	14.66%	13.82%	15.76%	13.33%	16.97%	16.71%	16.07%	14.43%	9.86%	6.75%	8.65%	11.96%	9.11%	12.53%	3.00%	2.86%	3.47%	7.04%	10.07%									
21	Миронов Сергей Михайлович	5743	51	37	47	66	47	61	65	62	68	52	48	43	72	73	31	22	27	16	27	23	9	75	42	10	9	64	51	73	91	73	37	60	45	31	43	29	27	41	13	26	16	59	23	25	61	52	69	40	18	59	46	17	33	43	43	24	34	21	14	8	14	11	30	66	21	51	43	47	71	44	37	25	43	13	55	63	71	34	33	28	19	8	69	32	31	23	99	76	56	61	107	94	108	76	84	98	71	41	68	63	66	57	69	75	79	23	33	62	39	78	112	72	68	65	101	33	81	8	12	13	7	14									
		4.97%	5.24%	4.06%	4.12%	4.67%	3.75%	4.33%	4.80%	4.61%	4.41%	3.74%	6.65%	3.99%	5.23%	4.70%	5.19%	3.06%	4.38%	1.97%	2.93%	1.70%	2.91%	5.18%	4.22%	2.34%	3.80%	6.60%	6.68%	7.91%	7.71%	5.20%	3.98%	6.22%	3.92%	3.71%	3.69%	4.25%	3.55%	4.96%	4.78%	3.63%	5.30%	6.24%	4.57%	3.22%	7.11%	5.78%	6.77%	6.12%	3.22%	7.78%	5.39%	4.18%	3.97%	4.30%	3.77%	3.27%	5.04%	2.92%	5.04%	4.94%	6.54%	3.91%	5.33%	4.76%	4.38%	4.98%	4.44%	4.94%	5.94%	5.61%	3.86%	3.26%	4.64%	4.25%	4.25%	5.54%	5.51%	4.97%	4.18%	5.05%	4.65%	1.28%	4.86%	5.39%	6.10%	6.53%	6.89%	7.68%	5.41%	5.82%	8.16%	8.37%	8.51%	6.05%	6.19%	6.96%	6.34%	3.32%	5.74%	4.85%	6.41%	5.60%	5.73%	6.54%	5.77%	3.48%	3.58%	6.26%	4.76%	4.99%	5.37%	3.74%	4.33%	4.29%	5.37%	4.30%	6.77%	0.80%	1.91%	1.73%	3.29%	5.22%									
22	Прохоров Михаил Дмитриевич	13752	102	134	150	134	34	134	224	102	172	150	75	149	221	271	90	86	76	48	91	135	26	258	131	70	29	145	110	148	179	217	116	162	165	106	147	67	67	66	27	61	24	78	71	55	85	87	96	102	41	29	40	51	72	94	120	127	68	49	23	10	17	16	58	114	32	116	99	80	137	86	76	38	86	58	156	96	109	76	39	59	47	14	124	31	37	22	299	155	183	148	170	141	149	160	208	249	183	210	147	139	80	178	127	103	260	101	100	192	95	258	348	282	243	163	237	133	124	56	21	33	25	32									
		11.90%	10.48%	14.69%	13.13%	9.48%	2.71%	9.51%	16.56%	7.58%	11.16%	10.79%	10.39%	13.82%	16.06%	17.44%	15.08%	11.94%	12.32%	5.90%	9.86%	9.99%	8.41%	17.82%	13.15%	16.36%	12.24%	14.95%	14.40%	16.03%	15.17%	15.46%	12.49%	16.80%	14.39%	12.69%	12.61%	9.81%	8.82%	7.99%	9.93%	8.51%	7.95%	8.25%	14.12%	7.09%	9.91%	9.67%	9.42%	15.60%	7.33%	3.83%	4.68%	12.53%	8.66%	9.39%	10.53%	17.30%	10.07%	6.82%	8.27%	6.17%	7.94%	5.69%	10.30%	8.21%	6.67%	11.33%	10.23%	8.40%	11.45%	10.96%	7.93%	4.95%	9.28%	18.95%	12.05%	8.44%	8.46%	11.11%	4.94%	10.63%	11.49%	2.23%	8.74%	5.22%	7.28%	6.25%	20.81%	15.67%	17.66%	14.11%	12.96%	12.56%	11.74%	12.74%	15.32%	17.67%	16.34%	17.00%	12.42%	10.69%	7.77%	17.50%	10.55%	8.99%	19.01%	15.30%	10.83%	19.39%	11.59%	16.52%	16.68%	14.63%	15.47%	10.77%	12.60%	17.32%	10.36%	5.60%	3.34%	4.40%	11.74%	11.94%									
23	Путин Владимир Владимирович	72140	572	508	664	848	840	899	745	875	951	869	416	618	733	882	372	477	432	628	597	953	232	765	595	280	163	530	432	502	669	766	552	603	716	556	739	481	489	525	191	473	222	598	312	580	486	552	629	373	406	487	525	254	530	649	713	422	400	514	186	97	139	213	353	852	290	627	601	605	726	461	685	589	580	178	814	797	889	445	585	363	261	427	929	415	362	260	732	638	588	621	761	626	757	734	735	776	612	802	747	862	656	561	770	707	729	382	598	502	486	890	1166	1247	1076	1068	1208	492	741	834	549	625	157	186									
		62.41%	58.79%	55.70%	58.14%	60.01%	66.99%	63.80%	55.06%	65.06%	61.71%	62.52%	57.62%	57.33%	53.27%	56.76%	62.31%	66.25%	70.02%	77.24%	64.68%	70.54%	75.08%	52.83%	59.74%	65.42%	68.78%	54.64%	56.54%	54.39%	56.69%	54.56%	59.42%	62.55%	62.42%	66.59%	63.38%	70.42%	64.34%	63.56%	70.22%	65.97%	73.51%	63.28%	62.03%	74.74%	56.64%	61.33%	61.73%	57.03%	72.63%	64.25%	61.48%	62.41%	63.78%	64.84%	62.54%	57.49%	59.26%	71.49%	66.91%	59.88%	64.95%	75.80%	62.70%	61.38%	60.42%	61.23%	62.09%	63.55%	60.70%	58.73%	71.50%	76.79%	62.57%	58.17%	62.86%	70.04%	69.02%	65.06%	74.05%	65.41%	63.81%	68.10%	65.47%	69.87%	71.26%	73.86%	50.94%	64.51%	56.76%	59.20%	58.00%	55.74%	59.65%	58.44%	54.12%	55.07%	54.64%	64.94%	63.09%	66.31%	63.69%	55.16%	63.95%	61.69%	53.29%	57.88%	64.79%	50.71%	59.27%	56.98%	55.90%	64.71%	68.49%	70.54%	64.22%	64.06%	61.90%	83.40%	87.28%	83.33%	73.71%	69.40%									
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
