Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Прохладненская городская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253					
1	"Число избирателей, внесенных в список"	41640	1927	2138	2393	2437	2172	2132	1907	1965	1811	2649	1724	1917	2334	2104	2360	2022	1979	1973	2062	1478	156					
2	Число полученных избирательных бюллетеней	41825	1930	2150	2400	2400	2150	2100	1950	1980	1790	2830	1730	1910	2340	2080	2370	2030	2000	2000	2050	1470	165					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	39085	1815	2077	2252	2299	2078	2004	1863	1766	1741	2323	1633	1868	2033	2026	2254	1954	1930	1695	1900	1418	156					
5	"Число избирательных бюллетеней, выданных вне помещения"	1671	100	42	93	89	25	63	11	176	35	175	58	15	283	40	71	30	35	180	120	30	0					
6	Число погашенных избирательных бюллетеней	1069	15	31	55	12	47	33	76	38	14	332	39	27	24	14	45	46	35	125	30	22	9					
7	Число избирательных бюллетеней в переносных ящиках	1671	100	42	93	89	25	63	11	176	35	175	58	15	283	40	71	30	35	180	120	30	0					
8	Число бюллетеней в стационарных ящиках для голосования	39070	1815	2077	2252	2299	2078	2004	1863	1766	1741	2308	1633	1868	2033	2026	2254	1954	1930	1695	1900	1418	156					
9	Число недействительных избирательных бюллетеней	99	5	8	0	8	4	9	7	10	1	11	6	0	8	2	0	3	6	7	3	0	1					
10	Число действительных избирательных бюллетеней	40642	1910	2111	2345	2380	2099	2058	1867	1932	1775	2472	1685	1883	2308	2064	2325	1981	1959	1868	2017	1448	155					
11	Число полученных открепительных  удостоверений	645	10	10	10	10	10	10	10	10	10	450	10	10	10	10	10	10	10	10	10	10	5					
12	Число выданных открепительных удостоверений	236	2	2	2	2	9	10	9	5	6	143	4	2	4	5	5	8	2	6	7	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	40	3	0	2	2	2	4	0	0	1	6	0	0	2	8	2	0	0	2	2	3	1					
14	Число неиспользованных открепительных удостоверений	409	8	8	8	8	1	0	1	5	4	307	6	8	6	5	5	2	8	4	3	7	5					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	374	38	40	1	0	36	48	0	18	4	48	28	3	36	1	15	11	3	37	4	1	2					
		0.92%	1.98%	1.89%	0.04%	0.00%	1.71%	2.32%	0.00%	0.93%	0.23%	1.93%	1.66%	0.16%	1.55%	0.05%	0.65%	0.55%	0.15%	1.97%	0.20%	0.07%	1.28%					
19	. Малышкин Олег Александрович	243	20	26	5	0	33	18	0	6	3	40	16	4	24	2	14	5	4	17	1	2	3					
		0.60%	1.04%	1.23%	0.21%	0.00%	1.57%	0.87%	0.00%	0.31%	0.17%	1.61%	0.95%	0.21%	1.04%	0.10%	0.60%	0.25%	0.20%	0.91%	0.05%	0.14%	1.92%					
20	. Миронов Сергей Михайлович	102	13	4	3	11	16	7	0	1	1	6	2	0	11	4	10	1	1	8	2	1	0					
		0.25%	0.68%	0.19%	0.13%	0.46%	0.76%	0.34%	0.00%	0.05%	0.06%	0.24%	0.12%	0.00%	0.47%	0.19%	0.43%	0.05%	0.05%	0.43%	0.10%	0.07%	0.00%					
21	. Путин Владимир Владимирович	37047	1666	1842	2298	2292	1791	1766	1831	1765	1723	2146	1439	1839	1947	1968	2048	1778	1929	1512	1946	1390	131					
		90.93%	87.00%	86.93%	98.00%	95.98%	85.16%	85.44%	97.71%	90.89%	97.02%	86.43%	85.10%	97.66%	84.07%	95.26%	88.09%	89.62%	98.17%	80.64%	96.34%	95.99%	83.97%					
22	. Хакамада Ирина Муцуовна	346	19	25	2	29	36	24	0	14	1	50	20	0	40	11	25	5	0	33	4	3	5					
		0.85%	0.99%	1.18%	0.09%	1.21%	1.71%	1.16%	0.00%	0.72%	0.06%	2.01%	1.18%	0.00%	1.73%	0.53%	1.08%	0.25%	0.00%	1.76%	0.20%	0.21%	3.21%					
23	. Харитонов Николай Михайлович	2181	134	150	34	23	161	170	35	114	42	128	149	30	213	77	184	165	18	238	58	46	12					
		5.35%	7.00%	7.08%	1.45%	0.96%	7.66%	8.22%	1.87%	5.87%	2.36%	5.16%	8.81%	1.59%	9.20%	3.73%	7.91%	8.32%	0.92%	12.69%	2.87%	3.18%	7.69%					
																												
24	Против всех	349	20	24	2	25	26	25	1	14	1	54	31	7	37	1	29	16	4	23	2	5	2					
		0.86%	1.04%	1.13%	0.09%	1.05%	1.24%	1.21%	0.05%	0.72%	0.06%	2.17%	1.83%	0.37%	1.60%	0.05%	1.25%	0.81%	0.20%	1.23%	0.10%	0.35%	1.28%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
