Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Куйбышевская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК  395	УИК  396	УИК  397	УИК  398	УИК  399	УИК  400	УИК  401	УИК  402	УИК  403	УИК  404	УИК  405	УИК  406	УИК  407	УИК  408	УИК  409	УИК  410	УИК  411	УИК  412					
1	"Число избирателей, внесенных в список"	7169	2951	405	374	315	136	265	118	149	384	150	181	334	333	145	121	163	275	370					
2	Число полученных избирательных бюллетеней	7183	3000	409	369	321	130	262	112	143	381	142	180	333	335	146	115	163	275	367					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4100	1678	204	232	161	55	171	79	95	226	92	121	186	203	99	68	90	130	210					
5	"Число избирательных бюллетеней, выданных вне помещения"	978	113	56	60	98	59	30	13	30	84	24	36	75	54	23	35	24	94	70					
6	Число погашенных избирательных бюллетеней	2105	1209	149	77	62	16	61	20	18	71	26	23	72	78	24	12	49	51	87					
7	Число избирательных бюллетеней в переносных ящиках	978	113	56	60	98	59	30	13	30	84	24	36	75	54	23	35	24	94	70					
8	Число бюллетеней в стационарных ящиках для голосования	4100	1678	204	232	161	55	171	79	95	226	92	121	186	203	99	68	90	130	210					
9	Число недействительных избирательных бюллетеней	29	4	7	1	2	1	3	2	0	1	1	1	0	3	0	0	1	1	1					
10	Число действительных избирательных бюллетеней	5049	1787	253	291	257	113	198	90	125	309	115	156	261	254	122	103	113	223	279					
11	Число полученных открепительных  удостоверений	97	64	3	1	6	1	2	1	1	1	1	1	1	4	1	1	1	2	5					
12	Число выданных открепительных удостоверений	72	48	3	1	6	1	2	1	0	1	0	0	0	4	1	1	1	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	48	8	2	0	1	2	3	4	5	2	4	1	1	2	0	5	1	6	1					
14	Число неиспользованных открепительных удостоверений	25	16	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	5					
15	"Число открепительных удостоверений, выданных в ТИК"	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	79	29	3	1	6	3	7	0	1	7	1	2	4	5	1	2	2	2	3					
		1.56%	1.62%	1.15%	0.34%	2.32%	2.63%	3.48%	0.00%	0.80%	2.26%	0.86%	1.27%	1.53%	1.95%	0.82%	1.94%	1.75%	0.89%	1.07%					
19	. Малышкин Олег Александрович	83	29	3	7	3	6	2	1	0	6	1	3	3	5	4	0	2	5	3					
		1.63%	1.62%	1.15%	2.40%	1.16%	5.26%	1.00%	1.09%	0.00%	1.94%	0.86%	1.91%	1.15%	1.95%	3.28%	0.00%	1.75%	2.23%	1.07%					
20	. Миронов Сергей Михайлович	26	5	2	0	0	0	2	1	2	4	0	2	2	2	2	0	0	1	1					
		0.51%	0.28%	0.77%	0.00%	0.00%	0.00%	1.00%	1.09%	1.60%	1.29%	0.00%	1.27%	0.77%	0.78%	1.64%	0.00%	0.00%	0.45%	0.36%					
21	. Путин Владимир Владимирович	3668	1248	176	245	211	90	118	64	82	242	101	103	214	209	99	87	72	154	153					
		72.23%	69.68%	67.69%	83.90%	81.47%	78.95%	58.71%	69.57%	65.60%	78.06%	87.07%	65.61%	81.99%	81.32%	81.15%	84.47%	63.16%	68.75%	54.64%					
22	. Хакамада Ирина Муцуовна	51	24	1	2	0	0	1	0	1	2	1	0	8	4	1	0	1	2	3					
		1.00%	1.34%	0.38%	0.68%	0.00%	0.00%	0.50%	0.00%	0.80%	0.65%	0.86%	0.00%	3.07%	1.56%	0.82%	0.00%	0.88%	0.89%	1.07%					
23	. Харитонов Николай Михайлович	1075	415	65	35	34	14	65	24	39	47	11	44	29	28	14	14	33	54	110					
		21.17%	23.17%	25.00%	11.99%	13.13%	12.28%	32.34%	26.09%	31.20%	15.16%	9.48%	28.03%	11.11%	10.89%	11.48%	13.59%	28.95%	24.11%	39.29%					
																									
24	Против всех	67	37	3	1	3	0	3	0	0	1	0	2	1	1	1	0	3	5	6					
		1.32%	2.07%	1.15%	0.34%	1.16%	0.00%	1.49%	0.00%	0.00%	0.32%	0.00%	1.27%	0.38%	0.39%	0.82%	0.00%	2.63%	2.23%	2.14%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
