Выборы Президента Российской Федерации																																																																
																																																																
Наименование Избирательной комиссии:    Ишимская																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412					
1	"Число избирателей, внесенных в список"	25215	573	210	350	257	426	712	491	100	311	254	206	167	329	293	96	290	326	1280	650	600	145	617	221	925	159	613	796	181	488	133	1081	300	465	117	219	528	371	696	699	112	439	236	177	1554	1745	324	235	577	827	149	180	176	505	143	218	588	355					
2	Число полученных избирательных бюллетеней	25500	579	209	355	258	425	722	495	101	302	257	208	168	324	288	99	286	327	1252	662	615	145	640	231	911	155	607	832	176	484	133	1089	288	468	117	223	546	406	780	721	116	464	240	178	1500	1747	384	270	604	827	145	178	173	505	142	211	584	348					
3	"Число избирательных бюллетеней, выданных  досрочно"	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21389	510	188	292	238	372	592	372	51	302	244	200	151	202	234	83	259	277	1034	568	521	133	461	176	722	139	414	704	160	430	111	677	286	447	117	207	497	336	526	532	84	403	194	154	1459	1680	292	227	555	745	127	167	141	438	129	204	437	188					
5	"Число избирательных бюллетеней, выданных вне помещения"	2452	45	20	25	14	47	98	86	47	0	6	6	10	99	36	8	11	12	122	33	38	12	102	32	108	14	153	36	9	42	22	263	0	2	0	8	22	24	71	108	27	21	37	21	34	24	10	5	16	72	18	11	27	46	11	0	131	150					
6	Число погашенных избирательных бюллетеней	1607	24	1	38	6	6	32	37	3	0	7	2	7	23	18	8	16	38	96	61	56	0	77	23	81	2	40	92	7	12	0	97	2	19	0	8	27	46	183	81	5	40	9	3	7	43	82	38	33	10	0	0	5	21	2	7	16	10					
7	Число избирательных бюллетеней в переносных ящиках	2504	45	20	25	14	47	98	86	47	0	6	6	10	99	36	8	11	12	122	33	38	12	102	32	108	14	153	36	9	42	22	315	0	2	0	8	22	24	71	108	27	21	37	21	34	24	10	5	16	72	18	11	27	46	11	0	131	150					
8	Число бюллетеней в стационарных ящиках для голосования	21389	510	188	292	238	372	592	372	51	302	244	200	151	202	234	83	259	277	1034	568	521	133	461	176	722	139	414	704	160	430	111	677	286	447	117	207	497	336	526	532	84	403	194	154	1459	1680	292	227	555	745	127	167	141	438	129	204	437	188					
9	Число недействительных избирательных бюллетеней	62	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	2	1	25	0	0	0	0	0	2	0	0	4	2	0	0	1	0	1	0	0	0	4	0	6	0	2	3	2	0	0	0	0	0	3	0	0	0	0	0	0	1	0					
10	Число действительных избирательных бюллетеней	23831	555	208	316	252	418	690	458	98	302	250	206	161	301	270	90	268	288	1131	601	559	145	563	208	828	153	567	736	167	472	133	991	286	448	117	215	519	356	597	634	111	422	228	173	1493	1704	302	232	571	814	145	178	168	484	140	204	567	338					
