Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Верхнекамская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128					
1	"Число избирателей, внесенных в список"	26043	1726	1796	1758	1025	895	1955	155	175	53	308	295	1259	1293	1480	1260	1140	140	72	701	603	125	604	160	1466	1263	151	91	132	101	824	648	239	311	163	386	315	584	236	129	26					
2	Число полученных избирательных бюллетеней	25035	1650	1700	1750	950	800	1850	180	182	61	300	300	1200	1250	1350	1200	1150	144	74	670	570	121	550	147	1450	1200	142	88	133	91	800	650	230	320	162	370	300	550	230	140	30					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14208	842	949	912	529	477	1040	107	116	42	212	192	733	734	740	697	515	89	42	400	335	70	309	114	831	704	77	58	88	78	434	335	174	187	111	244	195	262	119	91	24					
5	"Число избирательных бюллетеней, выданных вне помещения"	1083	96	52	46	81	18	82	8	9	8	9	15	60	55	31	25	80	0	13	27	13	0	24	0	32	33	37	12	7	2	30	52	0	22	5	6	15	51	7	20	0					
6	Число погашенных избирательных бюллетеней	9744	712	699	792	340	305	728	65	57	11	79	93	407	461	579	478	555	55	19	243	222	51	217	33	587	463	28	18	38	11	336	263	56	111	46	120	90	237	104	29	6					
7	Число избирательных бюллетеней в переносных ящиках	1083	96	52	46	81	18	82	8	9	8	9	15	60	55	31	25	80	0	13	27	13	0	24	0	32	33	37	12	7	2	30	52	0	22	5	6	15	51	7	20	0					
8	Число бюллетеней в стационарных ящиках для голосования	14206	842	949	911	529	477	1040	107	116	42	212	192	733	734	740	697	515	89	42	400	335	70	309	114	831	704	77	58	88	78	434	335	174	187	110	244	195	262	119	91	24					
9	Число недействительных избирательных бюллетеней	84	4	2	8	5	3	7	1	0	0	2	0	6	10	4	6	3	0	0	0	0	1	2	0	5	6	0	0	0	0	2	0	1	1	0	0	0	4	1	0	0					
10	Число действительных избирательных бюллетеней	15205	934	999	949	605	492	1115	114	125	50	219	207	787	779	767	716	592	89	55	427	348	69	331	114	858	731	114	70	95	80	462	387	173	208	115	250	210	309	125	111	24					
11	Число полученных открепительных  удостоверений	372	7	10	8	10	7	10	7	3	8	8	9	34	40	15	14	23	2	2	8	13	2	6	2	20	15	3	2	2	2	15	14	3	18	2	4	3	10	3	4	4					
12	Число выданных открепительных удостоверений	325	7	10	1	3	6	6	7	3	8	8	9	34	40	9	10	23	1	0	8	13	0	4	2	18	15	3	2	0	0	14	13	2	18	1	4	3	10	3	3	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	127	5	4	9	7	3	6	0	1	2	2	0	4	4	6	4	2	1	1	10	5	3	8	6	5	4	0	1	2	2	3	4	3	2	0	0	3	3	1	0	1					
