Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Яранская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344					
1	"Число избирателей, внесенных в список"	26913	824	1578	1324	1140	395	1750	2023	1316	594	511	1083	1997	1604	184	95	256	266	674	712	270	262	438	419	477	277	333	263	435	313	580	247	737	479	433	335	746	484	312	445	302					
2	Число полученных избирательных бюллетеней	25959	810	1500	1300	1100	360	1700	2000	1230	560	500	1050	1900	1580	184	80	250	260	630	700	260	250	420	420	450	270	320	250	420	300	560	235	720	450	420	320	720	460	300	420	300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12964	364	661	521	486	222	735	989	601	267	209	515	861	745	184	60	154	113	333	240	127	140	271	174	212	158	152	120	251	163	349	143	444	238	279	178	461	226	216	238	164					
5	"Число избирательных бюллетеней, выданных вне помещения"	1809	8	7	12	19	12	59	56	108	4	24	18	47	50	0	18	17	81	23	80	21	38	11	131	131	43	57	43	90	39	51	22	42	107	34	46	3	105	45	72	35					
6	Число погашенных избирательных бюллетеней	11186	438	832	767	595	126	906	955	521	289	267	517	992	785	0	2	79	66	274	380	112	72	138	115	107	69	111	87	79	98	160	70	234	105	107	96	256	129	39	110	101					
7	Число избирательных бюллетеней в переносных ящиках	1809	8	7	12	19	12	59	56	108	4	24	18	47	50	0	18	17	81	23	80	21	38	11	131	131	43	57	43	90	39	51	22	42	107	34	46	3	105	45	72	35					
8	Число бюллетеней в стационарных ящиках для голосования	12964	364	661	521	486	222	735	989	601	267	209	515	861	745	184	60	154	113	333	240	127	140	271	174	212	158	152	120	251	163	349	143	444	238	279	178	461	226	216	238	164					
9	Число недействительных избирательных бюллетеней	117	5	4	4	10	5	6	6	7	4	1	1	1	5	2	0	1	1	0	2	1	0	0	0	3	0	6	0	5	4	3	0	6	4	0	6	8	3	2	1	0					
10	Число действительных избирательных бюллетеней	14656	367	664	529	495	229	788	1039	702	267	232	532	907	790	182	78	170	193	356	318	147	178	282	305	340	201	203	163	336	198	397	165	480	341	313	218	456	328	259	309	199					
11	Число полученных открепительных  удостоверений	328	9	9	10	10	10	10	10	10	8	8	10	12	12	0	0	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8					
12	Число выданных открепительных удостоверений	104	1	5	3	2	0	4	8	2	0	1	9	1	7	0	0	0	1	2	3	0	2	1	5	6	3	1	0	1	1	4	0	5	2	8	2	0	2	4	0	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	118	1	2	0	0	0	5	11	40	0	2	1	5	5	0	17	1	0	1	1	0	0	1	0	2	1	2	0	0	0	5	1	1	2	1	1	3	3	0	1	2					
14	Число неиспользованных открепительных удостоверений	224	8	4	7	8	10	6	2	8	8	7	1	11	5	0	0	8	7	6	5	8	6	7	3	2	5	7	8	7	7	4	8	3	6	0	6	8	6	4	8	0					
15	"Число открепительных удостоверений, выданных в ТИК"	22	1	1	1	1	1	1	0	0	0	2	2	3	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	. Глазьев Сергей Юрьевич	543	11	32	19	24	12	31	54	32	5	9	16	40	35	2	2	6	3	38	7	2	15	5	4	16	11	5	6	6	6	7	10	13	3	14	6	7	11	3	13	2					
		3.68%	2.96%	4.79%	3.56%	4.75%	5.13%	3.90%	5.17%	4.51%	1.85%	3.86%	3.00%	4.41%	4.40%	1.09%	2.56%	3.51%	1.55%	10.67%	2.19%	1.35%	8.43%	1.77%	1.31%	4.66%	5.47%	2.39%	3.68%	1.76%	2.97%	1.75%	6.06%	2.67%	0.87%	4.47%	2.68%	1.51%	3.32%	1.15%	4.19%	1.01%					
19	. Малышкин Олег Александрович	487	22	33	13	12	12	16	31	19	20	5	16	33	18	5	1	4	3	10	8	4	9	19	8	21	7	1	0	24	7	16	1	16	15	18	4	9	12	5	6	4					
		3.30%	5.91%	4.94%	2.44%	2.38%	5.13%	2.02%	2.97%	2.68%	7.38%	2.15%	3.00%	3.63%	2.26%	2.72%	1.28%	2.34%	1.55%	2.81%	2.50%	2.70%	5.06%	6.74%	2.62%	6.12%	3.48%	0.48%	0.00%	7.04%	3.47%	4.00%	0.61%	3.29%	4.35%	5.75%	1.79%	1.94%	3.63%	1.92%	1.94%	2.01%					
20	. Миронов Сергей Михайлович	158	6	11	6	6	2	6	6	8	5	2	6	17	5	6	2	1	3	3	2	3	2	3	1	7	2	0	0	4	4	4	0	3	0	5	1	2	8	3	2	1					
		1.07%	1.61%	1.65%	1.13%	1.19%	0.85%	0.76%	0.57%	1.13%	1.85%	0.86%	1.13%	1.87%	0.63%	3.26%	2.56%	0.58%	1.55%	0.84%	0.62%	2.03%	1.12%	1.06%	0.33%	2.04%	1.00%	0.00%	0.00%	1.17%	1.98%	1.00%	0.00%	0.62%	0.00%	1.60%	0.45%	0.43%	2.42%	1.15%	0.65%	0.50%					
21	. Путин Владимир Владимирович	8841	212	385	306	343	137	511	629	415	159	154	360	512	428	136	53	114	90	185	209	102	109	195	189	195	120	142	101	199	117	208	113	307	246	136	106	250	185	188	161	134					
		59.85%	56.99%	57.63%	57.41%	67.92%	58.55%	64.36%	60.19%	58.53%	58.67%	66.09%	67.54%	56.39%	53.84%	73.91%	67.95%	66.67%	46.39%	51.97%	65.31%	68.92%	61.24%	69.15%	61.97%	56.85%	59.70%	67.94%	61.96%	58.36%	57.92%	52.00%	68.48%	63.17%	71.30%	43.45%	47.32%	53.88%	55.89%	72.03%	51.94%	67.34%					
22	. Хакамада Ирина Муцуовна	260	6	11	15	10	3	14	30	14	10	3	13	22	19	2	1	0	2	5	3	2	3	2	5	4	0	2	3	9	2	6	1	7	4	2	1	6	7	3	6	2					
		1.76%	1.61%	1.65%	2.81%	1.98%	1.28%	1.76%	2.87%	1.97%	3.69%	1.29%	2.44%	2.42%	2.39%	1.09%	1.28%	0.00%	1.03%	1.40%	0.94%	1.35%	1.69%	0.71%	1.64%	1.17%	0.00%	0.96%	1.84%	2.64%	0.99%	1.50%	0.61%	1.44%	1.16%	0.64%	0.45%	1.29%	2.11%	1.15%	1.94%	1.01%					
23	. Харитонов Николай Михайлович	4017	106	174	157	88	61	193	260	193	59	58	104	257	258	28	18	42	91	103	84	29	36	51	90	95	60	50	49	88	55	152	40	126	69	129	98	172	88	53	112	41					
		27.19%	28.49%	26.05%	29.46%	17.43%	26.07%	24.31%	24.88%	27.22%	21.77%	24.89%	19.51%	28.30%	32.45%	15.22%	23.08%	24.56%	46.91%	28.93%	26.25%	19.59%	20.22%	18.09%	29.51%	27.70%	29.85%	23.92%	30.06%	25.81%	27.23%	38.00%	24.24%	25.93%	20.00%	41.21%	43.75%	37.07%	26.59%	20.31%	36.13%	20.60%					
																																															
24	Против всех	350	4	18	13	12	2	17	29	21	9	1	17	26	27	3	1	3	1	12	5	5	4	7	8	2	1	3	4	6	7	4	0	8	4	9	2	10	17	4	9	15					
		2.37%	1.08%	2.69%	2.44%	2.38%	0.85%	2.14%	2.78%	2.96%	3.32%	0.43%	3.19%	2.86%	3.40%	1.63%	1.28%	1.75%	0.52%	3.37%	1.56%	3.38%	2.25%	2.48%	2.62%	0.58%	0.50%	1.44%	2.45%	1.76%	3.47%	1.00%	0.00%	1.65%	1.16%	2.88%	0.89%	2.16%	5.14%	1.53%	2.90%	7.54%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
