Выборы Президента Российской Федерации																																																																	
																																																																	
Наименование Избирательной комиссии:    Шацкая																																																																	
																																																																	
Итоги голосования 																																																																	
																																																																	
		Сумма	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075					
1	"Число избирателей, внесенных в список"	23155	224	432	200	108	104	190	502	275	136	510	79	224	1321	880	271	59	54	584	95	383	276	322	233	545	108	457	271	268	125	133	298	281	303	403	291	303	746	265	76	116	192	56	271	129	94	162	176	247	909	1314	144	1437	1602	1557	1392	224	662	136					
2	Число полученных избирательных бюллетеней	22780	220	424	199	110	102	188	500	275	159	510	81	220	1300	875	270	67	55	565	94	375	273	320	230	570	114	470	266	268	130	134	290	278	300	390	290	300	745	265	78	116	191	56	270	130	93	161	169	240	905	1310	144	1430	1550	1320	1380	217	660	138					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12693	149	319	121	71	67	104	253	185	81	267	49	112	628	523	170	34	51	297	49	194	123	181	128	379	85	285	216	179	78	101	141	181	128	237	166	157	305	167	43	61	147	43	172	53	49	120	115	120	437	575	49	794	974	713	812	130	273	52					
5	"Число избирательных бюллетеней, выданных вне помещения"	3315	68	51	33	15	19	63	111	41	55	70	22	84	61	53	50	24	0	148	20	107	94	85	49	51	18	32	38	14	15	25	92	39	120	91	96	95	213	45	22	38	35	10	29	49	36	28	14	89	40	19	77	70	50	75	56	31	177	63					
6	Число погашенных избирательных бюллетеней	6772	3	54	45	24	16	21	136	49	23	173	10	24	611	299	50	9	4	120	25	74	56	54	53	140	11	153	12	75	37	8	57	58	52	62	28	48	227	53	13	17	9	3	69	28	8	13	40	31	428	716	18	566	526	532	512	56	210	23					
7	Число избирательных бюллетеней в переносных ящиках	3315	68	51	33	15	19	63	111	41	55	70	22	84	61	53	50	24	0	148	20	107	94	85	49	51	18	32	38	14	15	25	92	39	120	91	96	95	213	45	22	38	35	10	29	49	36	28	14	89	40	19	77	70	50	75	56	31	177	63					
8	Число бюллетеней в стационарных ящиках для голосования	12692	149	319	121	71	67	104	252	185	81	267	49	112	628	523	170	34	51	297	49	194	123	181	128	379	85	285	216	179	78	101	141	181	128	237	166	157	305	167	43	61	147	43	172	53	49	120	115	120	437	575	49	794	974	713	812	130	273	52					
9	Число недействительных избирательных бюллетеней	134	1	5	0	0	0	2	3	0	2	5	0	2	7	7	1	0	0	0	0	7	0	0	1	7	0	5	3	0	0	1	0	0	1	0	0	2	7	5	0	0	1	0	2	0	0	1	3	0	6	7	1	1	9	8	11	3	5	2					
10	Число действительных избирательных бюллетеней	15873	216	365	154	86	86	165	360	226	134	332	71	194	682	569	219	58	51	445	69	294	217	266	176	423	103	312	251	193	93	125	233	220	247	328	262	250	511	207	65	99	181	53	199	102	85	147	126	209	471	587	125	863	1015	780	857	158	445	113					
11	Число полученных открепительных  удостоверений	550	5	10	5	3	2	5	12	5	4	15	2	6	30	20	7	2	2	13	2	12	11	10	7	18	3	16	10	5	2	4	8	7	8	8	7	7	17	7	2	2	4	2	6	3	2	5	5	6	22	28	4	30	30	30	30	4	15	3					
12	Число выданных открепительных удостоверений	95	0	3	0	0	1	0	0	1	1	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	1	0	3	8	0	10	15	23	15	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	136	3	2	3	1	2	1	4	1	4	2	1	1	0	1	3	1	0	5	3	3	2	6	4	4	0	5	3	2	1	2	5	3	1	1	3	4	4	2	0	2	1	2	1	1	3	3	4	2	3	0	0	8	2	1	4	2	1	3					
14	Число неиспользованных открепительных удостоверений	455	5	7	5	3	1	5	12	4	3	15	2	6	23	18	7	2	2	13	2	12	11	10	7	18	3	16	10	5	2	4	8	7	8	7	7	7	16	7	2	2	4	2	6	3	2	2	4	6	19	20	4	20	15	7	15	4	15	3					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																	
18	. Глазьев Сергей Юрьевич	364	1	4	0	1	0	3	5	10	6	4	1	3	18	13	2	1	0	11	0	5	3	4	3	5	3	5	8	2	2	3	7	2	1	0	4	2	14	1	3	0	6	0	2	0	0	2	0	2	18	22	1	29	42	33	29	1	12	5					
		2.27%	0.46%	1.08%	0.00%	1.16%	0.00%	1.80%	1.38%	4.42%	4.41%	1.19%	1.41%	1.53%	2.61%	2.26%	0.91%	1.72%	0.00%	2.47%	0.00%	1.66%	1.38%	1.50%	1.69%	1.16%	2.91%	1.58%	3.15%	1.04%	2.15%	2.38%	3.00%	0.91%	0.40%	0.00%	1.53%	0.79%	2.70%	0.47%	4.62%	0.00%	3.30%	0.00%	1.00%	0.00%	0.00%	1.35%	0.00%	0.96%	3.77%	3.70%	0.79%	3.36%	4.10%	4.19%	3.34%	0.62%	2.67%	4.35%					
19	. Малышкин Олег Александрович	251	3	6	3	0	1	2	5	3	1	6	0	2	13	1	5	0	0	6	3	7	3	0	3	4	0	4	3	5	3	0	6	2	3	13	0	1	8	2	0	4	1	1	3	0	1	3	4	1	8	10	0	24	28	11	19	1	5	0					
		1.57%	1.38%	1.62%	1.95%	0.00%	1.16%	1.20%	1.38%	1.33%	0.74%	1.78%	0.00%	1.02%	1.89%	0.17%	2.27%	0.00%	0.00%	1.35%	4.35%	2.33%	1.38%	0.00%	1.69%	0.93%	0.00%	1.26%	1.18%	2.59%	3.23%	0.00%	2.58%	0.91%	1.21%	3.96%	0.00%	0.40%	1.54%	0.94%	0.00%	4.04%	0.55%	1.89%	1.49%	0.00%	1.18%	2.03%	3.10%	0.48%	1.68%	1.68%	0.00%	2.78%	2.73%	1.40%	2.19%	0.62%	1.11%	0.00%					
20	. Миронов Сергей Михайлович	109	1	4	3	3	2	0	0	0	1	0	0	2	2	3	2	0	1	4	0	1	1	7	0	0	0	0	0	2	0	4	5	1	1	2	0	1	3	4	1	2	1	0	3	0	4	1	1	4	2	6	1	4	6	5	6	0	2	0					
