Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Усть-Донецкая																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380					
1	"Число избирателей, внесенных в список"	20911	207	538	1030	1254	903	1085	300	248	217	786	2367	2524	2458	248	1848	318	1303	367	672	448	385	445	960					
2	Число полученных избирательных бюллетеней	22500	220	600	1150	1450	920	1220	340	260	200	850	2600	2750	2500	250	2000	350	1300	390	750	500	400	500	1000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16678	172	443	777	1163	786	755	251	201	149	529	2086	2209	1935	167	1213	209	941	285	554	383	306	349	815					
5	"Число избирательных бюллетеней, выданных вне помещения"	2198	30	52	148	90	88	253	36	35	45	102	68	59	331	64	172	79	114	64	86	54	43	86	99					
6	Число погашенных избирательных бюллетеней	3624	18	105	225	197	46	212	53	24	6	219	446	482	234	19	615	62	245	41	110	63	51	65	86					
7	Число избирательных бюллетеней в переносных ящиках	2198	30	52	148	90	88	253	36	35	45	102	68	59	331	64	172	79	114	64	86	54	43	86	99					
8	Число бюллетеней в стационарных ящиках для голосования	16678	172	443	777	1163	786	755	251	201	149	529	2086	2209	1935	167	1213	209	941	285	554	383	306	349	815					
9	Число недействительных избирательных бюллетеней	114	0	1	8	18	3	7	2	0	2	10	15	5	7	2	12	2	7	4	3	5	1	0	0					
10	Число действительных избирательных бюллетеней	18762	202	494	917	1235	871	1001	285	236	192	621	2139	2263	2259	229	1373	286	1048	345	637	432	348	435	914					
11	Число полученных открепительных  удостоверений	646	3	15	20	39	28	25	10	7	7	20	95	90	100	5	40	7	30	5	30	20	15	10	25					
