Выборы Президента Российской Федерации																																																																																		
Дата голосования: 02.03.2008																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Красногорская																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
	Число участковых избирательных комиссий	75																																																																																
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	75																																																																																
																																																																																		
		Сумма	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116					
1	"Число избирателей, включенных в списки избирателей"	131271	1366	2487	749	1213	2629	2760	1700	1390	2444	1917	2441	2020	1954	2204	2266	1543	2250	1711	2553	2112	1735	1665	2855	2735	2608	1637	1281	2757	1182	2265	1928	2360	2041	1487	2224	2006	2184	1326	2112	2023	1648	2082	364	854	659	257	357	1109	2333	2810	1531	436	2315	2287	1884	2079	2701	2384	648	1586	1263	1228	2370	1196	1991	1493	1965	1471	2067	507	1249	676	1077	494	1780					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	125550	1400	2000	700	1100	2300	2500	1700	1100	2200	1900	2400	2000	2000	2000	2200	1600	2200	1600	2500	2100	1700	1600	2600	2500	2500	1600	1200	2800	1100	2100	1800	2300	2000	1400	2000	2000	2000	1300	2100	2000	2000	2000	350	850	650	1000	400	1100	2300	2900	1500	450	2300	1700	2000	2000	2500	2300	650	1600	1200	1200	2000	1100	1300	1200	1800	1500	2000	480	1100	700	1070	450	1800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	87867	712	1802	359	595	1272	2339	1446	842	1868	1611	2191	1686	1621	1814	1945	1302	1968	820	2073	1885	1522	1390	1522	2413	1281	1377	576	1399	568	983	966	1166	1696	770	1879	1662	1754	662	1732	1067	1231	1222	174	390	600	250	221	475	1231	2122	701	195	1003	1428	1029	1167	1533	1853	381	1346	703	638	1325	660	1163	817	1220	1290	1829	264	628	214	648	306	1074					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2865	38	82	48	21	36	41	20	12	27	15	13	7	40	97	93	46	8	37	29	36	28	19	37	58	37	17	13	31	6	10	15	51	28	23	27	31	30	14	26	14	24	31	9	36	0	1	17	75	20	39	23	14	76	24	1	3	64	24	6	17	5	22	38	6	113	49	51	53	42	54	251	354	22	14	26					
6	Число погашенных избирательных бюллетеней	34818	650	116	293	484	992	120	234	246	305	274	196	307	339	89	162	252	224	743	398	179	150	191	1041	29	1182	206	611	1370	526	1107	819	1083	276	607	94	307	216	624	342	919	745	747	167	424	50	749	162	550	1049	739	776	241	1221	248	970	830	903	423	263	237	492	540	637	434	24	334	529	157	129	162	221	132	400	130	700					
