Выборы Президента Российской Федерации																																																																									
																																																																									
Наименование Избирательной комиссии:    Красногорская																																																																									
																																																																									
Итоги голосования 																																																																									
																																																																									
		Сумма	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075					
1	"Число избирателей, внесенных в список"	125552	1500	2140	2098	1245	2132	2120	2147	1613	2306	2380	2702	2800	2130	1590	2774	2132	1804	2531	2905	2991	2912	2586	1709	2083	2078	2291	2113	1564	1847	2333	2011	2405	1283	2872	403	1285	2422	2345	2769	2654	2053	1951	2094	2711	1692	1910	1362	1917	1837	2408	1431	481	1552	1595	1596	1122	1622	484	2161	1045	1247	1449	1423	499	1370	535					
2	Число полученных избирательных бюллетеней	117550	1450	1900	2000	1100	2050	2000	2050	1550	2200	2300	2600	2700	2050	1500	2650	2050	1700	2400	2800	2850	2800	2500	1650	2000	2000	2150	2000	1500	1750	2250	1900	2300	1050	2750	400	1200	2300	2250	2650	2050	1900	1800	1600	2600	1650	1750	1100	1800	1750	2150	1350	450	1100	1500	1450	1050	1500	450	2050	950	1200	1350	1300	400	1300	700					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	66501	781	1165	1104	822	1113	1178	1213	864	1178	1242	1338	1273	1178	725	1454	1109	1021	1259	1684	1626	1550	1431	923	1098	1130	1061	1077	856	914	1129	1029	1336	823	1616	221	508	1236	1286	1270	1526	982	989	1278	1455	982	1045	698	1009	802	1271	755	261	926	891	886	563	797	271	1165	622	624	753	647	253	766	463					
5	"Число избирательных бюллетеней, выданных вне помещения"	1820	11	10	17	8	32	15	23	4	26	14	32	19	29	10	43	9	9	21	16	20	24	27	14	16	25	26	10	4	20	37	9	4	0	24	37	117	43	14	78	23	20	28	40	15	4	9	76	79	34	42	17	31	48	34	44	27	111	35	23	22	8	10	74	38	31	0					
6	Число погашенных избирательных бюллетеней	49229	658	725	879	270	905	807	814	682	996	1044	1230	1408	843	765	1153	932	670	1120	1100	1204	1226	1042	713	886	845	1063	913	640	816	1084	862	960	227	1110	142	575	1021	950	1302	501	898	783	282	1130	664	696	326	712	914	837	578	158	126	575	520	460	592	144	862	306	568	587	579	109	503	237					
7	Число избирательных бюллетеней в переносных ящиках	1811	11	10	17	8	32	15	23	4	26	14	32	19	29	10	43	9	9	21	16	20	24	27	14	16	25	26	10	4	20	37	9	4	0	24	37	117	43	14	78	23	20	28	40	15	4	9	76	79	34	42	17	31	48	34	44	27	102	35	23	22	8	10	74	38	31	0					
8	Число бюллетеней в стационарных ящиках для голосования	66443	781	1162	1104	822	1113	1178	1213	864	1178	1242	1338	1273	1178	725	1449	1109	1021	1259	1684	1626	1550	1431	922	1097	1130	1061	1077	846	911	1129	1028	1332	823	1616	221	508	1236	1286	1270	1526	982	989	1278	1451	982	1045	698	1009	801	1271	754	261	926	891	886	563	797	271	1142	622	624	753	646	253	766	463					
9	Число недействительных избирательных бюллетеней	500	7	3	5	3	13	3	6	8	7	5	7	6	11	5	7	8	5	11	7	5	18	6	6	10	6	18	2	8	5	27	9	3	2	12	2	5	10	8	1	5	2	7	11	11	8	4	5	13	8	7	11	4	3	19	7	7	4	3	22	12	3	0	7	4	17	6					
10	Число действительных избирательных бюллетеней	67754	785	1169	1116	827	1132	1190	1230	860	1197	1251	1363	1286	1196	730	1485	1110	1025	1269	1693	1641	1556	1452	930	1103	1149	1069	1085	842	926	1139	1028	1333	821	1628	256	620	1269	1292	1347	1544	1000	1010	1307	1455	978	1050	769	1075	827	1306	760	288	971	906	923	583	895	303	1143	632	629	763	713	287	780	457					
11	Число полученных открепительных  удостоверений	3250	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0					
12	Число выданных открепительных удостоверений	885	8	18	13	19	11	12	9	8	13	9	14	15	15	13	17	16	16	19	26	14	25	22	10	11	17	19	6	12	7	10	11	9	26	40	0	6	25	14	16	28	27	14	17	21	16	15	12	6	10	15	17	2	11	11	15	9	2	2	13	14	8	11	6	2	10	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	997	4	17	11	38	9	10	6	5	9	14	7	5	12	5	18	8	8	12	14	4	7	9	8	8	7	6	11	8	10	11	7	7	6	17	3	17	12	5	14	14	12	23	14	13	18	13	16	23	13	55	10	6	104	29	76	3	8	11	24	34	8	2	54	13	8	4					
14	Число неиспользованных открепительных удостоверений	2365	42	32	37	31	39	38	41	42	37	41	36	35	35	37	33	34	34	31	24	36	25	28	40	39	33	31	44	38	43	40	39	41	24	10	50	44	25	36	34	22	23	36	33	29	34	35	38	44	40	35	33	48	39	39	35	41	48	48	37	36	42	39	44	48	40	0					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																									
