Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Поронайская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159					
1	"Число избирателей, внесенных в список"	22408	1666	1520	1901	2298	2551	1636	1531	914	190	2440	2363	748	612	1207	112	190	103	253	152	21					
2	Число полученных избирательных бюллетеней	23120	1742	1582	1987	2304	2635	1681	1465	1195	192	2488	2361	694	600	1207	111	193	103	250	260	70					
3	"Число избирательных бюллетеней, выданных  досрочно"	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11386	708	669	764	1093	1273	757	592	452	75	1482	1268	448	318	788	97	185	78	208	110	21					
5	"Число избирательных бюллетеней, выданных вне помещения"	906	46	42	141	71	64	22	41	45	16	134	80	68	68	58	0	0	1	3	6	0					
6	Число погашенных избирательных бюллетеней	10822	988	871	1082	1134	1298	902	832	698	101	872	1013	178	214	361	14	8	24	39	144	49					
7	Число избирательных бюллетеней в переносных ящиках	912	46	42	141	77	64	22	41	45	16	134	80	68	68	58	0	0	1	3	6	0					
8	Число бюллетеней в стационарных ящиках для голосования	11383	708	669	764	1093	1272	755	592	452	75	1482	1268	448	318	788	97	185	78	208	110	21					
9	Число недействительных избирательных бюллетеней	106	7	2	8	17	10	6	8	7	0	17	10	1	1	6	0	1	1	3	0	1					
10	Число действительных избирательных бюллетеней	12189	747	709	897	1153	1326	771	625	490	91	1599	1338	515	385	840	97	184	78	208	116	20					
11	Число полученных открепительных  удостоверений	370	18	20	25	29	31	22	36	20	10	32	32	13	16	17	8	8	7	10	9	7					
12	Число выданных открепительных удостоверений	183	16	13	10	17	26	11	7	10	1	25	9	7	16	2	3	8	0	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	56	1	2	0	3	6	3	12	0	6	3	2	9	6	3	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	187	2	7	15	12	5	11	29	10	9	7	23	6	0	15	5	0	7	8	9	7					
15	"Число открепительных удостоверений, выданных в ТИК"	30	2	3	3	4	2	0	6	2	1	1	1	1	1	0	0	0	0	1	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	503	31	47	35	42	60	31	29	14	1	83	61	15	11	20	1	8	2	7	5	0					
		4.09%	4.11%	6.61%	3.87%	3.59%	4.49%	3.99%	4.58%	2.82%	1.10%	5.14%	4.53%	2.91%	2.85%	2.36%	1.03%	4.32%	2.53%	3.32%	4.31%	0.00%					
19	. Малышкин Олег Александрович	459	26	25	25	51	36	35	25	20	5	89	60	7	6	24	7	6	1	4	7	0					
		3.73%	3.45%	3.52%	2.76%	4.36%	2.69%	4.50%	3.95%	4.02%	5.49%	5.51%	4.45%	1.36%	1.55%	2.84%	7.22%	3.24%	1.27%	1.90%	6.03%	0.00%					
20	. Миронов Сергей Михайлович	91	4	7	6	4	6	10	4	9	0	7	12	5	7	7	0	0	0	0	3	0					
		0.74%	0.53%	0.98%	0.66%	0.34%	0.45%	1.29%	0.63%	1.81%	0.00%	0.43%	0.89%	0.97%	1.81%	0.83%	0.00%	0.00%	0.00%	0.00%	2.59%	0.00%					
21	. Путин Владимир Владимирович	8107	496	448	632	764	866	500	424	330	71	980	891	370	216	611	78	119	53	148	91	19					
		65.94%	65.78%	63.01%	69.83%	65.30%	64.82%	64.35%	66.98%	66.40%	78.02%	60.64%	66.10%	71.71%	55.96%	72.22%	80.41%	64.32%	67.09%	70.14%	78.45%	90.48%					
22	. Хакамада Ирина Муцуовна	407	30	27	29	48	65	33	24	18	1	47	45	12	10	5	0	3	4	5	1	0					
		3.31%	3.98%	3.80%	3.20%	4.10%	4.87%	4.25%	3.79%	3.62%	1.10%	2.91%	3.34%	2.33%	2.59%	0.59%	0.00%	1.62%	5.06%	2.37%	0.86%	0.00%					
23	. Харитонов Николай Михайлович	2120	144	133	112	215	230	129	88	76	10	342	196	96	119	121	8	41	12	40	7	1					
		17.24%	19.10%	18.71%	12.38%	18.38%	17.22%	16.60%	13.90%	15.29%	10.99%	21.16%	14.54%	18.60%	30.83%	14.30%	8.25%	22.16%	15.19%	18.96%	6.03%	4.76%					
																											
24	Против всех	502	16	22	58	29	63	33	31	23	3	51	73	10	16	52	3	7	6	4	2	0					
		4.08%	2.12%	3.09%	6.41%	2.48%	4.72%	4.25%	4.90%	4.63%	3.30%	3.16%	5.42%	1.94%	4.15%	6.15%	3.09%	3.78%	7.59%	1.90%	1.72%	0.00%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
