Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Коркинская городская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960					
1	"Число избирателей, внесенных в список"	48011	1647	1646	1651	1796	1790	1781	1690	1367	1612	1610	1658	1570	1821	886	702	1660	1138	504	860	806	1012	692	1677	1675	1667	1828	1244	901	200	775	364	1268	1604	1542	1656	1711					
2	Число полученных избирательных бюллетеней	49675	1640	1680	1680	1800	1760	1720	1730	1640	1630	1700	1750	1670	1900	920	690	1670	1280	520	950	800	1030	720	1760	1770	1800	1840	1265	860	210	820	340	1320	1680	1660	1750	1720					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	31384	1029	1075	1009	1181	1172	1026	1184	1179	1119	1159	1130	1038	1199	562	425	950	763	285	553	471	647	408	1024	1014	1065	1060	769	558	130	564	189	887	1071	1112	1141	1236					
5	"Число избирательных бюллетеней, выданных вне помещения"	2563	46	63	73	81	93	93	35	188	68	72	98	97	56	45	53	70	91	40	51	53	72	30	103	98	103	99	62	62	27	66	32	65	64	89	62	63					
6	Число погашенных избирательных бюллетеней	15713	563	542	597	538	495	601	511	273	443	469	522	535	645	313	212	648	426	195	346	276	311	282	633	658	632	681	434	240	53	190	119	368	545	459	547	411					
7	Число избирательных бюллетеней в переносных ящиках	2563	46	63	73	81	93	93	35	188	68	72	98	97	56	45	53	70	91	40	51	53	72	30	103	98	103	99	62	62	27	66	32	65	64	89	62	63					
8	Число бюллетеней в стационарных ящиках для голосования	31381	1029	1074	1009	1181	1172	1026	1184	1179	1119	1159	1130	1038	1199	562	425	950	762	285	553	471	647	408	1024	1014	1065	1060	769	557	130	564	189	887	1071	1112	1141	1236					
9	Число недействительных избирательных бюллетеней	435	10	12	14	21	22	16	19	15	20	22	11	15	11	6	3	9	4	7	11	8	10	3	12	12	23	18	12	22	2	8	2	10	10	15	10	10					
10	Число действительных избирательных бюллетеней	33509	1065	1125	1068	1241	1243	1103	1200	1352	1167	1209	1217	1120	1244	601	475	1011	849	318	593	516	709	435	1115	1100	1145	1141	819	597	155	622	219	942	1125	1186	1193	1289					
11	Число полученных открепительных  удостоверений	498	18	14	14	24	14	14	28	13	18	19	14	13	28	12	11	13	20	11	8	10	8	6	14	19	15	15	15	7	2	7	3	11	14	13	19	14					
12	Число выданных открепительных удостоверений	392	15	9	11	22	9	8	23	8	15	19	13	8	27	10	11	5	19	7	7	6	5	5	14	17	10	2	15	2	0	4	2	6	12	13	19	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	280	14	20	5	10	21	3	3	14	11	15	4	3	9	3	7	5	9	13	9	7	10	6	4	5	6	9	9	6	3	9	6	4	8	2	1	7					
14	Число неиспользованных открепительных удостоверений	106	3	5	3	2	5	6	5	5	3	0	1	5	1	2	0	8	1	4	1	4	3	1	0	2	5	13	0	5	2	3	1	5	2	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	38	3	0	3	1	0	1	1	0	1	0	0	1	1	0	0	1	1	0	2	3	2	1	2	1	3	2	0	2	0	0	1	0	2	0	0	3					
16	Число утраченных избирательных бюллетеней	15	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	1047	40	26	49	42	50	42	39	52	49	42	42	35	41	26	16	26	24	5	16	13	19	8	31	25	33	26	29	20	4	8	4	29	39	24	44	29					
		3.08%	3.72%	2.29%	4.53%	3.33%	3.95%	3.75%	3.20%	3.80%	4.13%	3.41%	3.42%	3.08%	3.27%	4.28%	3.35%	2.55%	2.81%	1.54%	2.65%	2.48%	2.64%	1.83%	2.75%	2.25%	2.83%	2.24%	3.49%	3.23%	2.55%	1.27%	1.81%	3.05%	3.44%	2.00%	3.66%	2.23%					
19	. Малышкин Олег Александрович	1740	53	56	47	72	81	51	56	54	39	57	54	84	59	42	30	58	50	22	26	23	49	12	60	64	75	42	50	38	15	58	7	51	51	43	43	68					
