Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Дмитриевская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412					
1	"Число избирателей, внесенных в список"	18253	1682	2173	2362	1509	830	679	287	34	257	315	100	638	1760	600	346	92	222	76	297	364	190	257	168	216	80	296	84	133	230	224	88	451	521	67	233	198	75	119					
2	Число полученных избирательных бюллетеней	17243	1525	1941	2075	1352	814	669	290	37	260	303	95	618	1706	583	342	96	222	77	302	367	196	265	178	213	81	287	79	123	216	233	92	443	499	64	222	189	75	114					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11371	918	1235	1174	751	673	517	195	18	169	222	81	467	977	431	227	58	181	50	184	241	142	160	103	180	66	244	78	120	164	185	66	308	337	38	176	140	45	50					
5	"Число избирательных бюллетеней, выданных вне помещения"	1704	42	62	104	67	34	26	60	16	56	67	11	54	191	56	69	23	25	21	73	52	33	76	29	16	9	29	0	0	40	25	17	78	57	24	40	43	28	51					
6	Число погашенных избирательных бюллетеней	4168	565	644	797	534	107	126	35	3	35	14	3	97	538	96	46	15	16	6	45	74	21	29	46	17	6	14	1	3	12	23	9	57	105	2	6	6	2	13					
7	Число избирательных бюллетеней в переносных ящиках	1704	42	62	104	67	34	26	60	16	56	67	11	54	191	56	69	23	25	21	73	52	33	76	29	16	9	29	0	0	40	25	17	78	57	24	40	43	28	51					
8	Число бюллетеней в стационарных ящиках для голосования	11371	918	1235	1174	751	673	517	195	18	169	222	81	467	977	431	227	58	181	50	184	241	142	160	103	180	66	244	78	120	164	185	66	308	337	38	176	140	45	50					
9	Число недействительных избирательных бюллетеней	116	6	9	25	5	8	4	4	1	2	0	0	0	10	2	4	0	1	0	0	0	3	5	0	0	1	3	0	0	2	2	1	7	6	2	2	1	0	0					
10	Число действительных избирательных бюллетеней	12959	954	1288	1253	813	699	539	251	33	223	289	92	521	1158	485	292	81	205	71	257	293	172	231	132	196	74	270	78	120	202	208	82	379	388	60	214	182	73	101					
11	Число полученных открепительных  удостоверений	210	20	20	30	15	5	5	3	2	3	3	3	5	10	5	3	3	3	2	5	5	3	5	3	3	3	3	3	3	3	3	3	5	5	3	3	3	3	3					
12	Число выданных открепительных удостоверений	103	17	16	24	15	1	5	0	0	0	0	0	0	6	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	3	0	1	4	0	3	0	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	78	3	4	6	2	2	2	4	0	1	1	2	1	3	0	2	2	1	1	0	2	3	1	2	1	1	4	0	3	2	5	1	0	7	1	3	0	3	2					
14	Число неиспользованных открепительных удостоверений	107	3	4	6	0	4	0	3	2	3	3	3	5	4	4	3	3	2	2	5	3	2	5	3	3	3	3	3	3	3	0	3	4	1	3	0	3	3	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	243	35	38	39	27	14	8	3	0	0	2	1	2	14	5	6	4	1	0	7	3	1	2	0	4	0	4	1	1	0	3	0	9	3	1	4	0	0	1					
		1.86%	3.65%	2.93%	3.05%	3.30%	1.98%	1.47%	1.18%	0.00%	0.00%	0.69%	1.09%	0.38%	1.20%	1.03%	2.03%	4.94%	0.49%	0.00%	2.72%	1.02%	0.57%	0.85%	0.00%	2.04%	0.00%	1.47%	1.28%	0.83%	0.00%	1.43%	0.00%	2.33%	0.76%	1.61%	1.85%	0.00%	0.00%	0.99%					
19	. Малышкин Олег Александрович	212	12	31	24	16	9	7	5	0	3	3	1	4	16	1	6	1	3	0	4	6	5	2	1	0	0	12	0	5	4	8	0	1	14	1	1	3	2	1					
		1.62%	1.25%	2.39%	1.88%	1.96%	1.27%	1.29%	1.96%	0.00%	1.33%	1.04%	1.09%	0.77%	1.37%	0.21%	2.03%	1.23%	1.46%	0.00%	1.56%	2.05%	2.86%	0.85%	0.76%	0.00%	0.00%	4.40%	0.00%	4.17%	1.96%	3.81%	0.00%	0.26%	3.55%	1.61%	0.46%	1.64%	2.74%	0.99%					
20	. Миронов Сергей Михайлович	85	4	14	8	5	1	5	3	0	5	2	1	6	4	2	1	1	2	0	0	3	2	1	0	1	2	1	0	0	2	0	3	3	1	0	1	1	0	0					
		0.65%	0.42%	1.08%	0.63%	0.61%	0.14%	0.92%	1.18%	0.00%	2.22%	0.69%	1.09%	1.15%	0.34%	0.41%	0.34%	1.23%	0.97%	0.00%	0.00%	1.02%	1.14%	0.42%	0.00%	0.51%	2.67%	0.37%	0.00%	0.00%	0.98%	0.00%	3.61%	0.78%	0.25%	0.00%	0.46%	0.55%	0.00%	0.00%					
21	. Путин Владимир Владимирович	8697	560	742	764	461	532	420	177	27	171	248	72	431	794	327	176	44	147	59	223	211	101	150	82	148	59	131	61	75	154	121	74	190	278	48	165	140	65	69					
		66.52%	58.33%	57.21%	59.78%	56.36%	75.25%	77.35%	69.41%	79.41%	76.00%	85.81%	78.26%	82.73%	67.98%	67.15%	59.46%	54.32%	71.36%	83.10%	86.77%	72.01%	57.71%	63.56%	62.12%	75.51%	78.67%	47.99%	78.21%	62.50%	75.49%	57.62%	89.16%	49.22%	70.56%	77.42%	76.39%	76.50%	89.04%	68.32%					
22	. Хакамада Ирина Муцуовна	144	20	15	19	8	8	5	6	0	4	0	0	2	6	1	5	6	3	1	1	1	4	3	1	2	0	4	3	0	0	2	1	4	5	0	1	1	0	2					
		1.10%	2.08%	1.16%	1.49%	0.98%	1.13%	0.92%	2.35%	0.00%	1.78%	0.00%	0.00%	0.38%	0.51%	0.21%	1.69%	7.41%	1.46%	1.41%	0.39%	0.34%	2.29%	1.27%	0.76%	1.02%	0.00%	1.47%	3.85%	0.00%	0.00%	0.95%	1.20%	1.04%	1.27%	0.00%	0.46%	0.55%	0.00%	1.98%					
23	. Харитонов Николай Михайлович	3410	305	417	370	287	131	94	51	6	37	32	15	72	305	144	97	22	48	11	20	68	57	70	48	40	13	115	13	38	40	71	4	167	81	10	42	36	6	27					
		26.08%	31.77%	32.15%	28.95%	35.09%	18.53%	17.31%	20.00%	17.65%	16.44%	11.07%	16.30%	13.82%	26.11%	29.57%	32.77%	27.16%	23.30%	15.49%	7.78%	23.21%	32.57%	29.66%	36.36%	20.41%	17.33%	42.12%	16.67%	31.67%	19.61%	33.81%	4.82%	43.26%	20.56%	16.13%	19.44%	19.67%	8.22%	26.73%					
																																													
24	Против всех	168	18	31	29	9	4	0	6	0	3	2	2	4	19	5	1	3	1	0	2	1	2	3	0	1	0	3	0	1	2	3	0	5	6	0	0	1	0	1					
		1.28%	1.88%	2.39%	2.27%	1.10%	0.57%	0.00%	2.35%	0.00%	1.33%	0.69%	2.17%	0.77%	1.63%	1.03%	0.34%	3.70%	0.49%	0.00%	0.78%	0.34%	1.14%	1.27%	0.00%	0.51%	0.00%	1.10%	0.00%	0.83%	0.98%	1.43%	0.00%	1.30%	1.52%	0.00%	0.00%	0.55%	0.00%	0.99%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
