Выборы Президента Российской Федерации																
																
Наименование Избирательной комиссии:    Черноголовская городская																
																
Итоги голосования 																
																
		Сумма	УИК  2954	УИК  2955	УИК  2956	УИК  2957	УИК  2958	УИК  2959	УИК  2960	УИК  2961	УИК  2962					
1	"Число избирателей, внесенных в список"	17524	137	192	2459	2568	2698	2457	2416	2379	2218					
2	Число полученных избирательных бюллетеней	16127	134	193	2300	2400	2500	2200	2200	2200	2000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9780	91	79	1323	1433	1489	1400	1423	1332	1210					
5	"Число избирательных бюллетеней, выданных вне помещения"	143	0	40	14	6	11	16	16	17	23					
6	Число погашенных избирательных бюллетеней	6204	43	74	963	961	1000	784	761	851	767					
7	Число избирательных бюллетеней в переносных ящиках	143	0	40	14	6	11	16	16	17	23					
8	Число бюллетеней в стационарных ящиках для голосования	9770	91	79	1320	1432	1489	1396	1423	1330	1210					
9	Число недействительных избирательных бюллетеней	61	0	1	17	8	7	3	12	9	4					
10	Число действительных избирательных бюллетеней	9852	91	118	1317	1430	1493	1409	1427	1338	1229					
11	Число полученных открепительных  удостоверений	750	25	25	100	100	100	100	100	100	100					
12	Число выданных открепительных удостоверений	99	2	1	14	9	13	13	21	15	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	123	2	3	9	11	5	20	35	13	25					
14	Число неиспользованных открепительных удостоверений	651	23	24	86	91	87	87	79	85	89					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	1	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																
18	. Глазьев Сергей Юрьевич	727	8	2	69	114	99	100	120	93	122					
		7.33%	8.79%	1.68%	5.17%	7.93%	6.60%	7.08%	8.34%	6.90%	9.89%					
19	. Малышкин Олег Александрович	116	0	2	20	16	25	11	8	22	12					
		1.17%	0.00%	1.68%	1.50%	1.11%	1.67%	0.78%	0.56%	1.63%	0.97%					
20	. Миронов Сергей Михайлович	53	0	0	9	6	9	10	8	6	5					
		0.53%	0.00%	0.00%	0.67%	0.42%	0.60%	0.71%	0.56%	0.45%	0.41%					
21	. Путин Владимир Владимирович	6307	61	100	931	927	977	948	875	834	654					
		63.62%	67.03%	84.03%	69.79%	64.46%	65.13%	67.14%	60.81%	61.92%	53.04%					
22	. Хакамада Ирина Муцуовна	1008	1	4	101	144	129	134	155	133	207					
		10.17%	1.10%	3.36%	7.57%	10.01%	8.60%	9.49%	10.77%	9.87%	16.79%					
23	. Харитонов Николай Михайлович	915	15	6	105	119	131	107	151	154	127					
		9.23%	16.48%	5.04%	7.87%	8.28%	8.73%	7.58%	10.49%	11.43%	10.30%					
																
24	Против всех	726	6	4	82	104	123	99	110	96	102					
		7.32%	6.59%	3.36%	6.15%	7.23%	8.20%	7.01%	7.64%	7.13%	8.27%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
