Выборы Президента Российской Федерации																																																						
																																																						
Наименование Избирательной комиссии:    Кореновская																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847					
		2.25%	1.60%	1.79%	1.56%	2.58%	1.34%	1.26%	2.07%	1.32%	2.02%	2.19%	2.11%	1.91%	3.39%	2.51%	2.38%	2.58%	1.56%	1.35%	2.05%	2.39%	1.72%	2.71%	2.75%	2.20%	2.20%	2.25%	1.53%	2.42%	0.00%	1.50%	2.53%	3.17%	2.42%	2.51%	1.82%	4.10%	3.48%	2.36%	1.62%	3.05%	2.08%	7.16%	2.18%	2.42%	2.63%	4.65%	3.18%					
20	. Миронов Сергей Михайлович	221	7	7	8	2	4	8	7	10	10	10	9	8	4	6	1	9	1	1	5	6	5	2	2	4	5	5	3	1	1	0	13	0	1	3	6	2	2	1	1	4	6	8	3	6	6	2	6					
		0.57%	0.62%	0.50%	0.54%	0.21%	0.38%	0.84%	0.69%	0.82%	0.81%	1.10%	0.63%	0.76%	0.39%	0.72%	0.15%	0.86%	0.39%	0.34%	1.47%	0.65%	0.33%	0.78%	0.39%	0.28%	0.50%	0.42%	0.38%	0.19%	0.97%	0.00%	0.94%	0.00%	0.13%	0.40%	1.09%	0.82%	0.35%	0.18%	0.40%	0.94%	0.50%	1.85%	0.33%	0.91%	0.45%	0.66%	0.73%					
21	. Путин Владимир Владимирович	24023	705	914	1008	618	692	573	651	773	880	583	1083	660	583	463	395	667	133	241	255	549	1012	179	342	903	663	768	543	360	72	250	644	241	429	419	290	157	369	269	143	247	632	247	507	294	885	213	519					
		62.49%	62.56%	65.61%	68.15%	66.31%	66.47%	60.32%	64.20%	63.57%	70.97%	63.86%	76.27%	62.92%	56.49%	55.38%	58.78%	63.83%	51.75%	81.14%	74.78%	59.74%	66.84%	69.38%	67.06%	64.22%	66.17%	63.89%	69.35%	66.91%	69.90%	74.85%	46.60%	54.52%	54.58%	55.28%	52.92%	64.34%	64.17%	48.91%	57.89%	57.98%	52.67%	57.04%	55.35%	44.41%	66.39%	70.76%	63.53%					
22	. Хакамада Ирина Муцуовна	882	42	23	27	28	31	35	19	42	30	22	30	30	37	25	17	17	4	2	3	21	46	4	10	20	19	16	23	12	3	7	23	14	14	10	10	6	7	5	16	8	26	10	43	11	15	5	14					
		2.29%	3.73%	1.65%	1.83%	3.00%	2.98%	3.68%	1.87%	3.45%	2.42%	2.41%	2.11%	2.86%	3.59%	2.99%	2.53%	1.63%	1.56%	0.67%	0.88%	2.29%	3.04%	1.55%	1.96%	1.42%	1.90%	1.33%	2.94%	2.23%	2.91%	2.10%	1.66%	3.17%	1.78%	1.32%	1.82%	2.46%	1.22%	0.91%	6.48%	1.88%	2.17%	2.31%	4.69%	1.66%	1.13%	1.66%	1.71%					
23	. Харитонов Николай Михайлович	9714	245	313	313	198	211	230	230	250	209	210	133	246	309	249	178	275	102	37	58	270	341	53	118	345	233	331	151	124	23	31	577	151	283	263	204	61	141	247	67	127	388	102	267	249	327	53	191					
		25.27%	21.74%	22.47%	21.16%	21.24%	20.27%	24.21%	22.68%	20.56%	16.85%	23.00%	9.37%	23.45%	29.94%	29.78%	26.49%	26.32%	39.69%	12.46%	17.01%	29.38%	22.52%	20.54%	23.14%	24.54%	23.25%	27.54%	19.28%	23.05%	22.33%	9.28%	41.75%	34.16%	36.01%	34.70%	37.23%	25.00%	24.52%	44.91%	27.13%	29.81%	32.33%	23.56%	29.15%	37.61%	24.53%	17.61%	23.38%					
																																																						
24	Против всех	1128	44	49	34	21	31	42	38	53	33	32	81	42	24	26	28	25	7	4	5	29	31	3	13	32	34	19	15	8	1	7	30	7	19	21	14	2	20	11	6	5	49	9	40	35	22	7	20					
		2.93%	3.90%	3.52%	2.30%	2.25%	2.98%	4.42%	3.75%	4.36%	2.66%	3.50%	5.70%	4.00%	2.33%	3.11%	4.17%	2.39%	2.72%	1.35%	1.47%	3.16%	2.05%	1.16%	2.55%	2.28%	3.39%	1.58%	1.92%	1.49%	0.97%	2.10%	2.17%	1.58%	2.42%	2.77%	2.55%	0.82%	3.48%	2.00%	2.43%	1.17%	4.08%	2.08%	4.37%	5.29%	1.65%	2.33%	2.45%					
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
