Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Кумертауская городская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955					
1	"Число избирателей, внесенных в список"	54386	1880	2745	2703	2698	2218	2082	2453	960	1431	2359	881	1197	2637	2445	2463	2858	1527	1372	2258	2615	2670	2761	2536	1577	914	2071	75					
2	Число полученных избирательных бюллетеней	53805	1870	2710	2690	2650	2210	2040	2420	940	1390	2330	850	1190	2600	2380	2420	2800	1480	1340	2190	2570	2610	2750	2609	1550	900	2066	250					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	44165	1614	2517	2305	2475	1871	1577	1723	613	1090	2044	795	979	2082	1864	2039	2434	1254	1096	1400	2297	2373	1898	2055	1390	728	1577	75					
5	"Число избирательных бюллетеней, выданных вне помещения"	1961	79	48	50	30	58	214	69	113	141	56	23	198	186	63	66	32	44	66	36	29	41	38	28	80	94	79	0					
6	Число погашенных избирательных бюллетеней	7679	177	145	335	145	281	249	628	214	159	230	32	13	332	453	315	334	182	178	754	244	196	814	526	80	78	410	175					
7	Число избирательных бюллетеней в переносных ящиках	1961	79	48	50	30	58	214	69	113	141	56	23	198	186	63	66	32	44	66	36	29	41	38	28	80	94	79	0					
8	Число бюллетеней в стационарных ящиках для голосования	44095	1614	2517	2305	2475	1871	1577	1723	613	1090	2044	795	979	2082	1864	2039	2434	1254	1096	1400	2268	2332	1898	2055	1390	728	1577	75					
9	Число недействительных избирательных бюллетеней	141	0	12	3	5	4	8	14	4	0	14	0	3	0	6	0	15	0	1	22	2	4	6	1	3	10	4	0					
10	Число действительных избирательных бюллетеней	45915	1693	2553	2352	2500	1925	1783	1778	722	1231	2086	818	1174	2268	1921	2105	2451	1298	1161	1414	2295	2369	1930	2082	1467	812	1652	75					
11	Число полученных открепительных  удостоверений	1000	35	50	50	50	40	35	45	20	25	45	20	25	45	45	45	50	30	25	40	50	50	50	50	30	15	35	0					
12	Число выданных открепительных удостоверений	612	28	30	34	37	26	29	30	4	11	28	5	16	33	26	18	23	13	12	26	29	37	39	34	12	2	30	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	269	7	3	9	15	9	9	8	4	1	8	9	1	9	42	5	3	10	3	5	7	6	3	8	0	7	11	67					
14	Число неиспользованных открепительных удостоверений	388	7	20	16	13	14	6	15	16	14	17	15	9	12	19	27	27	17	13	14	21	13	11	16	18	13	5	0					
15	"Число открепительных удостоверений, выданных в ТИК"	17	0	0	0	1	0	2	1	0	0	1	1	1	1	1	1	0	0	0	2	3	1	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	415	10	19	8	15	35	2	61	18	12	18	10	1	8	16	3	28	13	13	49	10	15	2	20	17	4	8	0					
		0.90%	0.59%	0.74%	0.34%	0.60%	1.81%	0.11%	3.40%	2.48%	0.97%	0.86%	1.22%	0.08%	0.35%	0.83%	0.14%	1.14%	1.00%	1.12%	3.41%	0.44%	0.63%	0.10%	0.96%	1.16%	0.49%	0.48%	0.00%					
19	. Малышкин Олег Александрович	227	1	24	6	10	14	3	13	5	7	9	0	1	7	13	2	17	5	3	31	17	2	1	12	10	5	9	0					
		0.49%	0.06%	0.94%	0.25%	0.40%	0.73%	0.17%	0.73%	0.69%	0.57%	0.43%	0.00%	0.08%	0.31%	0.67%	0.10%	0.69%	0.39%	0.26%	2.16%	0.74%	0.08%	0.05%	0.58%	0.68%	0.61%	0.54%	0.00%					
20	. Миронов Сергей Михайлович	131	5	18	5	20	5	1	11	2	3	5	0	0	3	6	1	12	3	3	6	10	3	1	0	2	0	6	0					
		0.28%	0.30%	0.70%	0.21%	0.80%	0.26%	0.06%	0.61%	0.28%	0.24%	0.24%	0.00%	0.00%	0.13%	0.31%	0.05%	0.49%	0.23%	0.26%	0.42%	0.44%	0.13%	0.05%	0.00%	0.14%	0.00%	0.36%	0.00%					
21	. Путин Владимир Владимирович	41252	1587	2365	2166	2304	1699	1631	1304	664	1133	1880	755	1043	2088	1773	1937	2034	1197	1070	966	2144	2187	1651	1916	1390	756	1539	73					
		89.57%	93.74%	92.20%	91.97%	91.98%	88.08%	91.07%	72.77%	91.46%	92.04%	89.52%	92.30%	88.62%	92.06%	92.01%	92.02%	82.48%	92.22%	92.08%	67.27%	93.34%	92.16%	85.28%	91.98%	94.56%	91.97%	92.93%	97.33%					
22	. Хакамада Ирина Муцуовна	366	9	28	6	5	15	2	30	11	8	21	33	1	10	26	8	37	1	7	36	1	27	1	19	3	13	7	1					
		0.79%	0.53%	1.09%	0.25%	0.20%	0.78%	0.11%	1.67%	1.52%	0.65%	1.00%	4.03%	0.08%	0.44%	1.35%	0.38%	1.50%	0.08%	0.60%	2.51%	0.04%	1.14%	0.05%	0.91%	0.20%	1.58%	0.42%	1.33%					
23	. Харитонов Николай Михайлович	3253	73	80	156	136	147	134	326	19	61	129	7	126	150	73	154	294	70	58	290	106	133	272	107	42	30	79	1					
		7.06%	4.31%	3.12%	6.62%	5.43%	7.62%	7.48%	18.19%	2.62%	4.96%	6.14%	0.86%	10.71%	6.61%	3.79%	7.32%	11.92%	5.39%	4.99%	20.19%	4.61%	5.60%	14.05%	5.14%	2.86%	3.65%	4.77%	1.33%					
																																		
