Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Камышинская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941					
1	"Число избирателей, внесенных в список"	31314	405	1121	446	899	615	383	162	898	398	635	122	163	108	138	1013	646	198	664	259	1414	1143	252	722	1175	1473	1913	1517	1190	2136	513	971	818	744	146	1173	789	681	1105	1945	221					
2	Число полученных избирательных бюллетеней	29367	360	950	420	850	570	360	186	850	390	600	135	174	105	143	950	600	196	650	230	1350	1050	230	630	1200	1350	1750	1400	1150	2000	490	900	750	700	148	1100	750	650	1050	1800	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18552	235	855	266	464	464	250	114	666	234	412	84	129	61	94	790	457	153	510	194	734	552	164	350	507	726	965	855	662	1319	370	531	443	485	116	651	528	343	567	1178	74					
5	"Число избирательных бюллетеней, выданных вне помещения"	1566	57	25	55	42	16	0	11	11	40	63	20	0	14	4	40	63	0	10	15	22	93	23	50	48	33	80	40	46	135	28	77	64	37	7	74	38	52	18	49	66					
6	Число погашенных избирательных бюллетеней	9249	68	70	99	344	90	110	61	173	116	125	31	45	30	45	120	80	43	130	21	594	405	43	230	645	591	705	505	442	546	92	292	243	178	25	375	184	255	465	573	60					
7	Число избирательных бюллетеней в переносных ящиках	1566	57	25	55	42	16	0	11	11	40	63	20	0	14	4	40	63	0	10	15	22	93	23	50	48	33	80	40	46	135	28	77	64	37	7	74	38	52	18	49	66					
8	Число бюллетеней в стационарных ящиках для голосования	18550	235	855	266	463	464	250	114	666	234	412	84	129	61	94	790	457	153	510	194	734	552	164	350	507	726	965	854	662	1319	370	531	443	485	116	651	528	343	567	1178	74					
9	Число недействительных избирательных бюллетеней	190	3	8	0	5	9	0	1	2	6	6	0	4	1	2	7	3	4	7	4	6	7	4	1	4	9	6	6	11	12	3	3	10	6	0	12	2	7	0	9	0					
10	Число действительных избирательных бюллетеней	19926	289	872	321	500	471	250	124	675	268	469	104	125	74	96	823	517	149	513	205	750	638	183	399	551	750	1039	888	697	1442	395	605	497	516	123	713	564	388	585	1218	140					
11	Число полученных открепительных  удостоверений	379	5	9	4	15	10	5	5	13	5	8	5	5	3	5	15	7	5	10	5	15	14	5	8	14	14	20	10	14	22	6	10	8	10	5	14	10	10	13	14	4					
12	Число выданных открепительных удостоверений	163	0	1	0	9	4	0	0	7	4	1	0	0	0	5	3	7	0	10	5	11	4	2	4	1	2	16	4	6	10	1	1	6	7	0	7	8	0	3	14	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	104	1	5	2	1	1	2	0	5	2	2	0	1	0	0	0	2	3	0	6	5	6	4	2	4	2	2	7	2	10	0	4	2	1	0	3	10	1	0	5	1					
14	Число неиспользованных открепительных удостоверений	216	5	8	4	6	6	5	5	6	1	7	5	5	3	0	12	0	5	0	0	4	10	3	4	13	12	4	6	8	12	5	9	2	3	5	7	2	10	10	0	4					
15	"Число открепительных удостоверений, выданных в ТИК"	21	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	2	1	1	1	1	0	1	1	0	0	0	4	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
