Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Краснинская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646					
1	"Число избирателей, внесенных в список"	11539	1857	306	182	336	371	701	101	545	178	1980	1162	505	371	323	306	327	270	302	301	412	77	626					
2	Число полученных избирательных бюллетеней	11364	1888	311	178	347	385	708	104	514	174	1764	1151	514	367	328	306	336	272	302	308	417	74	616					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6687	1231	88	101	202	158	452	69	288	131	1186	687	183	82	171	205	215	122	163	173	311	63	406					
5	"Число избирательных бюллетеней, выданных вне помещения"	2047	105	148	61	71	115	113	14	100	13	114	185	187	206	88	49	72	97	95	71	46	7	90					
6	Число погашенных избирательных бюллетеней	2630	552	75	16	74	112	143	21	126	30	464	279	144	79	69	52	49	53	44	64	60	4	120					
7	Число избирательных бюллетеней в переносных ящиках	2047	105	148	61	71	115	113	14	100	13	114	185	187	206	88	49	72	97	95	71	46	7	90					
8	Число бюллетеней в стационарных ящиках для голосования	6687	1231	88	101	202	158	452	69	288	131	1186	687	183	82	171	205	215	122	163	173	311	63	406					
9	Число недействительных избирательных бюллетеней	102	3	4	2	6	0	10	1	4	4	18	8	7	2	8	1	0	4	4	4	4	0	8					
10	Число действительных избирательных бюллетеней	8632	1333	232	160	267	273	555	82	384	140	1282	864	363	286	251	253	287	215	254	240	353	70	488					
11	Число полученных открепительных  удостоверений	450	73	12	8	14	15	27	5	20	7	75	45	20	14	12	12	14	10	12	12	15	3	25					
12	Число выданных открепительных удостоверений	86	16	2	1	9	5	1	0	0	0	7	14	0	3	0	6	8	8	0	6	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	100	8	1	1	3	1	7	1	9	3	21	8	4	2	2	4	5	3	4	2	2	3	6					
14	Число неиспользованных открепительных удостоверений	364	57	10	7	5	10	26	5	20	7	68	31	20	11	12	6	6	2	12	6	15	3	25					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	206	42	4	1	9	4	10	0	12	0	36	28	10	1	5	6	7	2	5	6	3	1	14					
		2.36%	3.14%	1.69%	0.62%	3.30%	1.47%	1.77%	0.00%	3.09%	0.00%	2.77%	3.21%	2.70%	0.35%	1.93%	2.36%	2.44%	0.91%	1.94%	2.46%	0.84%	1.43%	2.82%					
19	. Малышкин Олег Александрович	261	60	20	1	5	3	14	2	9	4	36	38	16	8	10	9	6	4	0	6	6	0	4					
		2.99%	4.49%	8.47%	0.62%	1.83%	1.10%	2.48%	2.41%	2.32%	2.78%	2.77%	4.36%	4.32%	2.78%	3.86%	3.54%	2.09%	1.83%	0.00%	2.46%	1.68%	0.00%	0.81%					
20	. Миронов Сергей Михайлович	57	7	1	2	4	1	10	1	2	0	4	8	2	3	1	0	1	0	1	0	4	0	5					
		0.65%	0.52%	0.42%	1.23%	1.47%	0.37%	1.77%	1.20%	0.52%	0.00%	0.31%	0.92%	0.54%	1.04%	0.39%	0.00%	0.35%	0.00%	0.39%	0.00%	1.12%	0.00%	1.01%					
21	. Путин Владимир Владимирович	5749	853	154	107	206	201	360	52	267	118	806	516	259	204	163	157	202	134	169	157	258	56	350					
		65.82%	63.85%	65.25%	66.05%	75.46%	73.63%	63.72%	62.65%	68.81%	81.94%	62.00%	59.17%	70.00%	70.83%	62.93%	61.81%	70.38%	61.19%	65.50%	64.34%	72.27%	80.00%	70.56%					
22	. Хакамада Ирина Муцуовна	108	19	1	1	3	3	5	0	8	1	20	13	1	3	3	4	6	3	1	4	2	1	6					
		1.24%	1.42%	0.42%	0.62%	1.10%	1.10%	0.88%	0.00%	2.06%	0.69%	1.54%	1.49%	0.27%	1.04%	1.16%	1.57%	2.09%	1.37%	0.39%	1.64%	0.56%	1.43%	1.21%					
23	. Харитонов Николай Михайлович	2028	311	50	46	36	57	144	26	76	13	335	236	70	63	63	70	48	68	68	57	77	12	102					
		23.22%	23.28%	21.19%	28.40%	13.19%	20.88%	25.49%	31.33%	19.59%	9.03%	25.77%	27.06%	18.92%	21.88%	24.32%	27.56%	16.72%	31.05%	26.36%	23.36%	21.57%	17.14%	20.56%					
																													
24	Против всех	223	41	2	2	4	4	12	1	10	4	45	25	5	4	6	7	17	4	10	10	3	0	7					
		2.55%	3.07%	0.85%	1.23%	1.47%	1.47%	2.12%	1.20%	2.58%	2.78%	3.46%	2.87%	1.35%	1.39%	2.32%	2.76%	5.92%	1.83%	3.88%	4.10%	0.84%	0.00%	1.41%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
