Выборы Президента Российской Федерации																							
																							
Наименование Избирательной комиссии:    Собинская городская																							
																							
Итоги голосования 																							
																							
		Сумма	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250					
1	"Число избирателей, внесенных в список"	30572	2054	2001	1990	1936	2000	1852	1902	1693	1737	2012	1953	2008	1964	2098	1771	1601					
2	Число полученных избирательных бюллетеней	30440	2050	2015	1875	1930	2000	1840	1900	1715	1750	1990	1935	2000	1930	2070	1780	1660					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13751	673	870	857	884	933	827	874	796	800	997	845	969	892	1056	910	568					
5	"Число избирательных бюллетеней, выданных вне помещения"	2227	383	175	226	185	100	88	89	71	91	65	116	75	141	114	54	254					
6	Число погашенных избирательных бюллетеней	14462	994	970	792	861	967	925	937	848	859	928	974	956	897	900	816	838					
7	Число избирательных бюллетеней в переносных ящиках	2227	383	175	226	185	100	88	89	71	91	65	116	75	141	114	54	254					
8	Число бюллетеней в стационарных ящиках для голосования	13751	673	870	857	884	933	827	874	796	800	997	845	969	892	1056	910	568					
9	Число недействительных избирательных бюллетеней	128	5	4	6	6	3	13	2	7	8	12	6	10	7	12	14	13					
10	Число действительных избирательных бюллетеней	15850	1051	1041	1077	1063	1030	902	961	860	883	1050	955	1034	1026	1158	950	809					
11	Число полученных открепительных  удостоверений	497	32	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31					
12	Число выданных открепительных удостоверений	137	14	10	5	11	11	6	8	3	9	14	3	9	8	9	10	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	76	4	3	5	6	4	6	7	3	0	6	6	1	9	7	2	7					
14	Число неиспользованных открепительных удостоверений	360	18	21	26	20	20	25	23	28	22	17	28	22	23	22	21	24					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																							
18	. Глазьев Сергей Юрьевич	481	29	40	26	26	41	26	23	16	19	40	33	26	36	51	28	21					
		3.01%	2.75%	3.83%	2.40%	2.43%	3.97%	2.84%	2.39%	1.85%	2.13%	3.77%	3.43%	2.49%	3.48%	4.36%	2.90%	2.55%					
19	. Малышкин Олег Александрович	396	18	28	21	30	27	14	25	15	23	31	27	27	32	37	20	21					
		2.48%	1.70%	2.68%	1.94%	2.81%	2.61%	1.53%	2.60%	1.73%	2.58%	2.92%	2.81%	2.59%	3.10%	3.16%	2.07%	2.55%					
20	. Миронов Сергей Михайлович	105	15	8	5	10	5	4	5	4	9	6	4	6	10	5	6	3					
		0.66%	1.42%	0.77%	0.46%	0.94%	0.48%	0.44%	0.52%	0.46%	1.01%	0.56%	0.42%	0.57%	0.97%	0.43%	0.62%	0.36%					
21	. Путин Владимир Владимирович	12177	841	809	871	815	801	718	770	655	655	824	715	790	755	829	707	622					
		76.21%	79.64%	77.42%	80.42%	76.24%	77.54%	78.47%	79.96%	75.55%	73.51%	77.59%	74.40%	75.67%	73.09%	70.85%	73.34%	75.67%					
22	. Хакамада Ирина Муцуовна	340	18	20	19	29	22	14	18	29	22	17	32	31	21	23	17	8					
		2.13%	1.70%	1.91%	1.75%	2.71%	2.13%	1.53%	1.87%	3.34%	2.47%	1.60%	3.33%	2.97%	2.03%	1.97%	1.76%	0.97%					
23	. Харитонов Николай Михайлович	1893	107	99	122	124	101	105	99	119	111	107	100	122	141	179	142	115					
		11.85%	10.13%	9.47%	11.27%	11.60%	9.78%	11.48%	10.28%	13.73%	12.46%	10.08%	10.41%	11.69%	13.65%	15.30%	14.73%	13.99%					
																							
24	Против всех	458	23	37	13	29	33	21	21	22	44	25	44	32	31	34	30	19					
		2.87%	2.18%	3.54%	1.20%	2.71%	3.19%	2.30%	2.18%	2.54%	4.94%	2.35%	4.58%	3.07%	3.00%	2.91%	3.11%	2.31%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
