Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Качугская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №1581					
		3.83%	5.63%	8.64%	2.47%	4.73%	1.06%	3.31%	4.19%	6.46%	1.07%	1.85%	1.15%	1.82%	2.56%	3.57%	1.72%	0.83%	2.88%	0.00%	5.48%	2.38%	10.23%	2.90%	3.28%	0.00%	1.87%	4.80%	0.00%	1.50%	3.53%	1.47%	1.71%	1.49%	4.94%	0.00%	4.59%	0.00%	4.35%	7.08%	2.10%	2.98%	2.01%	5.37%	0.91%	4.59%	4.31%	5.92%					
19	. Малышкин Олег Александрович	345	21	29	7	10	9	4	13	4	13	3	2	5	2	6	3	10	35	0	4	5	3	4	9	3	2	5	5	8	13	12	4	2	1	0	3	4	8	16	7	12	5	7	8	4	13	2					
		4.00%	3.70%	4.48%	4.32%	2.25%	4.76%	3.31%	3.63%	1.52%	4.63%	5.56%	2.30%	4.55%	5.13%	5.36%	5.17%	8.26%	5.60%	0.00%	1.83%	5.95%	3.41%	5.80%	2.95%	3.53%	1.87%	4.00%	4.95%	6.02%	3.53%	8.82%	1.71%	2.99%	1.23%	0.00%	1.38%	3.42%	3.86%	14.16%	4.90%	2.98%	3.36%	4.70%	7.27%	3.67%	6.22%	1.18%					
20	. Миронов Сергей Михайлович	103	6	7	2	1	2	3	6	1	0	0	0	0	0	1	1	2	3	0	3	2	0	2	3	0	3	6	6	3	7	4	1	0	0	1	8	2	2	4	0	4	0	2	2	1	0	2					
		1.19%	1.06%	1.08%	1.23%	0.23%	1.06%	2.48%	1.68%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.89%	1.72%	1.65%	0.48%	0.00%	1.37%	2.38%	0.00%	2.90%	0.98%	0.00%	2.80%	4.80%	5.94%	2.26%	1.90%	2.94%	0.43%	0.00%	0.00%	5.26%	3.67%	1.71%	0.97%	3.54%	0.00%	0.99%	0.00%	1.34%	1.82%	0.92%	0.00%	1.18%					
21	. Путин Владимир Владимирович	5529	326	356	96	259	106	81	228	174	178	35	60	88	29	73	42	92	421	44	147	49	57	40	166	73	78	73	67	92	264	91	144	44	70	9	126	94	150	57	123	264	100	85	82	66	139	91					
		64.13%	57.39%	54.94%	59.26%	58.33%	56.08%	66.94%	63.69%	66.16%	63.35%	64.81%	68.97%	80.00%	74.36%	65.18%	72.41%	76.03%	67.36%	68.75%	67.12%	58.33%	64.77%	57.97%	54.43%	85.88%	72.90%	58.40%	66.34%	69.17%	71.74%	66.91%	61.54%	65.67%	86.42%	47.37%	57.80%	80.34%	72.46%	50.44%	86.01%	65.51%	67.11%	57.05%	74.55%	60.55%	66.51%	53.85%					
22	. Хакамада Ирина Муцуовна	214	16	20	6	17	8	2	7	9	9	3	1	2	1	6	1	0	5	0	2	4	2	1	6	1	3	5	3	0	5	1	6	4	1	2	8	2	3	5	2	10	4	1	0	6	7	7					
		2.48%	2.82%	3.09%	3.70%	3.83%	4.23%	1.65%	1.96%	3.42%	3.20%	5.56%	1.15%	1.82%	2.56%	5.36%	1.72%	0.00%	0.80%	0.00%	0.91%	4.76%	2.27%	1.45%	1.97%	1.18%	2.80%	4.00%	2.97%	0.00%	1.36%	0.74%	2.56%	5.97%	1.23%	10.53%	3.67%	1.71%	1.45%	4.42%	1.40%	2.48%	2.68%	0.67%	0.00%	5.50%	3.35%	4.14%					
23	. Харитонов Николай Михайлович	1863	135	157	39	124	52	25	83	46	66	11	20	11	5	19	9	13	130	20	44	20	16	18	100	6	18	28	19	25	57	25	70	15	4	7	56	14	35	17	6	89	36	40	15	25	40	53					
