7	Число избирательных бюллетеней в переносных ящиках для голосования	11324	14	260	20	18	130	66	56	48	92	96	27	136	306	136	76	176	39	85	66	172	57	127	33	20	234	57	44	137	66	49	89	100	74	91	391	50	64	97	184	175	235	174	46	27	75	24	5	78	69	87	77	26	267	203	91	313	303	126	150	225	241	98	156	132	195	256	100	80	349	202	53	183	195	242	70	46	213	213	86	91	231	121	59	97	82	82	368	148	45	131									
8	Число бюллетеней в стационарных ящиках для голосования	59405	879	780	974	766	786	814	764	896	1068	961	761	404	855	796	849	820	622	587	789	721	797	880	715	891	629	637	646	347	702	685	837	1024	887	676	758	950	727	928	87	148	729	609	547	497	1001	975	757	684	647	806	1238	594	1173	337	613	626	550	613	641	670	269	112	544	562	464	635	1060	675	508	522	341	532	413	596	248	296	1163	963	144	492	362	364	155	334	953	1063	630	269	293	293									
9	Число недействительных избирательных бюллетеней	343	5	7	4	9	3	2	8	3	0	4	6	4	5	7	13	2	2	0	5	3	6	3	4	5	9	2	2	0	7	6	12	8	1	0	3	8	5	10	0	1	0	2	1	6	8	3	6	10	0	1	12	5	5	0	3	0	3	0	5	6	3	0	3	1	4	1	8	0	4	5	3	3	0	7	2	0	3	5	0	2	0	2	1	5	5	10	4	2	0	0									
10	Число действительных избирательных бюллетеней	70386	888	1033	990	775	913	878	812	941	1160	1053	782	536	1156	925	912	994	659	672	850	890	848	1004	744	906	854	692	688	484	761	728	914	1116	960	767	1146	992	786	1015	271	322	964	781	592	518	1068	996	756	752	716	892	1303	615	1435	540	701	939	850	739	786	889	507	210	697	693	655	890	1152	755	853	719	391	712	608	831	316	342	1373	1171	230	581	593	483	213	426	1030	1135	994	415	338	424									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																					
13	Бабурин Сергей Николаевич	348	5	5	6	5	6	6	9	3	0	2	5	4	5	7	8	5	0	2	0	3	10	5	4	4	5	9	4	3	5	3	8	6	4	3	3	0	4	5	0	1	3	3	4	2	7	4	4	3	5	4	5	3	3	3	0	5	3	3	5	11	0	0	4	2	0	2	3	1	2	5	6	3	4	7	1	3	10	5	0	2	3	4	0	5	8	13	1	1	0	1									
		0.49%	0.56%	0.48%	0.60%	0.64%	0.66%	0.68%	1.10%	0.32%	0.00%	0.19%	0.63%	0.74%	0.43%	0.75%	0.86%	0.50%	0.00%	0.30%	0.00%	0.34%	1.17%	0.50%	0.53%	0.44%	0.58%	1.30%	0.58%	0.62%	0.65%	0.41%	0.86%	0.53%	0.42%	0.39%	0.26%	0.00%	0.51%	0.49%	0.00%	0.31%	0.31%	0.38%	0.67%	0.38%	0.65%	0.40%	0.52%	0.39%	0.70%	0.45%	0.38%	0.48%	0.21%	0.56%	0.00%	0.53%	0.35%	0.41%	0.63%	1.23%	0.00%	0.00%	0.57%	0.29%	0.00%	0.22%	0.26%	0.13%	0.23%	0.69%	1.52%	0.42%	0.66%	0.84%	0.31%	0.88%	0.73%	0.43%	0.00%	0.34%	0.51%	0.82%	0.00%	1.16%	0.77%	1.14%	0.10%	0.24%	0.00%	0.24%									
14	Грудинин Павел Николаевич	5426	58	76	52	59	66	78	69	85	62	76	62	18	56	58	73	78	54	58	77	60	71	81	57	92	102	70	76	37	67	47	69	110	76	52	100	77	83	100	0	17	50	38	49	44	72	46	61	48	79	49	166	61	91	32	102	47	98	59	68	58	37	19	55	55	59	72	78	52	84	28	20	36	64	50	18	21	75	102	10	52	52	55	10	33	118	95	57	13	11	18									
		7.67%	6.49%	7.31%	5.23%	7.53%	7.21%	8.86%	8.41%	9.00%	5.34%	7.19%	7.87%	3.33%	4.82%	6.22%	7.89%	7.83%	8.17%	8.63%	9.01%	6.72%	8.31%	8.04%	7.62%	10.10%	11.82%	10.09%	11.01%	7.64%	8.72%	6.40%	7.45%	9.79%	7.91%	6.78%	8.70%	7.70%	10.49%	9.76%	0.00%	5.26%	5.19%	4.85%	8.26%	8.40%	6.69%	4.60%	8.01%	6.30%	11.03%	5.49%	12.62%	9.84%	6.32%	5.93%	14.49%	5.01%	11.49%	7.98%	8.60%	6.48%	7.25%	9.05%	7.86%	7.93%	8.95%	8.08%	6.72%	6.89%	9.80%	3.87%	5.08%	5.03%	10.53%	5.97%	5.66%	6.14%	5.45%	8.67%	4.35%	8.92%	8.77%	11.34%	4.67%	7.66%	11.40%	8.30%	5.71%	3.12%	3.25%	4.25%									
15	Жириновский Владимир Вольфович	4170	65	58	48	48	53	69	64	73	46	45	41	23	53	56	66	54	45	42	75	56	82	69	59	67	49	36	46	35	58	43	25	41	51	35	72	60	57	58	2	28	43	39	56	46	53	33	57	35	36	45	66	40	81	29	37	56	46	15	67	47	26	11	50	49	51	55	75	40	45	32	27	53	53	44	32	27	57	86	7	41	27	31	12	15	63	78	51	18	5	29									
		5.90%	7.28%	5.58%	4.83%	6.12%	5.79%	7.84%	7.80%	7.73%	3.97%	4.26%	5.20%	4.26%	4.57%	6.01%	7.14%	5.42%	6.81%	6.25%	8.77%	6.27%	9.60%	6.85%	7.89%	7.35%	5.68%	5.19%	6.67%	7.23%	7.55%	5.86%	2.70%	3.65%	5.31%	4.56%	6.27%	6.00%	7.21%	5.66%	0.74%	8.67%	4.46%	4.98%	9.44%	8.78%	4.93%	3.30%	7.48%	4.59%	5.03%	5.04%	5.02%	6.45%	5.63%	5.37%	5.26%	5.96%	5.39%	2.03%	8.47%	5.25%	5.10%	5.24%	7.14%	7.06%	7.74%	6.17%	6.47%	5.30%	5.25%	4.42%	6.85%	7.41%	8.72%	5.25%	10.06%	7.89%	4.14%	7.31%	3.04%	7.03%	4.55%	6.39%	5.61%	3.48%	6.09%	6.81%	5.11%	4.32%	1.48%	6.84%									
16	Путин Владимир Владимирович	58624	724	863	856	632	765	704	652	746	1028	905	645	480	1017	789	737	839	541	550	668	751	660	813	585	700	681	544	539	399	611	624	788	926	805	664	940	832	616	815	268	265	846	679	460	411	913	887	609	644	571	764	1036	496	1217	464	538	813	676	648	629	759	434	176	565	567	527	745	972	647	704	648	336	604	472	708	262	285	1205	939	205	482	496	378	189	363	829	914	874	379	319	373									
		82.89%	81.08%	82.98%	86.12%	80.61%	83.52%	80.00%	79.51%	79.03%	88.62%	85.62%	81.85%	88.89%	87.60%	84.66%	79.68%	84.24%	81.85%	81.85%	78.13%	84.10%	77.28%	80.73%	78.21%	76.84%	78.91%	78.39%	78.12%	82.44%	79.56%	85.01%	85.10%	82.38%	83.77%	86.57%	81.81%	83.20%	77.88%	79.51%	98.89%	82.04%	87.76%	86.72%	77.57%	78.44%	84.85%	88.79%	79.92%	84.51%	79.75%	85.55%	78.78%	80.00%	84.51%	85.93%	76.42%	86.58%	79.25%	87.69%	79.52%	84.80%	85.10%	83.81%	80.71%	81.70%	79.97%	83.61%	83.79%	85.70%	82.15%	89.50%	85.28%	84.48%	77.63%	84.49%	82.39%	83.33%	87.57%	79.85%	89.13%	82.68%	83.64%	77.94%	88.32%	84.22%	80.10%	79.83%	87.58%	90.89%	94.38%	87.97%									
17	Собчак Ксения Анатольевна	733	17	12	14	13	12	11	4	13	6	13	14	8	16	8	11	9	5	4	14	9	12	16	20	15	3	12	11	4	9	5	10	14	9	6	13	10	10	11	0	6	10	9	8	5	11	8	11	11	14	10	3	10	19	7	5	1	10	5	3	6	4	2	8	9	8	5	9	8	4	2	1	8	6	10	1	2	9	18	3	1	8	7	0	4	5	6	4	2	2	2									
		1.04%	1.90%	1.15%	1.41%	1.66%	1.31%	1.25%	0.49%	1.38%	0.52%	1.23%	1.78%	1.48%	1.38%	0.86%	1.19%	0.90%	0.76%	0.60%	1.64%	1.01%	1.41%	1.59%	2.67%	1.65%	0.35%	1.73%	1.59%	0.83%	1.17%	0.68%	1.08%	1.25%	0.94%	0.78%	1.13%	1.00%	1.26%	1.07%	0.00%	1.86%	1.04%	1.15%	1.35%	0.95%	1.02%	0.80%	1.44%	1.44%	1.96%	1.12%	0.23%	1.61%	1.32%	1.30%	0.71%	0.11%	1.17%	0.68%	0.38%	0.67%	0.78%	0.95%	1.14%	1.30%	1.21%	0.56%	0.78%	1.06%	0.47%	0.28%	0.25%	1.12%	0.99%	1.19%	0.31%	0.58%	0.65%	1.53%	1.30%	0.17%	1.35%	1.44%	0.00%	0.93%	0.48%	0.52%	0.40%	0.48%	0.59%	0.47%									
18	Сурайкин Максим Александрович	363	6	3	4	9	2	1	4	3	4	3	7	1	0	0	6	4	5	7	4	5	2	0	6	11	2	2	2	4	2	2	6	3	3	3	5	4	3	11	0	3	3	3	5	3	7	7	2	7	5	9	12	0	8	2	5	9	4	3	7	2	4	0	7	6	1	6	7	0	6	2	0	6	5	5	2	0	7	4	2	0	2	4	2	4	6	14	2	2	1	1									
		0.51%	0.67%	0.29%	0.40%	1.15%	0.22%	0.11%	0.49%	0.32%	0.34%	0.28%	0.89%	0.19%	0.00%	0.00%	0.65%	0.40%	0.76%	1.04%	0.47%	0.56%	0.23%	0.00%	0.80%	1.21%	0.23%	0.29%	0.29%	0.83%	0.26%	0.27%	0.65%	0.27%	0.31%	0.39%	0.44%	0.40%	0.38%	1.07%	0.00%	0.93%	0.31%	0.38%	0.84%	0.57%	0.65%	0.70%	0.26%	0.92%	0.70%	1.01%	0.91%	0.00%	0.56%	0.37%	0.71%	0.96%	0.47%	0.41%	0.88%	0.22%	0.78%	0.00%	1.00%	0.86%	0.15%	0.67%	0.60%	0.00%	0.70%	0.28%	0.00%	0.84%	0.82%	0.60%	0.63%	0.00%	0.51%	0.34%	0.87%	0.00%	0.34%	0.82%	0.93%	0.93%	0.58%	1.22%	0.20%	0.48%	0.30%	0.24%									
19	Титов Борис Юрьевич	354	7	7	4	5	2	5	6	9	7	6	4	2	6	1	5	3	3	3	6	5	3	8	6	10	5	8	4	0	4	2	5	11	7	2	4	4	9	9	0	1	2	4	5	4	4	8	4	0	4	7	4	5	5	3	7	3	8	4	6	2	2	0	4	1	2	1	4	3	6	2	1	2	3	1	0	4	4	5	1	1	2	2	0	0	0	12	4	0	0	0									
		0.50%	0.78%	0.67%	0.40%	0.64%	0.22%	0.57%	0.73%	0.95%	0.60%	0.57%	0.51%	0.37%	0.52%	0.11%	0.54%	0.30%	0.45%	0.45%	0.70%	0.56%	0.35%	0.79%	0.80%	1.10%	0.58%	1.15%	0.58%	0.00%	0.52%	0.27%	0.54%	0.98%	0.73%	0.26%	0.35%	0.40%	1.14%	0.88%	0.00%	0.31%	0.21%	0.51%	0.84%	0.76%	0.37%	0.80%	0.52%	0.00%	0.56%	0.78%	0.30%	0.81%	0.35%	0.56%	0.99%	0.32%	0.94%	0.54%	0.76%	0.22%	0.39%	0.00%	0.57%	0.14%	0.30%	0.11%	0.34%	0.40%	0.70%	0.28%	0.25%	0.28%	0.49%	0.12%	0.00%	1.17%	0.29%	0.43%	0.43%	0.17%	0.34%	0.41%	0.00%	0.00%	0.00%	1.05%	0.40%	0.00%	0.00%	0.00%									
20	Явлинский Григорий Алексеевич	368	6	9	6	4	7	4	4	9	7	3	4	0	3	6	6	2	6	6	6	1	8	12	7	7	7	11	6	2	5	2	3	5	5	2	9	5	4	6	1	1	7	6	5	3	1	3	8	4	2	4	11	0	11	0	7	5	5	2	1	4	0	2	4	4	7	4	4	4	2	0	0	0	1	6	0	0	6	12	2	2	3	2	0	2	1	3	1	0	0	0									
		0.52%	0.67%	0.87%	0.60%	0.51%	0.76%	0.45%	0.49%	0.95%	0.60%	0.28%	0.51%	0.00%	0.26%	0.64%	0.65%	0.20%	0.91%	0.89%	0.70%	0.11%	0.94%	1.19%	0.94%	0.77%	0.81%	1.59%	0.87%	0.41%	0.65%	0.27%	0.32%	0.44%	0.52%	0.26%	0.78%	0.50%	0.51%	0.59%	0.37%	0.31%	0.73%	0.77%	0.84%	0.57%	0.09%	0.30%	1.05%	0.52%	0.28%	0.45%	0.84%	0.00%	0.76%	0.00%	0.99%	0.53%	0.59%	0.27%	0.13%	0.45%	0.00%	0.95%	0.57%	0.58%	1.06%	0.45%	0.34%	0.53%	0.23%	0.00%	0.00%	0.00%	0.16%	0.72%	0.00%	0.00%	0.44%	1.02%	0.87%	0.34%	0.51%	0.41%	0.00%	0.46%	0.10%	0.26%	0.10%	0.00%	0.00%	0.00%									
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
