Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Ярцевская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432					
1	"Число избирателей, внесенных в список"	50402	1906	2436	2252	1803	2105	1346	515	288	2122	2424	2831	1345	1414	1622	1667	2055	1004	584	1391	659	1701	1800	1359	531	700	1599	1132	1711	1522	388	182	1232	116	184	436	239	186	712	332	465	155	932	305	279	435					
2	Число полученных избирательных бюллетеней	51543	1918	2446	2310	1947	2121	1649	521	291	2126	2443	2832	1338	1413	1547	1686	2071	1009	587	1428	654	1686	1815	1375	536	691	1593	1128	1712	1516	423	205	1305	130	222	450	287	192	772	357	515	171	948	341	340	496					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	24589	905	1120	1134	913	963	670	401	134	934	1106	1194	628	657	737	821	951	421	297	639	330	884	959	736	279	222	565	601	883	813	245	128	538	59	138	218	143	81	482	243	270	78	480	236	169	184					
5	"Число избирательных бюллетеней, выданных вне помещения"	2666	19	29	23	25	15	11	3	27	34	17	25	66	52	128	69	108	64	28	57	18	97	47	42	38	92	117	25	79	66	80	37	162	31	46	153	84	67	88	43	88	43	75	49	61	138					
6	Число погашенных избирательных бюллетеней	24288	994	1297	1153	1009	1143	968	117	130	1158	1320	1613	644	704	682	796	1012	524	262	732	306	705	809	597	219	377	911	502	750	637	98	40	605	40	38	79	60	44	202	71	157	50	393	56	110	174					
7	Число избирательных бюллетеней в переносных ящиках	2666	19	29	23	25	15	11	3	27	34	17	25	66	52	128	69	108	64	28	57	18	97	47	42	38	92	117	25	79	66	80	37	162	31	46	153	84	67	88	43	88	43	75	49	61	138					
8	Число бюллетеней в стационарных ящиках для голосования	24586	905	1120	1134	913	961	670	401	134	934	1106	1193	628	657	737	821	951	421	297	639	330	884	959	736	279	222	565	601	883	813	245	128	538	59	138	218	143	81	482	243	270	78	480	236	169	184					
9	Число недействительных избирательных бюллетеней	180	6	8	7	6	5	9	1	1	5	3	6	7	11	6	12	7	0	2	5	3	8	7	1	5	2	5	1	6	6	3	2	2	0	2	2	1	1	3	1	0	0	4	3	2	3					
10	Число действительных избирательных бюллетеней	27072	918	1141	1150	932	971	672	403	160	963	1120	1212	687	698	859	878	1052	485	323	691	345	973	999	777	312	312	677	625	956	873	322	163	698	90	182	369	226	147	567	285	358	121	551	282	228	319					
