Выборы Президента Российской Федерации																																																																
Дата голосования: 04.03.2012																																																																
																																																																
Наименование Избирательной комиссии:    Ижевск, Ленинская																																																																
																																																																
Сводная таблица итогов голосования																																																																
																																																																
	Число участковых избирательных комиссий	53																																																														
	Число участковых избирательных комиссий, приступивших к передаче сведений	53																																																														
																																																																
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																
19	Жириновский Владимир Вольфович	4231	53	86	71	80	116	47	101	59	79	77	108	82	127	93	147	68	58	112	85	115	102	115	104	75	76	106	129	73	101	54	7	126	92	78	47	54	90	93	8	7	85	35	11	97	126	94	104	89	41	82	54	29	83									
		7.37%	5.61%	7.52%	6.53%	8.42%	7.97%	6.62%	7.17%	6.95%	6.61%	6.34%	6.76%	6.54%	8.21%	8.05%	9.95%	6.07%	7.34%	8.95%	8.33%	8.30%	8.17%	8.20%	9.61%	6.11%	8.60%	7.65%	7.39%	5.57%	8.50%	6.67%	7.61%	9.98%	7.12%	6.59%	6.79%	5.25%	6.41%	7.36%	6.72%	5.22%	7.23%	7.80%	3.55%	8.19%	8.17%	5.88%	8.56%	6.97%	6.53%	6.07%	7.27%	6.84%	6.99%									
20	Зюганов Геннадий Андреевич	10101	196	191	213	170	256	167	247	135	195	266	302	248	298	177	194	197	143	205	170	288	198	247	183	254	180	221	309	278	230	163	9	195	176	182	111	140	227	182	27	22	206	93	23	218	279	307	221	199	113	227	126	79	218									
		17.60%	20.76%	16.70%	19.60%	17.89%	17.59%	23.52%	17.53%	15.90%	16.32%	21.89%	18.90%	19.79%	19.28%	15.32%	13.13%	17.57%	18.10%	16.39%	16.67%	20.79%	15.85%	17.61%	16.91%	20.68%	20.36%	15.96%	17.70%	21.21%	19.36%	20.15%	9.78%	15.45%	13.61%	15.38%	16.04%	13.61%	16.16%	14.41%	22.69%	16.42%	17.53%	20.71%	7.42%	18.41%	18.08%	19.21%	18.19%	15.60%	17.99%	16.80%	16.96%	18.63%	18.37%									
21	Миронов Сергей Михайлович	2140	43	36	34	37	49	27	47	35	46	47	42	42	52	46	45	36	48	46	38	56	49	58	42	40	38	51	82	64	35	38	3	47	48	45	35	25	60	34	4	2	59	13	5	47	50	51	56	49	24	46	28	16	44									
		3.73%	4.56%	3.15%	3.13%	3.89%	3.37%	3.80%	3.34%	4.12%	3.85%	3.87%	2.63%	3.35%	3.36%	3.98%	3.04%	3.21%	6.08%	3.68%	3.73%	4.04%	3.92%	4.13%	3.88%	3.26%	4.30%	3.68%	4.70%	4.88%	2.95%	4.70%	3.26%	3.72%	3.71%	3.80%	5.06%	2.43%	4.27%	2.69%	3.36%	1.49%	5.02%	2.90%	1.61%	3.97%	3.24%	3.19%	4.61%	3.84%	3.82%	3.40%	3.77%	3.77%	3.71%									
22	Прохоров Михаил Дмитриевич	5710	106	77	108	86	129	79	110	65	136	93	102	108	171	104	140	110	72	118	111	167	129	129	97	108	77	153	197	154	139	102	9	82	119	115	56	109	152	104	8	7	149	56	5	133	164	183	163	153	98	117	76	48	127									
		9.95%	11.23%	6.73%	9.94%	9.05%	8.87%	11.13%	7.81%	7.66%	11.38%	7.65%	6.38%	8.62%	11.06%	9.00%	9.47%	9.81%	9.11%	9.43%	10.88%	12.06%	10.33%	9.19%	8.96%	8.79%	8.71%	11.05%	11.28%	11.75%	11.70%	12.61%	9.78%	6.50%	9.20%	9.72%	8.09%	10.59%	10.82%	8.23%	6.72%	5.22%	12.68%	12.47%	1.61%	11.23%	10.63%	11.45%	13.42%	11.99%	15.61%	8.66%	10.23%	11.32%	10.70%									
23	Путин Владимир Владимирович	34518	540	734	654	569	879	372	881	553	715	708	1015	758	880	725	946	696	464	753	606	756	755	820	645	729	502	844	1005	722	673	444	64	795	850	749	435	689	856	832	71	95	669	248	259	681	912	939	660	767	341	871	446	243	703									
		60.14%	57.20%	64.16%	60.17%	59.89%	60.41%	52.39%	62.53%	65.14%	59.83%	58.27%	63.52%	60.49%	56.92%	62.77%	64.01%	62.09%	58.73%	60.19%	59.41%	54.58%	60.45%	58.45%	59.61%	59.36%	56.79%	60.94%	57.56%	55.07%	56.65%	54.88%	69.57%	62.99%	65.74%	63.31%	62.86%	66.96%	60.93%	65.87%	59.66%	70.90%	56.94%	55.23%	83.55%	57.52%	59.11%	58.76%	54.32%	60.11%	54.30%	64.47%	60.03%	57.31%	59.22%									
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
