Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Амурская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №450	УИК №451					
1	"Число избирателей, внесенных в список"	55323	1856	1877	1879	1682	1404	1497	1645	1612	1733	1800	1634	2013	1906	1792	2037	2049	1887	1972	2016	1802	161	437	1237	1432	1163	1256	1265	1265	1859	661	260	1589	1748	339	931	267	921	2018	284	137					
2	Число полученных избирательных бюллетеней	52940	1800	1800	1800	1600	1300	1500	1600	1600	1600	1700	1600	1900	1800	1700	1900	1900	1800	1900	1900	1700	250	400	1200	1400	1100	1300	1200	1200	1700	600	250	1500	1700	350	900	300	900	1900	260	130					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	32894	1193	1144	1134	898	906	953	1036	961	1104	1030	886	1188	1176	1021	1225	1233	1089	1253	1322	1128	161	275	751	900	726	840	728	773	1046	575	174	879	844	206	423	232	389	819	175	98					
5	"Число избирательных бюллетеней, выданных вне помещения"	1853	37	30	51	74	42	72	52	70	48	38	29	50	41	36	34	37	35	12	25	23	0	2	97	21	30	29	46	30	25	0	0	70	123	21	134	8	129	246	0	6					
6	Число погашенных избирательных бюллетеней	18193	570	626	615	628	352	475	512	569	448	632	685	662	583	643	641	630	676	635	553	549	89	123	352	479	344	431	426	397	629	25	76	551	733	123	343	60	382	835	85	26					
7	Число избирательных бюллетеней в переносных ящиках	1853	37	30	51	74	42	72	52	70	48	38	29	50	41	36	34	37	35	12	25	23	0	2	97	21	30	29	46	30	25	0	0	70	123	21	134	8	129	246	0	6					
8	Число бюллетеней в стационарных ящиках для голосования	32845	1193	1144	1134	898	906	953	994	960	1104	1030	886	1188	1173	1020	1225	1233	1089	1253	1322	1126	161	275	751	900	726	840	728	773	1046	575	174	879	844	206	423	232	389	819	175	98					
9	Число недействительных избирательных бюллетеней	243	5	9	8	3	13	10	7	3	2	11	8	4	8	5	9	8	10	4	4	5	5	4	3	6	8	11	6	8	8	1	3	10	0	3	3	3	9	15	1	0					
10	Число действительных избирательных бюллетеней	34455	1225	1165	1177	969	935	1015	1039	1027	1150	1057	907	1234	1206	1051	1250	1262	1114	1261	1343	1144	156	273	845	915	748	858	768	795	1063	574	171	939	967	224	554	237	509	1050	174	104					
11	Число полученных открепительных  удостоверений	1047	50	50	30	25	20	35	30	21	32	30	22	29	40	37	55	40	35	57	55	55	0	16	23	11	17	25	12	23	9	10	8	40	40	10	5	15	15	10	5	5					
12	Число выданных открепительных удостоверений	899	46	44	27	24	17	27	29	19	31	26	18	27	36	32	50	36	31	51	52	46	0	13	18	9	10	22	12	19	7	9	5	34	30	8	4	11	9	5	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	514	23	18	18	16	15	13	19	13	18	17	16	23	14	13	17	9	11	24	28	18	30	27	9	5	5	7	5	3	9	3	3	14	14	2	14	1	11	8	0	1					
14	Число неиспользованных открепительных удостоверений	148	4	6	3	1	3	8	1	2	1	4	4	2	4	5	5	4	4	6	3	9	0	3	5	2	7	3	0	4	2	1	3	6	10	2	1	4	6	5	2	3					
15	"Число открепительных удостоверений, выданных в ТИК"	45	6	2	3	2	0	4	2	1	1	2	2	2	1	2	3	3	0	1	2	2	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
