Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Прохоровская																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847					
1	"Число избирателей, внесенных в список"	22205	1174	263	848	217	252	294	640	182	578	177	233	391	386	154	249	368	302	346	483	207	151	367	320	131	690	278	123	675	161	279	111	598	998	1114	1112	1151	932	664	1359	591	149	199	523	130	417	202	133	608	295					
2	Число полученных избирательных бюллетеней	22438	1175	259	853	221	252	306	644	185	582	179	230	405	384	156	253	375	300	345	484	206	152	367	331	131	683	284	124	680	167	278	117	595	1018	1122	1145	1189	957	682	1369	597	147	203	521	133	409	203	136	608	296					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15834	785	220	685	143	218	217	502	84	364	107	118	206	237	105	117	262	218	258	332	111	100	239	245	81	474	181	90	528	103	153	74	423	759	844	826	865	721	496	1001	280	107	139	389	98	332	135	88	582	192					
5	"Число избирательных бюллетеней, выданных вне помещения"	4312	331	29	65	67	34	55	119	95	186	57	109	176	141	47	111	90	72	73	119	88	50	117	69	45	152	85	31	127	52	112	34	130	80	56	79	74	52	76	127	205	36	46	95	28	68	62	43	18	99					
6	Число погашенных избирательных бюллетеней	2292	59	10	103	11	0	34	23	6	32	15	3	23	6	4	25	23	10	14	33	7	2	11	17	5	57	18	3	25	12	13	9	42	179	222	240	250	184	110	241	112	4	18	37	7	9	6	5	8	5					
7	Число избирательных бюллетеней в переносных ящиках	4312	331	29	65	67	34	55	119	95	186	57	109	176	141	47	111	90	72	73	119	88	50	117	69	45	152	85	31	127	52	112	34	130	80	56	79	74	52	76	127	205	36	46	95	28	68	62	43	18	99					
8	Число бюллетеней в стационарных ящиках для голосования	15834	785	220	685	143	218	217	502	84	364	107	118	206	237	105	117	262	218	258	332	111	100	239	245	81	474	181	90	528	103	153	74	423	759	844	826	865	721	496	1001	280	107	139	389	98	332	135	88	582	192					
9	Число недействительных избирательных бюллетеней	298	8	3	0	0	0	0	17	1	6	1	1	2	22	2	3	9	4	10	0	8	1	1	1	0	21	8	2	44	2	9	0	19	5	8	2	7	7	5	7	9	1	1	15	3	11	3	0	8	1					
10	Число действительных избирательных бюллетеней	19848	1108	246	750	210	252	272	604	178	544	163	226	380	356	150	225	343	286	321	451	191	149	355	313	126	605	258	119	611	153	256	108	534	834	892	903	932	766	567	1121	476	142	184	469	123	389	194	131	592	290					
