Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Заринская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800					
1	"Число избирателей, внесенных в список"	16567	663	609	385	458	342	197	132	448	580	1411	349	178	118	442	413	99	87	565	189	138	112	657	251	823	100	165	156	385	114	64	557	135	292	1003	488	1137	997	58	45	396	307	371	151					
2	Число полученных избирательных бюллетеней	16085	660	590	360	440	330	190	130	430	580	1400	350	180	120	430	400	100	80	550	180	130	100	640	240	800	100	160	150	360	110	65	540	130	280	930	480	1120	970	60	50	380	300	340	150					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10672	453	421	228	270	221	144	86	327	419	825	253	120	76	341	264	78	75	391	138	82	71	425	174	503	78	120	100	271	81	55	355	86	171	572	245	657	623	39	25	237	192	265	115					
5	"Число избирательных бюллетеней, выданных вне помещения"	674	18	45	21	47	3	11	8	50	3	47	7	6	5	16	28	1	0	15	4	0	4	29	15	32	0	0	10	16	11	5	30	4	17	43	19	38	35	3	0	12	9	6	1					
6	Число погашенных избирательных бюллетеней	4739	189	124	111	123	106	35	36	53	158	528	90	54	39	73	108	21	5	144	38	48	25	186	51	265	22	40	40	73	18	5	155	40	92	315	216	425	312	18	25	131	99	69	34					
7	Число избирательных бюллетеней в переносных ящиках	674	18	45	21	47	3	11	8	50	3	47	7	6	5	16	28	1	0	15	4	0	4	29	15	32	0	0	10	16	11	5	30	4	17	43	19	38	35	3	0	12	9	6	1					
8	Число бюллетеней в стационарных ящиках для голосования	10662	453	421	228	269	221	144	86	327	419	825	253	120	76	341	264	78	75	391	138	82	71	425	174	503	78	120	100	271	81	55	355	86	170	572	245	656	616	39	25	237	192	265	115					
9	Число недействительных избирательных бюллетеней	137	3	4	2	3	4	3	1	5	2	5	5	2	0	5	0	1	0	7	2	3	1	5	0	6	1	0	1	14	0	0	5	1	0	9	7	11	9	0	0	2	1	7	0					
10	Число действительных избирательных бюллетеней	11199	468	462	247	313	220	152	93	372	420	867	255	124	81	352	292	78	75	399	140	79	74	449	189	529	77	120	109	273	92	60	380	89	187	606	257	683	642	42	25	247	200	264	116					
11	Число полученных открепительных  удостоверений	195	7	6	4	5	4	3	2	5	7	13	4	2	2	5	5	5	2	7	2	2	2	7	3	8	2	2	2	5	2	2	7	2	3	10	5	11	8	2	4	5	4	5	2					
12	Число выданных открепительных удостоверений	53	1	2	1	1	0	0	2	0	2	8	2	0	0	0	2	0	0	0	1	0	0	5	0	0	0	0	2	0	0	2	3	0	1	0	0	3	8	2	4	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	71	3	1	0	2	3	1	1	3	2	3	1	0	0	2	4	0	3	1	2	1	1	1	2	2	1	1	1	0	0	0	4	2	0	1	3	3	3	2	0	3	4	4	0					
14	Число неиспользованных открепительных удостоверений	142	6	4	3	4	4	3	0	5	5	5	2	2	2	5	3	5	2	7	1	2	2	2	3	8	2	2	0	5	2	0	4	2	2	10	5	8	0	0	0	5	4	4	2					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																		
18	. Глазьев Сергей Юрьевич	340	16	15	7	10	6	7	1	8	10	38	6	2	2	5	7	0	10	13	3	8	7	11	5	17	1	3	7	6	5	1	8	2	6	18	6	24	16	0	0	8	3	9	3					
		3.00%	3.40%	3.22%	2.81%	3.16%	2.68%	4.52%	1.06%	2.12%	2.37%	4.36%	2.31%	1.59%	2.47%	1.40%	2.40%	0.00%	13.33%	3.20%	2.11%	9.76%	9.33%	2.42%	2.65%	3.18%	1.28%	2.50%	6.36%	2.09%	5.43%	1.67%	2.08%	2.22%	3.21%	2.93%	2.27%	3.46%	2.46%	0.00%	0.00%	3.21%	1.49%	3.32%	2.59%					
19	. Малышкин Олег Александрович	477	10	19	9	30	13	6	8	22	8	34	15	5	9	12	11	8	7	17	4	5	0	17	16	29	2	4	3	7	8	5	11	8	10	28	6	23	20	1	0	6	10	8	3					
		4.21%	2.12%	4.08%	3.61%	9.49%	5.80%	3.87%	8.51%	5.84%	1.90%	3.90%	5.77%	3.97%	11.11%	3.36%	3.77%	10.13%	9.33%	4.19%	2.82%	6.10%	0.00%	3.74%	8.47%	5.42%	2.56%	3.33%	2.73%	2.44%	8.70%	8.33%	2.86%	8.89%	5.35%	4.55%	2.27%	3.31%	3.07%	2.38%	0.00%	2.41%	4.98%	2.95%	2.59%					
20	. Миронов Сергей Михайлович	89	2	3	0	5	2	1	3	5	6	7	1	0	1	0	0	0	0	2	1	0	2	5	2	5	0	0	1	4	0	2	0	1	0	5	1	9	8	0	0	4	0	1	0					
		0.79%	0.42%	0.64%	0.00%	1.58%	0.89%	0.65%	3.19%	1.33%	1.42%	0.80%	0.38%	0.00%	1.23%	0.00%	0.00%	0.00%	0.00%	0.49%	0.70%	0.00%	2.67%	1.10%	1.06%	0.93%	0.00%	0.00%	0.91%	1.39%	0.00%	3.33%	0.00%	1.11%	0.00%	0.81%	0.38%	1.30%	1.23%	0.00%	0.00%	1.61%	0.00%	0.37%	0.00%					
21	. Путин Владимир Владимирович	8053	370	351	161	189	169	111	65	261	305	641	170	64	46	293	167	46	35	294	112	56	55	366	121	327	56	101	85	156	52	23	302	59	129	419	197	524	480	32	24	193	131	211	104					
		71.04%	78.56%	75.32%	64.66%	59.81%	75.45%	71.61%	69.15%	69.23%	72.27%	73.51%	65.38%	50.79%	56.79%	82.07%	57.19%	58.23%	46.67%	72.41%	78.87%	68.29%	73.33%	80.62%	64.02%	61.12%	71.79%	84.17%	77.27%	54.36%	56.52%	38.33%	78.44%	65.56%	68.98%	68.13%	74.62%	75.50%	73.73%	76.19%	96.00%	77.51%	65.17%	77.86%	89.66%					
22	. Хакамада Ирина Муцуовна	158	5	5	2	4	3	1	2	3	6	14	3	1	2	4	1	2	2	9	6	1	2	8	5	8	0	3	1	6	1	1	6	1	0	10	2	5	7	0	0	2	5	8	1					
		1.39%	1.06%	1.07%	0.80%	1.27%	1.34%	0.65%	2.13%	0.80%	1.42%	1.61%	1.15%	0.79%	2.47%	1.12%	0.34%	2.53%	2.67%	2.22%	4.23%	1.22%	2.67%	1.76%	2.65%	1.50%	0.00%	2.50%	0.91%	2.09%	1.09%	1.67%	1.56%	1.11%	0.00%	1.63%	0.76%	0.72%	1.08%	0.00%	0.00%	0.80%	2.49%	2.95%	0.86%					
23	. Харитонов Николай Михайлович	1923	60	61	62	63	25	25	14	66	79	116	60	52	19	36	101	18	21	57	12	9	7	40	39	141	15	6	9	91	26	27	49	16	39	108	36	94	106	8	1	33	47	24	5					
		16.96%	12.74%	13.09%	24.90%	19.94%	11.16%	16.13%	14.89%	17.51%	18.72%	13.30%	23.08%	41.27%	23.46%	10.08%	34.59%	22.78%	28.00%	14.04%	8.45%	10.98%	9.33%	8.81%	20.63%	26.36%	19.23%	5.00%	8.18%	31.71%	28.26%	45.00%	12.73%	17.78%	20.86%	17.56%	13.64%	13.54%	16.28%	19.05%	4.00%	13.25%	23.38%	8.86%	4.31%					
																																																		
24	Против всех	159	5	8	6	12	2	1	0	7	6	17	0	0	2	2	5	4	0	7	2	0	1	2	1	2	3	3	3	3	0	1	4	2	3	18	9	4	5	1	0	1	4	3	0					
		1.40%	1.06%	1.72%	2.41%	3.80%	0.89%	0.65%	0.00%	1.86%	1.42%	1.95%	0.00%	0.00%	2.47%	0.56%	1.71%	5.06%	0.00%	1.72%	1.41%	0.00%	1.33%	0.44%	0.53%	0.37%	3.85%	2.50%	2.73%	1.05%	0.00%	1.67%	1.04%	2.22%	1.60%	2.93%	3.41%	0.58%	0.77%	2.38%	0.00%	0.40%	1.99%	1.11%	0.00%					
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
