Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Кузнецкая городская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639					
1	"Число избирателей, внесенных в список"	72588	1696	2556	2052	2073	2561	2727	2799	1595	2667	2541	2866	2808	2857	1501	2351	2056	2309	1821	140	1770	1934	1197	2460	2190	1745	2032	1142	1231	2487	2660	2171	1418	1789	800	114	1726	1746					
2	Число полученных избирательных бюллетеней	73148	1664	2545	2056	2152	2559	2769	2791	1607	2700	2526	2909	2711	2846	1494	2378	2083	2297	1841	300	1770	1937	1192	2368	2213	1761	2038	1163	1207	2481	2776	2192	1405	1793	782	118	1837	1887					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	35762	669	1135	771	1000	1216	1454	1531	811	1349	1251	1374	1430	1319	592	1153	1102	1187	1010	54	861	990	595	1250	1153	881	977	526	416	980	1273	1000	655	718	387	88	1316	1288					
5	"Число избирательных бюллетеней, выданных вне помещения"	2870	70	96	151	77	118	63	56	31	51	70	60	30	19	94	69	91	78	91	84	64	140	139	119	68	72	99	68	109	152	111	101	72	66	44	23	12	12					
6	Число погашенных избирательных бюллетеней	34516	925	1314	1134	1075	1225	1252	1204	765	1300	1205	1475	1251	1508	808	1156	890	1032	740	162	845	807	458	999	992	808	962	569	682	1349	1392	1091	678	1009	351	7	509	587					
7	Число избирательных бюллетеней в переносных ящиках	2870	70	96	151	77	118	63	56	31	51	70	60	30	19	94	69	91	78	91	84	64	140	139	119	68	72	99	68	109	152	111	101	72	66	44	23	12	12					
8	Число бюллетеней в стационарных ящиках для голосования	35759	669	1135	771	1000	1216	1454	1531	811	1349	1251	1374	1430	1318	592	1153	1101	1187	1010	54	861	990	595	1250	1153	880	977	526	416	980	1273	1000	655	718	387	88	1316	1288					
9	Число недействительных избирательных бюллетеней	286	9	6	5	10	8	9	10	4	6	15	7	11	9	10	7	8	11	5	1	6	4	30	10	9	9	7	0	6	10	10	9	9	7	3	1	2	3					
10	Число действительных избирательных бюллетеней	38343	730	1225	917	1067	1326	1508	1577	838	1394	1306	1427	1449	1328	676	1215	1184	1254	1096	137	919	1126	704	1359	1212	943	1069	594	519	1122	1374	1092	718	777	428	110	1326	1297					
