Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Богородицкая																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992					
1	"Число избирателей, внесенных в список"	44980	1952	1434	1455	1835	2112	1448	1947	1561	1868	1654	2076	968	293	881	2483	1752	89	308	188	467	1382	1430	298	1553	1731	2391	776	251	444	209	257	129	143	529	399	149	356	666	550	348	217	720	330	609	812	857	340	208	125					
2	Число полученных избирательных бюллетеней	45030	1972	1425	1447	1842	2115	1455	1948	1557	1873	1662	2082	986	297	880	2501	1778	88	318	190	468	1392	1427	271	1545	1711	2383	768	250	450	214	261	123	144	531	402	149	353	662	534	345	211	730	329	606	819	859	344	206	127					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19947	836	583	715	901	963	634	1004	754	867	686	827	386	130	337	1232	752	47	160	82	246	622	528	134	799	627	823	373	113	203	67	187	32	77	176	263	55	121	301	361	125	151	307	150	235	286	415	149	91	34					
5	"Число избирательных бюллетеней, выданных вне помещения"	3420	21	96	39	54	105	62	65	53	40	58	112	42	19	54	40	95	13	22	40	40	92	149	35	70	129	111	16	16	80	69	10	60	18	192	25	51	78	190	36	122	26	185	92	26	192	143	82	20	35					
6	Число погашенных избирательных бюллетеней	21663	1115	746	693	887	1047	759	879	750	966	918	1143	558	148	489	1229	931	28	136	68	182	678	750	102	676	955	1449	379	121	167	78	64	31	49	163	114	43	154	171	137	98	34	238	87	345	341	301	113	95	58					
7	Число избирательных бюллетеней в переносных ящиках	3420	21	96	39	54	105	62	65	53	40	58	112	42	19	54	40	95	13	22	40	40	92	149	35	70	129	111	16	16	80	69	10	60	18	192	25	51	78	190	36	122	26	185	92	26	192	143	82	20	35					
8	Число бюллетеней в стационарных ящиках для голосования	19945	836	583	715	901	963	634	1004	754	867	686	827	386	130	337	1232	752	47	160	82	246	622	528	134	799	625	823	373	113	203	67	187	32	77	176	263	55	121	301	361	125	151	307	150	235	286	415	149	91	34					
9	Число недействительных избирательных бюллетеней	168	7	3	0	1	10	5	0	6	5	7	5	5	0	1	12	15	2	0	1	3	7	5	11	5	11	10	3	0	2	0	1	0	0	4	7	3	0	2	2	0	0	0	2	1	0	2	0	2	0					
10	Число действительных избирательных бюллетеней	23197	850	676	754	954	1058	691	1069	801	902	737	934	423	149	390	1260	832	58	182	121	283	707	672	158	864	743	924	386	129	281	136	196	92	95	364	281	103	199	489	395	247	177	492	240	260	478	556	231	109	69					
