Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Ичалковская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335					
1	"Число избирателей, внесенных в список"	17188	352	198	271	278	518	527	508	535	589	570	561	640	627	379	269	162	501	138	285	215	645	634	635	597	424	582	352	123	190	375	176	229	77	144	228	392	426	252	278	415	344	188	174	638	420	127					
2	Число полученных избирательных бюллетеней	17300	351	195	271	273	514	524	490	560	588	580	560	645	635	383	272	165	501	145	286	216	646	643	640	607	431	584	356	124	190	373	177	233	76	145	230	385	433	250	275	420	349	189	176	661	423	130					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15296	316	157	229	258	452	505	445	462	490	495	527	589	590	364	227	117	475	96	196	156	513	540	585	581	383	554	313	123	164	296	131	200	67	143	226	382	416	237	275	396	273	176	161	566	353	96					
5	"Число избирательных бюллетеней, выданных вне помещения"	1720	35	38	41	15	60	18	45	65	90	65	31	48	34	14	42	45	25	42	84	58	125	88	43	10	33	17	35	0	24	76	42	27	9	0	0	3	8	13	0	17	69	12	12	67	65	30					
6	Число погашенных избирательных бюллетеней	284	0	0	1	0	2	1	0	33	8	20	2	8	11	5	3	3	1	7	6	2	8	15	12	16	15	13	8	1	2	1	4	6	0	2	4	0	9	0	0	7	7	1	3	28	5	4					
7	Число избирательных бюллетеней в переносных ящиках	1720	35	38	41	15	60	18	45	65	90	65	31	48	34	14	42	45	25	42	84	58	125	88	43	10	33	17	35	0	24	76	42	27	9	0	0	3	8	13	0	17	69	12	12	67	65	30					
8	Число бюллетеней в стационарных ящиках для голосования	15296	316	157	229	258	452	505	445	462	490	495	527	589	590	364	227	117	475	96	196	156	513	540	585	581	383	554	313	123	164	296	131	200	67	143	226	382	416	237	275	396	273	176	161	566	353	96					
9	Число недействительных избирательных бюллетеней	8	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	17008	351	195	270	272	512	522	489	527	580	560	558	637	624	378	269	162	500	138	280	214	638	628	627	591	416	571	348	123	188	372	173	227	76	143	225	385	423	250	275	411	342	188	173	633	418	126					
11	Число полученных открепительных  удостоверений	390	7	5	5	7	12	12	12	12	12	12	12	13	13	11	7	6	10	4	5	4	13	13	13	13	10	11	10	4	5	5	6	5	2	5	6	8	9	7	6	9	8	4	4	14	12	7					
12	Число выданных открепительных удостоверений	145	2	2	0	3	2	8	6	8	10	12	8	8	2	5	4	0	3	2	1	0	2	3	0	4	0	2	0	0	3	0	6	3	1	0	3	0	1	0	0	3	1	0	2	14	11	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	97	0	4	4	1	0	3	4	10	5	0	0	0	3	2	2	0	3	2	5	0	3	4	0	1	2	2	0	0	3	4	2	1	3	1	1	2	0	2	3	0	3	2	5	1	4	0					
14	Число неиспользованных открепительных удостоверений	245	5	3	5	4	10	4	6	4	2	0	4	5	11	6	3	6	7	2	4	4	11	10	13	9	10	9	10	4	2	5	0	2	1	5	3	8	8	7	6	6	7	4	2	0	1	7					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
