Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Лазовская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515					
1	"Число избирателей, внесенных в список"	10877	1799	783	2200	563	338	118	174	496	138	637	1463	520	119	241	263	85	776	164					
2	Число полученных избирательных бюллетеней	11610	2000	900	2400	600	350	130	200	500	130	650	1400	550	120	270	280	90	850	190					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7734	1234	421	1404	270	278	114	174	423	123	416	984	391	107	212	240	85	700	158					
5	"Число избирательных бюллетеней, выданных вне помещения"	549	34	73	75	107	50	0	0	42	0	50	43	33	10	9	16	0	7	0					
6	Число погашенных избирательных бюллетеней	3327	732	406	921	223	22	16	26	35	7	184	373	126	3	49	24	5	143	32					
7	Число избирательных бюллетеней в переносных ящиках	549	34	73	75	107	50	0	0	42	0	50	43	33	10	9	16	0	7	0					
8	Число бюллетеней в стационарных ящиках для голосования	7734	1234	421	1404	270	278	114	174	423	123	416	984	391	107	212	240	85	700	158					
9	Число недействительных избирательных бюллетеней	106	18	8	18	1	3	0	1	12	1	5	11	6	1	8	5	0	8	0					
10	Число действительных избирательных бюллетеней	8177	1250	486	1461	376	325	114	173	453	122	461	1016	418	116	213	251	85	699	158					
11	Число полученных открепительных  удостоверений	194	18	18	18	10	8	2	2	10	3	12	40	20	2	6	6	2	13	4					
12	Число выданных открепительных удостоверений	121	11	2	12	0	1	0	2	8	0	12	36	20	0	0	6	1	10	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	90	10	3	3	2	9	4	16	2	5	2	11	4	2	6	3	2	3	3					
14	Число неиспользованных открепительных удостоверений	73	7	16	6	10	7	2	0	2	3	0	4	0	2	6	0	1	3	4					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	389	76	26	106	14	8	0	8	13	6	18	39	27	6	2	10	0	27	3					
		4.70%	5.99%	5.26%	7.17%	3.71%	2.44%	0.00%	4.60%	2.80%	4.88%	3.86%	3.80%	6.37%	5.13%	0.90%	3.91%	0.00%	3.82%	1.90%					
19	. Малышкин Олег Александрович	356	65	19	77	14	23	2	3	8	2	28	40	25	5	6	11	1	26	1					
		4.30%	5.13%	3.85%	5.21%	3.71%	7.01%	1.75%	1.72%	1.72%	1.63%	6.01%	3.89%	5.90%	4.27%	2.71%	4.30%	1.18%	3.68%	0.63%					
20	. Миронов Сергей Михайлович	102	17	6	27	7	1	0	3	2	0	6	10	10	1	2	3	2	5	0					
		1.23%	1.34%	1.21%	1.83%	1.86%	0.30%	0.00%	1.72%	0.43%	0.00%	1.29%	0.97%	2.36%	0.85%	0.90%	1.17%	2.35%	0.71%	0.00%					
21	. Путин Владимир Владимирович	5107	644	300	741	251	240	104	130	307	105	265	602	231	71	190	185	69	531	141					
		61.66%	50.79%	60.73%	50.10%	66.58%	73.17%	91.23%	74.71%	66.02%	85.37%	56.87%	58.62%	54.48%	60.68%	85.97%	72.27%	81.18%	75.11%	89.24%					
22	. Хакамада Ирина Муцуовна	295	58	12	62	25	8	1	3	9	0	20	52	17	4	2	2	0	19	1					
		3.56%	4.57%	2.43%	4.19%	6.63%	2.44%	0.88%	1.72%	1.94%	0.00%	4.29%	5.06%	4.01%	3.42%	0.90%	0.78%	0.00%	2.69%	0.63%					
23	. Харитонов Николай Михайлович	1413	315	95	313	53	36	6	22	81	7	90	194	74	27	9	14	11	58	8					
		17.06%	24.84%	19.23%	21.16%	14.06%	10.98%	5.26%	12.64%	17.42%	5.69%	19.31%	18.89%	17.45%	23.08%	4.07%	5.47%	12.94%	8.20%	5.06%					
																									
24	Против всех	515	75	28	135	12	9	1	4	33	2	34	79	34	2	2	26	2	33	4					
		6.22%	5.91%	5.67%	9.13%	3.18%	2.74%	0.88%	2.30%	7.10%	1.63%	7.30%	7.69%	8.02%	1.71%	0.90%	10.16%	2.35%	4.67%	2.53%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
