Выборы Президента Российской Федерации													
													
Наименование Избирательной комиссии:    Новоульяновская													
													
Итоги голосования 													
													
		Сумма	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662					
1	"Число избирателей, внесенных в список"	12826	2459	2360	2854	2265	748	2140					
2	Число полученных избирательных бюллетеней	11900	2300	2200	2600	2100	700	2000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7517	1470	1380	1715	1390	380	1182					
5	"Число избирательных бюллетеней, выданных вне помещения"	621	88	95	106	141	54	137					
6	Число погашенных избирательных бюллетеней	3762	742	725	779	569	266	681					
7	Число избирательных бюллетеней в переносных ящиках	621	88	95	106	141	54	137					
8	Число бюллетеней в стационарных ящиках для голосования	7505	1467	1373	1715	1388	380	1182					
9	Число недействительных избирательных бюллетеней	48	6	7	6	15	6	8					
10	Число действительных избирательных бюллетеней	8078	1549	1461	1815	1514	428	1311					
11	Число полученных открепительных  удостоверений	86	15	15	15	16	10	15					
12	Число выданных открепительных удостоверений	53	14	5	8	16	0	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	24	5	6	4	4	1	4					
14	Число неиспользованных открепительных удостоверений	33	1	10	7	0	10	5					
15	"Число открепительных удостоверений, выданных в ТИК"	9	5	1	1	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"													
18	. Глазьев Сергей Юрьевич	473	69	76	120	90	40	78					
		5.82%	4.44%	5.18%	6.59%	5.89%	9.22%	5.91%					
19	. Малышкин Олег Александрович	246	38	46	75	40	15	32					
		3.03%	2.44%	3.13%	4.12%	2.62%	3.46%	2.43%					
20	. Миронов Сергей Михайлович	63	12	12	10	12	6	11					
		0.78%	0.77%	0.82%	0.55%	0.78%	1.38%	0.83%					
21	. Путин Владимир Владимирович	5112	955	1037	1173	913	231	803					
		62.91%	61.41%	70.64%	64.42%	59.71%	53.23%	60.88%					
22	. Хакамада Ирина Муцуовна	151	38	30	30	23	8	22					
		1.86%	2.44%	2.04%	1.65%	1.50%	1.84%	1.67%					
23	. Харитонов Николай Михайлович	1847	406	223	349	414	122	333					
		22.73%	26.11%	15.19%	19.17%	27.08%	28.11%	25.25%					
													
24	Против всех	186	31	37	58	22	6	32					
		2.29%	1.99%	2.52%	3.19%	1.44%	1.38%	2.43%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
