Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Дальнегорская городская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК  368	УИК  369	УИК  370	УИК  371	УИК  372	УИК  373	УИК  374	УИК  375	УИК  376	УИК  377	УИК  378	УИК  379	УИК  380	УИК  381	УИК  382	УИК  383	УИК  384	УИК  385	УИК  386	УИК  387	УИК  388	УИК  389	УИК  390					
1	"Число избирателей, внесенных в список"	40811	2253	785	2707	2195	2353	1996	1522	1857	2760	2395	2166	2327	2166	1858	1780	1272	1566	2278	1083	283	1897	1241	71					
2	Число полученных избирательных бюллетеней	40293	2300	800	2750	2200	2250	2050	1600	1800	2750	2350	2000	2250	2100	1800	1650	1200	1550	2200	1100	300	1900	1300	93					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	24026	1337	464	1710	1165	1397	1211	927	1062	1587	1388	1158	1223	1286	1122	1068	796	889	1303	674	131	1237	851	40					
5	"Число избирательных бюллетеней, выданных вне помещения"	993	93	28	47	30	33	21	12	29	24	45	156	41	98	22	14	20	24	27	37	76	48	64	4					
6	Число погашенных избирательных бюллетеней	15274	870	308	993	1005	820	818	661	709	1139	917	686	986	716	656	568	384	637	870	389	93	615	385	49					
7	Число избирательных бюллетеней в переносных ящиках	993	93	28	47	30	33	21	12	29	24	45	156	41	98	22	14	20	24	27	37	76	48	64	4					
8	Число бюллетеней в стационарных ящиках для голосования	24016	1337	464	1710	1164	1396	1211	927	1060	1585	1387	1158	1221	1286	1121	1068	796	889	1303	674	131	1237	851	40					
9	Число недействительных избирательных бюллетеней	187	14	6	10	10	11	12	7	6	16	7	2	14	8	3	9	4	7	9	9	1	9	13	0					
10	Число действительных избирательных бюллетеней	24822	1416	486	1747	1184	1418	1220	932	1083	1593	1425	1312	1248	1376	1140	1073	812	906	1321	702	206	1276	902	44					
11	Число полученных открепительных  удостоверений	514	25	15	25	25	25	20	24	20	35	30	30	25	25	20	20	20	20	25	20	10	25	20	10					
12	Число выданных открепительных удостоверений	338	14	7	21	20	12	11	18	13	28	25	24	23	24	18	13	9	11	17	12	2	13	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	205	14	4	6	4	16	2	7	6	9	10	12	27	7	5	7	5	12	13	3	10	14	6	6					
14	Число неиспользованных открепительных удостоверений	176	11	8	4	5	13	9	6	7	7	5	6	2	1	2	7	11	9	8	8	8	12	17	10					
15	"Число открепительных удостоверений, выданных в ТИК"	21	0	0	3	2	3	1	0	0	5	1	0	2	1	1	1	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	2316	65	13	146	78	143	117	89	124	213	140	139	110	157	181	98	72	124	149	46	6	68	37	1					
		9.26%	4.55%	2.64%	8.31%	6.53%	10.01%	9.50%	9.48%	11.39%	13.24%	9.78%	10.58%	8.72%	11.34%	15.84%	9.06%	8.82%	13.58%	11.20%	6.47%	2.90%	5.29%	4.04%	2.27%					
19	. Малышкин Олег Александрович	1366	82	29	88	93	70	66	62	51	74	68	57	67	87	52	72	37	58	75	45	17	61	53	2					
		5.46%	5.73%	5.89%	5.01%	7.79%	4.90%	5.36%	6.60%	4.68%	4.60%	4.75%	4.34%	5.31%	6.29%	4.55%	6.65%	4.53%	6.35%	5.64%	6.33%	8.21%	4.75%	5.79%	4.55%					
20	. Миронов Сергей Михайлович	315	14	5	18	15	17	18	13	14	22	17	16	12	15	18	18	8	12	21	8	6	12	15	1					
		1.26%	0.98%	1.02%	1.02%	1.26%	1.19%	1.46%	1.38%	1.29%	1.37%	1.19%	1.22%	0.95%	1.08%	1.57%	1.66%	0.98%	1.31%	1.58%	1.13%	2.90%	0.93%	1.64%	2.27%					
21	. Путин Владимир Владимирович	11088	673	252	788	547	652	555	414	489	712	623	563	553	565	450	482	359	412	581	345	88	499	461	25					
		44.34%	47.06%	51.22%	44.85%	45.81%	45.63%	45.05%	44.09%	44.90%	44.25%	43.51%	42.85%	43.82%	40.82%	39.37%	44.55%	44.00%	45.13%	43.68%	48.52%	42.51%	38.83%	50.38%	56.82%					
22	. Хакамада Ирина Муцуовна	1148	36	13	86	75	54	52	44	76	65	77	63	79	64	71	46	42	42	57	32	2	44	28	0					
		4.59%	2.52%	2.64%	4.89%	6.28%	3.78%	4.22%	4.69%	6.98%	4.04%	5.38%	4.79%	6.26%	4.62%	6.21%	4.25%	5.15%	4.60%	4.29%	4.50%	0.97%	3.42%	3.06%	0.00%					
23	. Харитонов Николай Михайлович	6748	471	148	496	292	378	328	240	234	385	407	375	318	342	263	269	245	200	336	183	69	496	258	15					
		26.98%	32.94%	30.08%	28.23%	24.46%	26.45%	26.62%	25.56%	21.49%	23.93%	28.42%	28.54%	25.20%	24.71%	23.01%	24.86%	30.02%	21.91%	25.26%	25.74%	33.33%	38.60%	28.20%	34.09%					
																														
24	Против всех	1841	75	26	125	84	104	84	70	95	122	93	99	109	146	105	88	49	58	102	43	18	96	50	0					
		7.36%	5.24%	5.28%	7.11%	7.04%	7.28%	6.82%	7.45%	8.72%	7.58%	6.49%	7.53%	8.64%	10.55%	9.19%	8.13%	6.00%	6.35%	7.67%	6.05%	8.70%	7.47%	5.46%	0.00%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
