Выборы Президента Российской Федерации																	
																	
Наименование Избирательной комиссии:    Шимановская городская																	
																	
Итоги голосования 																	
																	
		Сумма	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793					
1	"Число избирателей, внесенных в список"	17009	2009	1448	1976	2125	1285	1566	1306	1730	2038	1526					
2	Число полученных избирательных бюллетеней	15480	1885	1300	1825	1855	1200	1425	1180	1585	1850	1375					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8879	931	830	1004	1288	747	757	595	933	1019	775					
5	"Число избирательных бюллетеней, выданных вне помещения"	934	188	140	86	135	50	56	29	49	99	102					
6	Число погашенных избирательных бюллетеней	5667	766	330	735	432	403	612	556	603	732	498					
7	Число избирательных бюллетеней в переносных ящиках	934	188	140	86	135	50	56	29	49	99	102					
8	Число бюллетеней в стационарных ящиках для голосования	8876	931	828	1004	1288	747	757	595	933	1018	775					
9	Число недействительных избирательных бюллетеней	64	9	3	6	11	5	4	9	8	7	2					
10	Число действительных избирательных бюллетеней	9746	1110	965	1084	1412	792	809	615	974	1110	875					
11	Число полученных открепительных  удостоверений	398	40	40	40	40	40	40	40	41	39	38					
12	Число выданных открепительных удостоверений	111	10	7	8	6	17	5	8	16	16	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	55	7	13	6	2	4	0	4	7	6	6					
14	Число неиспользованных открепительных удостоверений	287	30	33	32	34	23	35	32	25	23	20					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	1	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																	
18	. Глазьев Сергей Юрьевич	493	54	54	47	46	43	43	35	50	57	64					
		5.03%	4.83%	5.58%	4.31%	3.23%	5.40%	5.29%	5.61%	5.09%	5.10%	7.30%					
19	. Малышкин Олег Александрович	300	36	29	36	33	20	31	20	38	31	26					
		3.06%	3.22%	3.00%	3.30%	2.32%	2.51%	3.81%	3.21%	3.87%	2.78%	2.96%					
20	. Миронов Сергей Михайлович	116	10	13	12	10	11	14	9	10	14	13					
		1.18%	0.89%	1.34%	1.10%	0.70%	1.38%	1.72%	1.44%	1.02%	1.25%	1.48%					
21	. Путин Владимир Владимирович	6257	652	616	687	1040	461	503	438	579	729	552					
		63.78%	58.27%	63.64%	63.03%	73.09%	57.84%	61.87%	70.19%	58.96%	65.26%	62.94%					
22	. Хакамада Ирина Муцуовна	296	26	28	33	33	22	15	23	27	52	37					
		3.02%	2.32%	2.89%	3.03%	2.32%	2.76%	1.85%	3.69%	2.75%	4.66%	4.22%					
23	. Харитонов Николай Михайлович	2050	312	203	247	226	212	194	84	237	180	155					
		20.90%	27.88%	20.97%	22.66%	15.88%	26.60%	23.86%	13.46%	24.13%	16.11%	17.67%					
																	
24	Против всех	234	20	22	22	24	23	9	6	33	47	28					
		2.39%	1.79%	2.27%	2.02%	1.69%	2.89%	1.11%	0.96%	3.36%	4.21%	3.19%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
