Выборы Президента Российской Федерации																																																					
																																																					
"Наименование Избирательной комиссии:    Нижний Тагил, Дзержинская"																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №2164	УИК №2165	УИК №2166	УИК №2167	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185					
1	"Число избирателей, внесенных в список"	99162	2023	1990	1711	2267	2135	1887	1855	2246	2133	2143	1959	2087	1969	2209	1897	2587	2571	1990	2137	2321	2298	2415	2482	2381	2322	2061	2056	2496	2853	2079	2127	2593	2039	2486	1775	1980	1439	2063	2330	2239	2369	1677	2216	1977	2091	2201					
2	Число полученных избирательных бюллетеней	98475	2000	1875	1600	2200	1700	1900	1800	2200	2000	2200	2100	2300	2300	2600	2800	2400	2500	2000	2000	2200	2300	2300	2400	2300	2300	2000	2000	2500	2500	2700	2100	2500	2000	2500	1700	1800	1500	2100	2300	2100	2300	1600	2100	1900	1800	2200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	55021	1265	1077	975	1124	1344	1117	1037	1164	1226	1247	1137	1186	1137	1226	1075	1416	1331	1156	1082	1290	1301	1305	1374	1411	1236	1150	1098	1417	1576	1100	1242	1550	959	1244	1005	976	584	1267	1343	1163	1261	746	1367	1180	1253	1301					
5	"Число избирательных бюллетеней, выданных вне помещения"	2025	49	97	38	43	18	45	22	27	37	36	14	9	16	19	31	29	86	71	55	136	58	56	33	30	36	30	58	56	27	35	41	39	32	52	42	64	57	19	16	35	30	108	65	43	46	39					
6	Число погашенных избирательных бюллетеней	41429	686	701	587	1033	338	738	741	1009	737	917	949	1105	1147	1355	1694	955	1083	773	863	774	941	939	993	859	1028	820	844	1027	897	1565	817	911	1009	1204	653	760	859	814	941	902	1009	746	668	677	501	860					
7	Число избирательных бюллетеней в переносных ящиках	2025	49	97	38	43	18	45	22	27	37	36	14	9	16	19	31	29	86	71	55	136	58	56	33	30	36	30	58	56	27	35	41	39	32	52	42	64	57	19	16	35	30	108	65	43	46	39					
8	Число бюллетеней в стационарных ящиках для голосования	54921	1265	1077	974	1124	1344	1117	1036	1162	1226	1247	1137	1186	1137	1226	1075	1416	1330	1085	1082	1290	1301	1301	1374	1408	1233	1150	1098	1417	1570	1100	1242	1550	959	1244	1005	976	584	1265	1343	1163	1261	743	1367	1180	1253	1298					
9	Число недействительных избирательных бюллетеней	760	19	13	14	27	23	13	17	18	19	16	19	15	11	8	14	20	17	19	24	11	10	14	24	18	21	8	12	28	18	6	8	17	14	14	12	21	2	15	11	16	13	23	29	27	30	12					
10	Число действительных избирательных бюллетеней	56186	1295	1161	998	1140	1339	1149	1041	1171	1244	1267	1132	1180	1142	1237	1092	1425	1399	1137	1113	1415	1349	1343	1383	1420	1248	1172	1144	1445	1579	1129	1275	1572	977	1282	1035	1019	639	1269	1348	1182	1278	828	1403	1196	1269	1325					
11	Число полученных открепительных  удостоверений	1999	45	45	40	45	50	45	45	40	45	45	45	45	45	45	45	45	45	45	45	45	45	45	44	45	45	45	45	45	45	45	45	45	45	45	45	45	30	45	45	45	45	40	45	45	20	25					
12	Число выданных открепительных удостоверений	393	5	9	6	2	40	12	4	7	6	9	19	12	4	9	9	9	7	7	6	5	6	11	5	9	11	5	9	8	9	8	9	9	6	5	5	7	4	7	5	9	22	8	6	6	10	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	203	11	6	5	5	7	7	5	5	3	5	5	3	8	5	3	4	3	4	6	6	7	6	1	5	5	3	3	3	4	2	1	3	1	6	7	3	0	3	3	0	2	8	5	10	3	3					
14	Число неиспользованных открепительных удостоверений	1606	40	36	34	43	10	33	41	33	39	36	26	33	41	36	36	36	38	38	39	40	39	34	39	36	34	40	36	37	36	37	36	36	39	40	40	38	26	38	40	36	23	32	39	39	10	18					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																					
18	. Глазьев Сергей Юрьевич	2148	53	51	30	27	36	38	34	48	55	42	37	30	42	34	35	44	57	68	51	61	79	63	58	51	56	38	54	42	71	44	50	83	30	49	34	47	25	50	60	47	51	22	42	35	35	59					
		3.77%	4.03%	4.34%	2.96%	2.31%	2.64%	3.27%	3.21%	4.04%	4.35%	3.27%	3.21%	2.51%	3.64%	2.73%	3.16%	3.04%	4.03%	5.88%	4.49%	4.28%	5.81%	4.64%	4.12%	3.55%	4.41%	3.22%	4.67%	2.85%	4.45%	3.88%	3.90%	5.22%	3.03%	3.78%	3.25%	4.52%	3.90%	3.89%	4.42%	3.92%	3.95%	2.59%	2.93%	2.86%	2.69%	4.41%					
19	. Малышкин Олег Александрович	1409	23	27	28	40	39	29	20	33	30	36	29	32	45	31	27	39	29	24	35	37	25	32	34	41	29	30	31	26	43	28	33	22	19	31	15	26	25	28	28	27	31	21	38	36	43	34					
		2.47%	1.75%	2.30%	2.77%	3.43%	2.86%	2.50%	1.89%	2.78%	2.38%	2.81%	2.52%	2.68%	3.90%	2.49%	2.44%	2.70%	2.05%	2.08%	3.08%	2.59%	1.84%	2.36%	2.42%	2.85%	2.29%	2.54%	2.68%	1.77%	2.69%	2.47%	2.57%	1.38%	1.92%	2.39%	1.43%	2.50%	3.90%	2.18%	2.06%	2.25%	2.40%	2.47%	2.65%	2.94%	3.31%	2.54%					
