Выборы Президента Российской Федерации																																									
																																									
Наименование Избирательной комиссии:    район Южное Бутово																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283	УИК №2284	УИК №2285	УИК №2286	УИК №2287	УИК №2288	УИК №2289	УИК №2290	УИК №2291	УИК №2292	УИК №2293	УИК №2294	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299	УИК №2300	УИК №2994					
1	"Число избирателей, внесенных в список"	76935	1946	1925	2238	2094	2239	472	2726	2134	2152	2552	2390	2640	2266	2594	2557	2608	2141	1236	1753	2109	1954	2312	2608	2773	2434	2589	2489	2580	2127	2218	3136	2164	2204	2575					
2	Число полученных избирательных бюллетеней	69730	1830	1880	2090	1980	2100	430	2480	1930	1980	2340	2220	2390	2080	2390	2390	2390	1850	1130	1600	1960	1870	2260	2380	2470	2250	2380	2300	2300	1810	1980	2550	1910	1960	1870					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	42898	944	1046	1137	1128	1121	204	1262	1090	1244	1381	1392	1302	1248	1358	1515	1408	1363	791	1093	1097	1126	1373	1403	1418	1436	1918	1361	1331	1198	1159	1856	1230	1286	1679					
5	"Число избирательных бюллетеней, выданных вне помещения"	1470	42	142	163	42	98	52	56	74	16	25	24	16	22	11	24	24	13	37	34	98	36	32	32	44	32	28	48	33	33	12	25	49	41	12					
6	Число погашенных избирательных бюллетеней	25362	844	692	790	810	881	174	1162	766	720	934	804	1072	810	1021	851	958	474	302	473	765	708	855	945	1008	782	434	891	936	579	809	669	631	633	179					
7	Число избирательных бюллетеней в переносных ящиках	1470	42	142	163	42	98	52	56	74	16	25	24	16	22	11	24	24	13	37	34	98	36	32	32	44	32	28	48	33	33	12	25	49	41	12					
8	Число бюллетеней в стационарных ящиках для голосования	42837	942	1046	1137	1128	1119	204	1260	1087	1244	1381	1392	1298	1248	1358	1513	1408	1363	791	1093	1097	1126	1373	1403	1418	1436	1890	1361	1320	1198	1155	1853	1230	1286	1679					
9	Число недействительных избирательных бюллетеней	309	17	10	4	17	17	4	22	6	8	11	11	5	0	10	0	4	18	0	0	10	7	9	14	9	17	8	0	14	10	17	11	3	7	9					
10	Число действительных избирательных бюллетеней	43998	967	1178	1296	1153	1200	252	1294	1155	1252	1395	1405	1309	1270	1359	1537	1428	1358	828	1127	1185	1155	1396	1421	1453	1451	1910	1409	1339	1221	1150	1867	1276	1320	1682					
