Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Артемовская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93					
1	"Число избирателей, внесенных в список"	51083	2012	842	1316	2557	950	1688	615	1475	1056	2170	2297	2248	560	1183	1489	2802	1368	1490	1605	1814	1371	2679	2449	1133	1360	1354	1202	1148	455	562	113	582	867	775	1895	606	171	471	353					
2	Число полученных избирательных бюллетеней	46461	1810	750	1195	2305	850	1535	555	1370	965	2005	2050	2155	510	975	1335	2525	1210	1320	1435	1730	1280	2390	2340	1000	1310	1235	1115	1025	410	505	114	525	780	700	1685	550	172	430	310					
3	"Число избирательных бюллетеней, выданных  досрочно"	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22303	941	359	663	1309	454	745	157	629	449	1176	1116	1105	233	533	616	1098	572	576	640	843	646	1151	1094	525	461	466	526	545	231	265	58	191	330	254	585	270	105	221	165					
5	"Число избирательных бюллетеней, выданных вне помещения"	2970	67	43	33	84	28	104	166	47	113	24	57	28	46	122	76	145	58	57	101	69	40	76	49	44	123	121	78	55	18	61	13	60	95	151	361	63	17	56	21					
6	Число погашенных избирательных бюллетеней	21160	802	348	499	912	368	686	232	694	403	805	877	1022	231	320	643	1282	580	687	694	818	594	1163	1197	431	726	648	511	425	161	179	43	274	355	295	711	217	50	153	124					
7	Число избирательных бюллетеней в переносных ящиках	2998	67	43	33	84	28	104	166	47	113	24	57	28	46	122	76	145	58	57	101	69	40	76	49	44	123	121	78	55	18	61	13	60	95	151	389	63	17	56	21					
8	Число бюллетеней в стационарных ящиках для голосования	22299	941	359	663	1309	454	745	157	629	449	1176	1116	1105	233	533	616	1097	572	576	640	843	646	1151	1094	525	459	466	526	544	231	265	58	191	330	254	585	270	105	221	165					
9	Число недействительных избирательных бюллетеней	283	12	2	8	9	5	14	4	5	3	13	7	10	5	5	15	11	4	9	5	8	10	14	14	17	14	4	9	7	5	0	2	3	5	4	11	3	1	4	2					
10	Число действительных избирательных бюллетеней	25014	996	400	688	1384	477	835	319	671	559	1187	1166	1123	274	650	677	1231	626	624	736	904	676	1213	1129	552	568	583	595	592	244	326	69	248	420	401	963	330	121	273	184					
11	Число полученных открепительных  удостоверений	603	20	10	15	30	10	20	10	20	10	30	30	30	10	10	20	30	15	20	20	20	20	30	30	10	15	15	10	10	5	5	5	5	10	10	20	8	5	5	5					
12	Число выданных открепительных удостоверений	151	8	1	5	12	5	6	1	2	8	17	28	3	0	7	4	6	1	4	5	2	2	4	3	0	0	1	0	0	0	0	0	0	1	0	3	6	0	4	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	125	8	0	1	5	14	2	0	6	5	4	16	4	2	2	4	3	2	1	3	3	2	0	2	4	5	1	0	2	0	1	1	2	3	2	10	2	1	0	2					
