Выборы Президента Российской Федерации																																																		
Дата голосования: 02.03.2008																																																		
																																																		
Наименование Избирательной комиссии:    Артемовская																																																		
																																																		
Сводная таблица результатов выборов																																																		
																																																		
	Число участковых избирательных комиссий	43																																																
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	43																																																
																																																		
		Сумма	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №185					
21	Медведев Дмитрий Анатольевич	20563	727	340	673	820	738	419	231	558	444	875	848	937	227	366	628	942	523	524	574	576	458	846	952	448	437	570	617	679	240	328	55	288	459	371	582	306	93	268	106	94	149	86	161					
		68.70%	67.31%	65.89%	67.17%	65.76%	66.25%	77.02%	69.58%	71.54%	67.99%	65.45%	63.71%	68.24%	58.51%	64.10%	66.60%	67.58%	72.94%	69.31%	65.90%	66.06%	62.99%	64.98%	64.02%	67.57%	69.15%	75.80%	82.27%	78.59%	73.39%	73.38%	70.51%	72.91%	79.55%	68.70%	72.66%	70.18%	76.23%	76.35%	55.21%	63.95%	81.42%	70.49%	74.19%					
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
