Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																					
Дата голосования: 04.12.2011																																					
																																					
Наименование Избирательной комиссии:    Печенгская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392					
1	"Число избирателей, внесенных в список избирателей"	33188	1497	807	1628	1556	1629	1663	948	1827	25	158	134	59	1138	696	1801	1988	993	1147	1867	1957	472	926	1938	21	1432	1560	1657	950	492	222					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29367	1330	720	1420	1350	1450	1500	830	1620	25	140	190	61	1000	560	1580	1730	880	1020	1700	1700	400	810	1700	21	1170	1380	1500	850	530	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	264	0	0	0	0	0	0	0	0	0	94	16	0	0	124	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	16725	677	287	667	651	703	694	523	732	25	37	118	31	479	279	790	884	461	611	903	986	256	451	983	21	857	1328	1092	720	384	95					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	501	24	21	25	23	22	18	1	21	0	0	0	0	22	0	16	12	11	13	13	10	4	4	7	0	10	3	122	59	5	35					
6	Число погашенных избирательных бюллетеней	11877	629	412	728	676	725	788	306	867	0	9	56	30	499	157	774	804	408	396	784	704	140	355	710	0	303	49	286	71	141	70					
7	Число избирательных бюллетеней в переносных ящиках для голосования	765	24	21	25	23	22	18	1	21	0	94	16	0	22	124	16	42	11	13	13	10	4	4	7	0	10	3	122	59	5	35					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16718	676	287	667	651	702	694	523	732	25	37	118	31	478	279	790	884	461	611	901	986	256	449	983	21	857	1328	1092	720	384	95					
9	Число недействительных избирательных бюллетеней	326	11	1	17	11	15	12	11	13	0	1	0	0	13	5	18	23	11	12	26	23	3	12	18	2	18	18	10	12	7	3					
10	Число действительных избирательных бюллетеней	17157	689	307	675	663	709	700	513	740	25	130	134	31	487	398	788	903	461	612	888	973	257	441	972	19	849	1313	1204	767	382	127					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	538	15	5	15	15	15	15	23	15	0	10	10	10	15	20	15	15	15	15	15	15	15	15	15	0	50	40	40	40	40	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	188	7	3	2	1	11	3	13	5	0	3	2	0	2	7	9	8	4	4	7	6	2	5	9	0	39	15	10	7	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	179	1	0	1	17	2	0	5	3	0	4	2	1	1	56	3	4	3	0	1	12	16	9	2	0	9	7	14	1	1	4					
14	Число погашенных неиспользованных открепительных удостоверений	350	8	2	13	14	4	12	10	10	0	7	8	10	13	13	6	7	11	11	8	9	13	10	6	0	11	25	30	33	39	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	58	1	0	1	1	0	0	24	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	26					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3152	186	74	174	170	193	216	103	214	3	12	32	10	94	57	160	140	93	117	209	192	63	79	208	4	54	66	122	57	29	21					
		18.03%	26.57%	24.03%	25.14%	25.22%	26.66%	30.34%	19.66%	28.42%	12.00%	9.16%	23.88%	32.26%	18.80%	14.14%	19.85%	15.12%	19.70%	18.75%	22.87%	19.28%	24.23%	17.44%	21.01%	19.05%	6.23%	4.96%	10.05%	7.32%	7.46%	16.15%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3727	132	59	137	141	145	134	98	153	4	28	27	1	98	77	179	225	114	135	203	233	46	93	219	2	213	213	320	195	81	22					
		21.32%	18.86%	19.16%	19.80%	20.92%	20.03%	18.82%	18.70%	20.32%	16.00%	21.37%	20.15%	3.23%	19.60%	19.11%	22.21%	24.30%	24.15%	21.63%	22.21%	23.39%	17.69%	20.53%	22.12%	9.52%	24.57%	16.00%	26.36%	25.03%	20.82%	16.92%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	180	7	1	7	12	10	9	0	7	0	2	1	0	4	8	6	7	3	9	7	3	4	6	18	0	4	6	15	17	5	2					
		1.03%	1.00%	0.32%	1.01%	1.78%	1.38%	1.26%	0.00%	0.93%	0.00%	1.53%	0.75%	0.00%	0.80%	1.99%	0.74%	0.76%	0.64%	1.44%	0.77%	0.30%	1.54%	1.32%	1.82%	0.00%	0.46%	0.45%	1.24%	2.18%	1.29%	1.54%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2764	144	50	123	120	146	124	89	112	2	18	18	4	78	56	140	171	84	116	152	158	47	67	169	5	94	140	144	108	46	39					
		15.81%	20.57%	16.23%	17.77%	17.80%	20.17%	17.42%	16.98%	14.87%	8.00%	13.74%	13.43%	12.90%	15.60%	13.90%	17.37%	18.47%	17.80%	18.59%	16.63%	15.86%	18.08%	14.79%	17.07%	23.81%	10.84%	10.52%	11.86%	13.86%	11.83%	30.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	463	36	19	20	15	26	33	8	27	1	1	10	1	17	3	21	20	13	13	26	33	19	20	25	0	13	5	15	17	1	5					
		2.65%	5.14%	6.17%	2.89%	2.23%	3.59%	4.63%	1.53%	3.59%	4.00%	0.76%	7.46%	3.23%	3.40%	0.74%	2.61%	2.16%	2.75%	2.08%	2.84%	3.31%	7.31%	4.42%	2.53%	0.00%	1.50%	0.38%	1.24%	2.18%	0.26%	3.85%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6767	181	100	211	201	186	180	214	222	15	66	45	15	192	196	279	336	151	219	286	347	77	172	329	8	462	878	582	366	213	38					
		38.71%	25.86%	32.47%	30.49%	29.82%	25.69%	25.28%	40.84%	29.48%	60.00%	50.38%	33.58%	48.39%	38.40%	48.64%	34.62%	36.29%	31.99%	35.10%	31.29%	34.84%	29.62%	37.97%	33.23%	38.10%	53.29%	65.97%	47.94%	46.98%	54.76%	29.23%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	104	3	4	3	4	3	4	1	5	0	3	1	0	4	1	3	4	3	3	5	7	1	4	4	0	9	5	6	7	7	0					
		0.59%	0.43%	1.30%	0.43%	0.59%	0.41%	0.56%	0.19%	0.66%	0.00%	2.29%	0.75%	0.00%	0.80%	0.25%	0.37%	0.43%	0.64%	0.48%	0.55%	0.70%	0.38%	0.88%	0.40%	0.00%	1.04%	0.38%	0.49%	0.90%	1.80%	0.00%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
