13	Бабурин Сергей Николаевич	563	0	2	19	12	1	0	1	12	6	6	12	4	2	3	1	7	6	10	5	4	11	15	14	15	5	7	10	4	6	7	3	11	5	10	7	9	10	11	5	9	6	8	5	4	7	4	7	9	8	7	7	7	5	2	15	5	7	9	9	8	4	19	4	8	9	4	4	15	10	7	4	7	5	10	4	1	0	1	0	0	0	0	2	1	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	0	0	1									
		0.75%	0.00%	0.29%	1.05%	0.65%	0.14%	0.00%	0.28%	0.88%	0.42%	0.43%	0.98%	0.38%	0.32%	0.64%	0.21%	0.61%	0.57%	0.98%	0.66%	0.62%	0.74%	0.85%	0.77%	1.38%	0.64%	0.79%	1.05%	0.40%	0.72%	1.03%	0.30%	1.11%	0.63%	1.02%	0.68%	1.16%	0.96%	1.10%	0.58%	0.61%	0.47%	1.07%	0.68%	0.53%	0.94%	0.45%	0.70%	0.67%	1.10%	0.83%	0.79%	0.70%	0.50%	0.36%	1.19%	0.47%	1.13%	1.54%	1.19%	0.72%	0.52%	1.72%	0.41%	0.64%	1.27%	0.37%	0.62%	1.16%	0.74%	1.04%	0.48%	0.65%	0.72%	0.85%	0.57%	0.83%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	2.02%	1.04%	0.00%	2.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	1.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.23%	0.00%	5.56%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.67%	3.45%	0.00%	0.00%	0.00%	4.17%	3.45%	0.00%	6.67%	4.76%	0.00%	0.00%	4.55%									
14	Грудинин Павел Николаевич	17965	41	105	473	369	160	19	64	349	403	310	318	292	182	143	110	328	287	283	217	173	406	369	533	330	233	202	245	242	185	158	217	262	170	232	271	196	258	246	251	384	324	169	151	176	188	222	238	210	165	188	221	233	224	157	265	303	141	129	164	217	186	278	242	318	154	249	149	330	329	183	207	285	183	341	193	23	2	38	1	1	1	1	1	1	1	0	0	0	9	4	1	10	0	2	5	0	2	1	2	5	6	3	1	0	1	0	0	1	9	1	3	3	3	2	2	3	2	5	0	0	0	0	1	0	0	0	4	0	3	0	1	5	3	4	1	3	3	6	1	2	2	3	4	1	2	1	0	3	2	5	4	3	5	4	0	2	3									
		23.80%	13.44%	15.37%	26.12%	19.96%	22.35%	14.29%	17.68%	25.64%	27.95%	22.21%	25.98%	27.99%	29.50%	30.43%	22.87%	28.55%	27.41%	27.69%	28.52%	26.66%	27.25%	20.88%	29.14%	30.41%	29.72%	22.72%	25.84%	24.40%	22.34%	23.34%	21.77%	26.55%	21.52%	23.70%	26.23%	25.32%	24.64%	24.67%	28.95%	26.07%	25.57%	22.50%	20.46%	23.50%	25.17%	25.14%	23.66%	15.66%	22.70%	22.33%	24.89%	23.32%	22.60%	28.60%	20.95%	28.24%	22.82%	22.09%	21.72%	19.41%	23.97%	25.18%	24.59%	25.26%	21.72%	23.08%	23.07%	25.52%	24.46%	27.15%	25.03%	26.34%	26.29%	28.87%	27.69%	19.01%	2.02%	25.00%	1.03%	1.02%	1.02%	1.08%	1.01%	1.04%	1.03%	0.00%	0.00%	0.00%	50.00%	14.29%	4.76%	7.81%	0.00%	2.17%	5.05%	0.00%	7.14%	3.45%	8.00%	20.00%	31.58%	12.00%	3.45%	0.00%	3.45%	0.00%	0.00%	3.57%	5.59%	3.70%	12.50%	13.04%	14.29%	8.70%	8.70%	10.00%	7.14%	26.32%	0.00%	0.00%	0.00%	0.00%	3.45%	0.00%	0.00%	0.00%	20.00%	0.00%	10.34%	0.00%	3.13%	16.13%	9.68%	22.22%	5.26%	15.00%	21.43%	31.58%	7.14%	15.38%	14.29%	25.00%	25.00%	8.33%	13.33%	3.45%	0.00%	16.67%	7.14%	20.83%	13.79%	30.00%	33.33%	19.05%	0.00%	8.00%	13.64%									
15	Жириновский Владимир Вольфович	5436	22	51	113	98	36	16	31	72	96	72	64	74	43	40	20	87	82	98	62	70	107	144	81	67	41	93	62	93	69	39	62	86	63	85	80	42	47	66	49	90	91	69	54	49	38	54	87	68	57	76	68	77	71	56	82	74	67	51	46	62	62	72	82	78	46	49	50	77	101	45	79	84	80	80	48	12	3	18	4	3	5	2	0	2	2	0	5	0	2	9	1	20	17	16	26	12	3	4	15	2	4	4	4	3	7	3	2	4	26	4	3	2	3	3	2	5	6	3	0	4	0	0	0	0	1	3	6	0	7	0	1	6	3	0	2	1	3	0	3	1	3	0	1	3	1	11	27	2	2	3	4	4	1	3	0	10	6									
		7.20%	7.21%	7.47%	6.24%	5.30%	5.03%	12.03%	8.56%	5.29%	6.66%	5.16%	5.23%	7.09%	6.97%	8.51%	4.16%	7.57%	7.83%	9.59%	8.15%	10.79%	7.18%	8.15%	4.43%	6.18%	5.23%	10.46%	6.54%	9.38%	8.33%	5.76%	6.22%	8.71%	7.97%	8.68%	7.74%	5.43%	4.49%	6.62%	5.65%	6.11%	7.18%	9.19%	7.32%	6.54%	5.09%	6.12%	8.65%	5.07%	7.84%	9.03%	7.66%	7.71%	7.16%	10.20%	6.48%	6.90%	10.84%	8.73%	6.09%	5.55%	7.99%	6.52%	8.33%	6.20%	6.49%	4.54%	7.74%	5.96%	7.51%	6.68%	9.55%	7.76%	11.49%	6.77%	6.89%	9.92%	3.03%	11.84%	4.12%	3.06%	5.10%	2.15%	0.00%	2.08%	2.06%	0.00%	5.26%	0.00%	11.11%	32.14%	4.76%	15.63%	13.49%	17.39%	26.26%	13.64%	10.71%	13.79%	60.00%	8.00%	21.05%	16.00%	13.79%	10.34%	24.14%	10.71%	6.90%	14.29%	16.15%	14.81%	12.50%	8.70%	14.29%	13.04%	8.70%	16.67%	21.43%	15.79%	0.00%	22.22%	0.00%	0.00%	0.00%	0.00%	3.45%	13.64%	30.00%	0.00%	24.14%	0.00%	3.13%	19.35%	9.68%	0.00%	10.53%	5.00%	21.43%	0.00%	21.43%	7.69%	21.43%	0.00%	6.25%	25.00%	6.67%	37.93%	96.43%	11.11%	7.14%	12.50%	13.79%	40.00%	6.67%	14.29%	0.00%	40.00%	27.27%									
16	Путин Владимир Владимирович	47421	238	502	1098	1299	490	95	250	825	877	938	763	632	370	263	329	655	632	585	440	372	880	1152	1096	615	471	545	571	600	514	428	645	572	504	594	605	468	668	617	504	922	755	462	487	468	455	547	621	982	465	533	546	632	627	299	831	625	355	354	496	783	481	663	606	784	458	738	406	802	827	397	502	639	393	688	415	80	94	91	90	91	91	90	92	90	91	90	90	85	7	14	19	84	105	69	66	74	19	24	5	16	8	17	24	24	21	23	27	22	111	15	17	17	15	17	19	19	19	7	23	12	20	29	28	29	28	18	9	23	14	30	30	13	25	10	15	13	6	12	9	10	9	9	8	8	9	11	0	13	22	12	17	3	7	12	20	12	8									
		62.83%	78.03%	73.50%	60.63%	70.25%	68.44%	71.43%	69.06%	60.62%	60.82%	67.19%	62.34%	60.59%	59.97%	55.96%	68.40%	57.01%	60.36%	57.24%	57.82%	57.32%	59.06%	65.20%	59.92%	56.68%	60.08%	61.30%	60.23%	60.48%	62.08%	63.22%	64.69%	57.95%	63.80%	60.67%	58.57%	60.47%	63.80%	61.89%	58.13%	62.59%	59.59%	61.52%	65.99%	62.48%	60.91%	61.95%	61.73%	73.23%	63.96%	63.30%	61.49%	63.26%	63.27%	54.46%	65.69%	58.25%	57.44%	60.62%	65.70%	70.04%	61.98%	60.05%	61.59%	62.27%	64.60%	68.40%	62.85%	62.03%	61.49%	58.90%	60.70%	59.06%	56.47%	58.26%	59.54%	66.12%	94.95%	59.87%	92.78%	92.86%	92.86%	96.77%	92.93%	93.75%	93.81%	95.74%	94.74%	100.00%	38.89%	50.00%	90.48%	65.63%	83.33%	75.00%	66.67%	84.09%	67.86%	82.76%	20.00%	64.00%	42.11%	68.00%	82.76%	82.76%	72.41%	82.14%	93.10%	78.57%	68.94%	55.56%	70.83%	73.91%	71.43%	73.91%	82.61%	63.33%	67.86%	36.84%	100.00%	66.67%	100.00%	100.00%	96.55%	100.00%	96.55%	81.82%	45.00%	100.00%	48.28%	100.00%	93.75%	41.94%	80.65%	55.56%	78.95%	65.00%	42.86%	63.16%	64.29%	76.92%	64.29%	75.00%	50.00%	66.67%	60.00%	37.93%	0.00%	72.22%	78.57%	50.00%	58.62%	30.00%	46.67%	57.14%	100.00%	48.00%	36.36%									
17	Собчак Ксения Анатольевна	1226	1	5	24	13	8	0	6	26	12	12	14	4	4	2	5	16	10	8	10	12	19	23	34	17	11	11	18	6	16	13	26	23	13	13	25	24	21	22	19	24	36	14	11	16	20	16	11	32	10	13	18	20	24	7	23	16	13	13	12	12	13	24	13	21	9	9	16	23	28	10	14	20	12	21	12	1	0	1	1	2	1	0	3	1	2	2	0	0	0	0	0	5	3	2	0	1	1	0	3	1	1	1	0	1	0	0	0	1	8	4	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	2	0	0	2	0	0	1	0	2	1	0	0	0	0	1	0	2	2	1	0	0	1	2	0	1	1	0	1	3									
		1.62%	0.33%	0.73%	1.33%	0.70%	1.12%	0.00%	1.66%	1.91%	0.83%	0.86%	1.14%	0.38%	0.65%	0.43%	1.04%	1.39%	0.96%	0.78%	1.31%	1.85%	1.28%	1.30%	1.86%	1.57%	1.40%	1.24%	1.90%	0.60%	1.93%	1.92%	2.61%	2.33%	1.65%	1.33%	2.42%	3.10%	2.01%	2.21%	2.19%	1.63%	2.84%	1.86%	1.49%	2.14%	2.68%	1.81%	1.09%	2.39%	1.38%	1.54%	2.03%	2.00%	2.42%	1.28%	1.82%	1.49%	2.10%	2.23%	1.59%	1.07%	1.68%	2.17%	1.32%	1.67%	1.27%	0.83%	2.48%	1.78%	2.08%	1.48%	1.69%	1.85%	1.72%	1.78%	1.72%	0.83%	0.00%	0.66%	1.03%	2.04%	1.02%	0.00%	3.03%	1.04%	2.06%	2.13%	0.00%	0.00%	0.00%	0.00%	0.00%	3.91%	2.38%	2.17%	0.00%	1.14%	3.57%	0.00%	12.00%	4.00%	5.26%	4.00%	0.00%	3.45%	0.00%	0.00%	0.00%	3.57%	4.97%	14.81%	4.17%	0.00%	0.00%	0.00%	0.00%	0.00%	3.57%	0.00%	0.00%	5.56%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	5.00%	0.00%	6.90%	0.00%	0.00%	6.45%	0.00%	0.00%	5.26%	0.00%	14.29%	5.26%	0.00%	0.00%	0.00%	0.00%	6.25%	0.00%	13.33%	6.90%	3.57%	0.00%	0.00%	4.17%	6.90%	0.00%	6.67%	4.76%	0.00%	4.00%	13.64%									
18	Сурайкин Максим Александрович	479	1	4	18	8	2	2	5	7	10	8	9	4	4	3	1	12	5	5	2	3	5	11	7	7	6	8	5	4	5	10	5	8	9	8	8	7	9	7	6	11	6	1	7	3	4	5	10	6	2	5	10	4	11	6	8	6	5	4	5	4	8	8	6	9	12	2	6	7	9	1	3	8	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0									
		0.63%	0.33%	0.59%	0.99%	0.43%	0.28%	1.50%	1.38%	0.51%	0.69%	0.57%	0.74%	0.38%	0.65%	0.64%	0.21%	1.04%	0.48%	0.49%	0.26%	0.46%	0.34%	0.62%	0.38%	0.65%	0.77%	0.90%	0.53%	0.40%	0.60%	1.48%	0.50%	0.81%	1.14%	0.82%	0.77%	0.90%	0.86%	0.70%	0.69%	0.75%	0.47%	0.13%	0.95%	0.40%	0.54%	0.57%	0.99%	0.45%	0.28%	0.59%	1.13%	0.40%	1.11%	1.09%	0.63%	0.56%	0.81%	0.68%	0.66%	0.36%	1.03%	0.72%	0.61%	0.71%	1.69%	0.19%	0.93%	0.54%	0.67%	0.15%	0.36%	0.74%	0.86%	0.51%	0.86%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.62%	3.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.25%	0.00%	0.00%	3.45%	0.00%	0.00%	3.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
19	Титов Борис Юрьевич	550	0	3	16	6	6	0	2	13	7	11	6	4	2	0	3	11	10	6	7	1	14	11	22	9	5	5	14	2	10	8	10	8	6	12	6	8	7	7	10	4	11	3	5	5	8	12	13	8	3	7	6	6	9	7	10	12	4	8	4	6	5	6	10	8	8	7	1	12	11	6	2	5	2	5	7	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0									
		0.73%	0.00%	0.44%	0.88%	0.32%	0.84%	0.00%	0.55%	0.96%	0.49%	0.79%	0.49%	0.38%	0.32%	0.00%	0.62%	0.96%	0.96%	0.59%	0.92%	0.15%	0.94%	0.62%	1.20%	0.83%	0.64%	0.56%	1.48%	0.20%	1.21%	1.18%	1.00%	0.81%	0.76%	1.23%	0.58%	1.03%	0.67%	0.70%	1.15%	0.27%	0.87%	0.40%	0.68%	0.67%	1.07%	1.36%	1.29%	0.60%	0.41%	0.83%	0.68%	0.60%	0.91%	1.28%	0.79%	1.12%	0.65%	1.37%	0.53%	0.54%	0.64%	0.54%	1.02%	0.64%	1.13%	0.65%	0.15%	0.93%	0.82%	0.89%	0.24%	0.46%	0.29%	0.42%	1.00%	0.83%	0.00%	1.97%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	1.01%	1.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.70%	0.00%	4.35%	0.00%	4.35%	0.00%	0.00%	0.00%	0.00%	0.00%	5.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	12.90%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	Явлинский Григорий Алексеевич	653	0	1	21	11	3	0	0	14	7	7	18	5	5	2	0	12	7	6	7	3	16	7	15	10	4	3	10	13	10	7	9	7	10	14	13	6	13	10	12	13	10	10	8	14	17	6	5	10	2	6	7	8	7	4	13	12	11	8	7	12	6	13	6	10	7	4	10	10	13	10	7	8	5	11	4	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1									
