Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Екатериновская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517					
1	"Число избирателей, внесенных в список"	16279	2504	1566	1155	616	348	1091	323	387	621	561	359	1062	136	789	207	320	141	561	142	115	349	506	257	555	504	490	292	322					
2	Число полученных избирательных бюллетеней	16257	2520	1590	1155	608	345	1076	323	385	632	556	355	1055	137	760	205	325	142	563	140	115	350	508	257	557	506	480	290	322					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11698	1389	897	668	386	240	933	250	335	469	448	233	703	119	646	193	296	123	466	124	99	264	443	238	358	426	403	258	291					
5	"Число избирательных бюллетеней, выданных вне помещения"	943	19	29	36	157	54	0	30	28	79	19	81	148	0	15	10	0	0	27	11	0	52	6	0	104	16	22	0	0					
6	Число погашенных избирательных бюллетеней	3616	1112	664	451	65	51	143	43	22	84	89	41	204	18	99	2	29	19	70	5	16	34	59	19	95	64	55	32	31					
7	Число избирательных бюллетеней в переносных ящиках	943	19	29	36	157	54	0	30	28	79	19	81	148	0	15	10	0	0	27	11	0	52	6	0	104	16	22	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	11694	1389	897	664	386	240	933	250	335	469	448	233	703	119	646	193	296	123	466	124	99	264	443	238	358	426	403	258	291					
9	Число недействительных избирательных бюллетеней	137	13	5	7	2	0	9	0	2	2	1	2	4	8	5	7	32	0	4	0	0	0	1	0	1	30	2	0	0					
10	Число действительных избирательных бюллетеней	12500	1395	921	693	541	294	924	280	361	546	466	312	847	111	656	196	264	123	489	135	99	316	448	238	461	412	423	258	291					
11	Число полученных открепительных  удостоверений	391	58	40	28	15	9	25	8	9	15	13	9	25	3	16	5	8	4	14	4	3	9	12	6	13	12	11	7	10					
12	Число выданных открепительных удостоверений	116	31	13	5	4	0	5	1	2	12	6	1	2	0	5	1	2	0	0	0	1	1	5	0	12	5	1	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	52	11	4	5	4	1	2	2	2	0	2	1	2	0	1	2	0	0	2	3	2	1	1	0	0	2	0	1	1					
14	Число неиспользованных открепительных удостоверений	275	27	27	23	11	9	20	7	7	3	7	8	23	3	11	4	6	4	14	4	2	8	7	6	1	7	10	6	10					
15	"Число открепительных удостоверений, выданных в ТИК"	9	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	230	42	20	19	5	4	20	2	8	4	10	2	8	0	22	7	4	5	6	5	0	3	11	3	2	3	6	2	7					
		1.82%	2.98%	2.16%	2.71%	0.92%	1.36%	2.14%	0.71%	2.20%	0.73%	2.14%	0.64%	0.94%	0.00%	3.33%	3.45%	1.35%	4.07%	1.22%	3.70%	0.00%	0.95%	2.45%	1.26%	0.43%	0.68%	1.41%	0.78%	2.41%					
19	. Малышкин Олег Александрович	224	32	10	25	9	2	21	6	5	16	11	5	17	3	17	3	5	1	4	6	0	2	7	4	6	2	3	2	0					
		1.77%	2.27%	1.08%	3.57%	1.66%	0.68%	2.25%	2.14%	1.38%	2.92%	2.36%	1.59%	2.00%	2.52%	2.57%	1.48%	1.69%	0.81%	0.81%	4.44%	0.00%	0.63%	1.56%	1.68%	1.30%	0.45%	0.71%	0.78%	0.00%					
20	. Миронов Сергей Михайлович	61	13	3	7	1	3	1	0	0	1	4	0	4	0	2	3	0	0	1	0	0	1	4	3	2	2	2	4	0					
		0.48%	0.92%	0.32%	1.00%	0.18%	1.02%	0.11%	0.00%	0.00%	0.18%	0.86%	0.00%	0.47%	0.00%	0.30%	1.48%	0.00%	0.00%	0.20%	0.00%	0.00%	0.32%	0.89%	1.26%	0.43%	0.45%	0.47%	1.55%	0.00%					
21	. Путин Владимир Владимирович	9995	1036	649	491	408	235	779	238	296	438	358	258	749	95	501	165	236	98	394	107	79	253	366	202	416	330	364	209	245					
		79.09%	73.58%	70.09%	70.14%	75.14%	79.93%	83.49%	85.00%	81.54%	79.93%	76.66%	82.17%	88.01%	79.83%	75.79%	81.28%	79.73%	79.67%	79.92%	79.26%	79.80%	80.06%	81.51%	84.87%	90.04%	74.66%	85.65%	81.01%	84.19%					
22	. Хакамада Ирина Муцуовна	181	32	7	14	5	5	14	0	2	10	16	5	12	2	10	1	1	2	11	0	1	2	5	2	2	5	5	7	3					
		1.43%	2.27%	0.76%	2.00%	0.92%	1.70%	1.50%	0.00%	0.55%	1.82%	3.43%	1.59%	1.41%	1.68%	1.51%	0.49%	0.34%	1.63%	2.23%	0.00%	1.01%	0.63%	1.11%	0.84%	0.43%	1.13%	1.18%	2.71%	1.03%					
23	. Харитонов Николай Михайлович	1666	214	222	115	109	41	85	29	45	72	64	40	47	11	99	16	17	17	70	17	19	54	51	20	30	61	36	32	33					
		13.18%	15.20%	23.97%	16.43%	20.07%	13.95%	9.11%	10.36%	12.40%	13.14%	13.70%	12.74%	5.52%	9.24%	14.98%	7.88%	5.74%	13.82%	14.20%	12.59%	19.19%	17.09%	11.36%	8.40%	6.49%	13.80%	8.47%	12.40%	11.34%					
																																			
24	Против всех	143	26	10	22	4	4	4	5	5	5	3	2	10	0	5	1	1	0	3	0	0	1	4	4	3	9	7	2	3					
		1.13%	1.85%	1.08%	3.14%	0.74%	1.36%	0.43%	1.79%	1.38%	0.91%	0.64%	0.64%	1.18%	0.00%	0.76%	0.49%	0.34%	0.00%	0.61%	0.00%	0.00%	0.32%	0.89%	1.68%	0.65%	2.04%	1.65%	0.78%	1.03%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
