Выборы Президента Российской Федерации																																								
																																								
"Наименование Избирательной комиссии:    Волгоград, Кировская"																																								
																																								
Итоги голосования 																																								
																																								
		Сумма	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339					
1	"Число избирателей, внесенных в список"	73817	1600	1813	1929	2296	2919	2243	2329	2412	2828	2432	1937	2082	2156	1815	2226	2451	2623	1883	1869	2647	2237	2301	2142	2207	2421	2005	2147	2539	2205	1851	2360	2564	2348					
2	Число полученных избирательных бюллетеней	70500	1500	1700	1900	2200	2900	2200	2300	2300	2700	2400	1800	2000	2000	1800	2100	2400	2500	1800	1800	2500	2100	2200	2000	2100	2300	1900	2000	2400	2100	1800	2100	2400	2300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	37958	885	1114	1181	1398	1554	1172	1242	1315	1549	1342	1095	1059	1100	1044	1071	1442	1180	1019	1051	1295	1303	1130	1021	1001	1064	916	959	1140	1039	923	1237	1099	1018					
5	"Число избирательных бюллетеней, выданных вне помещения"	1262	4	54	22	22	26	61	37	86	27	27	33	49	25	16	41	11	21	35	34	72	21	22	92	35	35	54	41	27	49	30	25	91	37					
6	Число погашенных избирательных бюллетеней	31280	611	532	697	780	1320	967	1021	899	1124	1031	672	892	875	740	988	947	1299	746	715	1133	776	1048	887	1064	1201	930	1000	1233	1012	847	838	1210	1245					
7	Число избирательных бюллетеней в переносных ящиках	1262	4	54	22	22	26	61	37	86	27	27	33	49	25	16	41	11	21	35	34	72	21	22	92	35	35	54	41	27	49	30	25	91	37					
8	Число бюллетеней в стационарных ящиках для голосования	37862	885	1064	1179	1398	1549	1172	1242	1315	1549	1315	1095	1058	1100	1043	1071	1442	1180	1019	1051	1293	1303	1130	1021	1001	1064	916	959	1140	1039	923	1237	1096	1013					
9	Число недействительных избирательных бюллетеней	372	5	4	4	12	18	14	6	8	28	10	8	9	11	16	9	3	11	13	18	15	17	16	10	12	12	10	18	9	13	8	6	12	7					
10	Число действительных избирательных бюллетеней	38752	884	1114	1197	1408	1557	1219	1273	1393	1548	1332	1120	1098	1114	1043	1103	1450	1190	1041	1067	1350	1307	1136	1103	1024	1087	960	982	1158	1075	945	1256	1175	1043					
11	Число полученных открепительных  удостоверений	1990	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	70	60	60					
