Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Упоровская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031					
1	"Число избирателей, внесенных в список"	14811	1511	1354	860	380	132	96	448	137	104	229	513	640	203	75	143	148	164	675	95	129	218	102	456	124	115	479	227	145	287	379	643	931	202	825	216	178	387	55	538	111	157					
2	Число полученных избирательных бюллетеней	14973	1500	1390	860	383	136	102	448	137	106	230	516	650	210	80	146	157	169	676	98	136	216	99	458	124	121	486	226	145	287	379	662	932	207	826	214	178	386	62	565	113	157					
3	"Число избирательных бюллетеней, выданных  досрочно"	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	2	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12323	1282	1156	724	322	120	59	425	118	98	214	376	545	175	66	126	105	139	581	83	111	190	82	421	124	101	389	175	112	206	326	515	729	184	667	170	121	298	51	418	96	123					
5	"Число избирательных бюллетеней, выданных вне помещения"	1597	117	95	58	49	8	37	5	15	3	8	94	36	14	9	8	41	22	59	7	14	20	15	23	0	14	70	46	25	63	41	77	138	8	104	38	52	68	3	58	10	25					
6	Число погашенных избирательных бюллетеней	1021	101	139	78	12	8	6	18	4	5	8	46	69	21	5	12	11	8	36	8	11	6	2	14	0	6	27	5	8	18	12	70	65	15	25	4	5	20	8	89	7	9					
7	Число избирательных бюллетеней в переносных ящиках	1629	117	95	58	49	8	37	5	15	3	8	94	36	14	9	8	41	22	59	7	14	20	15	23	0	14	70	46	25	63	41	77	138	8	134	40	52	68	3	58	10	25					
8	Число бюллетеней в стационарных ящиках для голосования	12323	1282	1156	724	322	120	59	425	118	98	214	376	545	175	66	126	105	139	581	83	111	190	82	421	124	101	389	175	112	206	326	515	729	184	667	170	121	298	51	418	96	123					
9	Число недействительных избирательных бюллетеней	73	4	3	6	0	0	0	0	0	0	2	7	5	3	0	1	1	0	5	2	2	0	0	12	0	0	1	0	0	0	2	2	6	0	0	1	0	5	0	0	1	2					
10	Число действительных избирательных бюллетеней	13879	1395	1248	776	371	128	96	430	133	101	220	463	576	186	75	133	145	161	635	88	123	210	97	432	124	115	458	221	137	269	365	590	861	192	801	209	173	361	54	476	105	146					
11	Число полученных открепительных  удостоверений	295	22	24	6	9	4	4	1	3	3	5	6	14	8	4	4	4	2	11	0	6	3	2	13	4	4	14	0	5	7	4	20	20	5	10	0	5	5	5	23	1	5					
12	Число выданных открепительных удостоверений	230	21	19	5	6	0	0	1	3	0	5	6	14	8	3	2	3	0	9	0	6	3	0	8	3	4	14	0	0	7	3	20	20	0	3	0	2	5	4	23	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	78	14	4	5	1	0	0	0	1	1	1	2	0	3	0	1	1	1	1	0	1	1	1	1	0	0	4	1	0	6	6	2	5	0	2	1	2	2	1	1	1	4					
14	Число неиспользованных открепительных удостоверений	65	1	5	1	3	4	4	0	0	3	0	0	0	0	1	2	1	2	2	0	0	0	2	5	1	0	0	0	5	0	1	0	0	5	7	0	3	0	1	0	1	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	233	29	21	12	4	0	6	3	0	5	5	3	4	5	0	1	3	3	17	3	3	6	1	3	2	2	8	4	0	5	8	8	8	5	11	3	0	5	3	21	2	1					
		1.67%	2.07%	1.68%	1.53%	1.08%	0.00%	6.25%	0.70%	0.00%	4.95%	2.25%	0.64%	0.69%	2.65%	0.00%	0.75%	2.05%	1.86%	2.66%	3.33%	2.40%	2.86%	1.03%	0.68%	1.61%	1.74%	1.74%	1.81%	0.00%	1.86%	2.18%	1.35%	0.92%	2.60%	1.37%	1.43%	0.00%	1.37%	5.56%	4.41%	1.89%	0.68%					
19	. Малышкин Олег Александрович	319	25	26	18	7	5	1	5	5	1	4	2	4	0	0	0	8	10	9	4	7	8	1	7	10	4	5	4	0	0	7	19	34	24	4	4	6	2	0	26	3	10					
		2.29%	1.79%	2.08%	2.30%	1.89%	3.91%	1.04%	1.16%	3.76%	0.99%	1.80%	0.43%	0.69%	0.00%	0.00%	0.00%	5.48%	6.21%	1.41%	4.44%	5.60%	3.81%	1.03%	1.58%	8.06%	3.48%	1.09%	1.81%	0.00%	0.00%	1.91%	3.21%	3.92%	12.50%	0.50%	1.90%	3.47%	0.55%	0.00%	5.46%	2.83%	6.76%					
20	. Миронов Сергей Михайлович	70	3	6	5	1	0	2	0	0	0	1	0	2	2	0	0	0	1	3	1	0	1	1	0	1	1	4	0	2	1	3	8	6	2	4	0	0	5	0	2	1	1					
		0.50%	0.21%	0.48%	0.64%	0.27%	0.00%	2.08%	0.00%	0.00%	0.00%	0.45%	0.00%	0.34%	1.06%	0.00%	0.00%	0.00%	0.62%	0.47%	1.11%	0.00%	0.48%	1.03%	0.00%	0.81%	0.87%	0.87%	0.00%	1.46%	0.37%	0.82%	1.35%	0.69%	1.04%	0.50%	0.00%	0.00%	1.37%	0.00%	0.42%	0.94%	0.68%					
21	. Путин Владимир Владимирович	12246	1245	1139	673	347	113	59	397	120	91	196	449	553	166	73	130	117	147	540	51	100	185	90	380	96	103	419	207	122	242	299	512	782	115	731	177	157	332	47	355	79	110					
		87.77%	88.99%	91.05%	86.06%	93.53%	88.28%	61.46%	92.33%	90.23%	90.10%	88.29%	95.53%	95.18%	87.83%	97.33%	97.01%	80.14%	91.30%	84.38%	56.67%	80.00%	88.10%	92.78%	85.59%	77.42%	89.57%	91.29%	93.67%	89.05%	89.96%	81.47%	86.49%	90.20%	59.90%	91.26%	84.29%	90.75%	90.71%	87.04%	74.58%	74.53%	74.32%					
22	. Хакамада Ирина Муцуовна	161	19	17	18	5	1	1	3	0	0	2	4	6	1	0	0	1	0	11	0	2	3	0	9	0	2	2	3	1	6	6	9	4	2	2	1	0	5	0	12	3	0					
		1.15%	1.36%	1.36%	2.30%	1.35%	0.78%	1.04%	0.70%	0.00%	0.00%	0.90%	0.85%	1.03%	0.53%	0.00%	0.00%	0.68%	0.00%	1.72%	0.00%	1.60%	1.43%	0.00%	2.03%	0.00%	1.74%	0.44%	1.36%	0.73%	2.23%	1.63%	1.52%	0.46%	1.04%	0.25%	0.48%	0.00%	1.37%	0.00%	2.52%	2.83%	0.00%					
23	. Харитонов Николай Михайлович	678	53	35	33	5	8	24	14	8	4	11	3	7	12	2	0	13	0	42	21	9	7	3	21	15	3	10	2	12	10	37	30	11	41	49	22	10	2	4	52	15	18					
		4.86%	3.79%	2.80%	4.22%	1.35%	6.25%	25.00%	3.26%	6.02%	3.96%	4.95%	0.64%	1.20%	6.35%	2.67%	0.00%	8.90%	0.00%	6.56%	23.33%	7.20%	3.33%	3.09%	4.73%	12.10%	2.61%	2.18%	0.90%	8.76%	3.72%	10.08%	5.07%	1.27%	21.35%	6.12%	10.48%	5.78%	0.55%	7.41%	10.92%	14.15%	12.16%					
																																																
24	Против всех	172	21	4	17	2	1	3	8	0	0	1	2	0	0	0	2	3	0	13	8	2	0	1	12	0	0	10	1	0	5	5	4	16	3	0	2	0	10	0	8	2	6					
