Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Болотнинская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК  81	УИК  82	УИК  83	УИК  84	УИК  85	УИК  86	УИК  87	УИК  88	УИК  89	УИК  90	УИК  91	УИК  92	УИК  93	УИК  94	УИК  95	УИК  96	УИК  97	УИК  98	УИК  99	УИК  100	УИК  101	УИК  102	УИК  103	УИК  104	УИК  105	УИК  106	УИК  107	УИК  108	УИК  109	УИК  110	УИК  111	УИК  112	УИК  113	УИК  114	УИК  115	УИК  116	УИК  117	УИК  118	УИК  119					
		62.36%	61.86%	68.70%	56.92%	60.54%	72.78%	46.75%	55.56%	58.49%	50.00%	61.20%	62.26%	64.38%	60.40%	59.23%	44.59%	54.05%	71.08%	56.95%	54.92%	46.90%	75.88%	75.71%	69.46%	69.88%	62.86%	72.04%	60.36%	54.81%	67.83%	57.92%	63.12%	62.17%	59.30%	52.61%	56.73%	72.56%	60.16%	73.15%	64.86%					
22	. Хакамада Ирина Муцуовна	364	11	0	1	6	4	8	4	8	1	12	3	4	3	5	4	4	5	13	4	2	3	3	4	10	3	4	5	3	37	41	19	29	14	17	17	7	6	10	30					
		2.46%	3.78%	0.00%	0.40%	1.16%	2.22%	2.08%	2.22%	2.16%	1.22%	3.28%	1.89%	1.10%	2.97%	1.38%	5.41%	5.41%	6.02%	5.83%	1.36%	1.77%	0.96%	4.29%	1.34%	2.47%	2.14%	1.32%	1.13%	2.88%	3.41%	4.11%	2.97%	2.81%	1.89%	1.97%	6.18%	1.63%	2.39%	1.22%	3.53%					
23	. Харитонов Николай Михайлович	3799	59	60	86	149	31	161	74	132	37	100	39	101	35	129	32	23	16	59	103	49	64	8	68	92	36	54	150	38	223	289	165	233	205	192	75	83	73	136	140					
		25.70%	20.27%	24.39%	33.99%	28.82%	17.22%	41.82%	41.11%	35.58%	45.12%	27.32%	24.53%	27.67%	34.65%	35.54%	43.24%	31.08%	19.28%	26.46%	34.92%	43.36%	20.58%	11.43%	22.82%	22.72%	25.71%	17.76%	33.78%	36.54%	20.55%	28.96%	25.78%	22.60%	27.63%	22.30%	27.27%	19.30%	29.08%	16.52%	16.45%					
																																														
24	Против всех	408	10	3	5	9	1	3	1	2	1	5	4	7	1	2	0	0	1	4	7	1	0	1	4	1	5	6	3	0	23	33	15	42	17	75	11	9	4	18	74					
		2.76%	3.44%	1.22%	1.98%	1.74%	0.56%	0.78%	0.56%	0.54%	1.22%	1.37%	2.52%	1.92%	0.99%	0.55%	0.00%	0.00%	1.20%	1.79%	2.37%	0.88%	0.00%	1.43%	1.34%	0.25%	3.57%	1.97%	0.68%	0.00%	2.12%	3.31%	2.34%	4.07%	2.29%	8.71%	4.00%	2.09%	1.59%	2.19%	8.70%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
