Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																											
Дата голосования: 04.12.2011																																																											
																																																											
Наименование Избирательной комиссии:    Тик по г. Черкесску																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	224	2	2	2	2	2	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	84	2	63	1	2	2	1	2	1	1	5	2	1	1	1	1	2	2	1	2	2	1	2	2	2					
		0.26%	0.09%	0.09%	0.09%	0.12%	0.12%	0.10%	0.08%	0.06%	0.09%	0.11%	0.10%	0.08%	0.07%	0.12%	0.07%	0.19%	0.06%	0.11%	0.08%	0.08%	0.07%	0.07%	0.08%	0.11%	0.07%	0.10%	0.07%	4.29%	0.12%	5.02%	0.10%	0.08%	0.09%	0.09%	0.09%	0.06%	0.10%	0.37%	0.08%	0.11%	0.07%	0.11%	0.07%	0.10%	0.11%	0.09%	0.10%	0.08%	0.07%	0.08%	0.10%	0.08%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	206	2	2	2	1	1	2	2	0	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	44	1	90	1	2	2	1	2	1	1	5	2	1	1	1	1	2	2	1	2	2	1	2	2	2					
		0.24%	0.09%	0.09%	0.09%	0.06%	0.06%	0.10%	0.08%	0.00%	0.09%	0.11%	0.10%	0.08%	0.07%	0.06%	0.07%	0.19%	0.06%	0.11%	0.08%	0.08%	0.07%	0.07%	0.08%	0.11%	0.07%	0.10%	0.07%	2.25%	0.06%	7.17%	0.10%	0.08%	0.09%	0.09%	0.09%	0.06%	0.10%	0.37%	0.08%	0.11%	0.07%	0.11%	0.07%	0.10%	0.11%	0.09%	0.10%	0.08%	0.07%	0.08%	0.10%	0.08%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	82	1	1	2	1	1	1	2	2	1	1	1	2	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	9	1	12	1	2	1	1	1	1	1	4	2	1	1	1	1	1	1	1	1	2	1	2	1	2					
		0.10%	0.04%	0.04%	0.09%	0.06%	0.06%	0.05%	0.08%	0.13%	0.09%	0.11%	0.05%	0.08%	0.07%	0.06%	0.07%	0.00%	0.06%	0.11%	0.08%	0.08%	0.07%	0.07%	0.08%	0.11%	0.07%	0.05%	0.07%	0.46%	0.06%	0.96%	0.10%	0.08%	0.05%	0.09%	0.05%	0.06%	0.10%	0.30%	0.08%	0.11%	0.07%	0.11%	0.07%	0.05%	0.05%	0.09%	0.05%	0.08%	0.07%	0.08%	0.05%	0.08%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	8044	243	213	182	160	153	194	233	132	103	86	180	237	194	152	136	45	153	80	128	109	123	134	151	89	145	196	136	193	160	99	89	242	197	100	184	144	89	126	242	83	131	90	129	185	171	100	192	228	125	235	184	239					
		9.39%	10.79%	9.34%	7.85%	9.38%	9.36%	9.34%	9.38%	8.57%	9.47%	9.38%	9.42%	9.29%	13.84%	9.46%	9.48%	8.65%	9.63%	8.59%	9.72%	9.01%	9.17%	9.36%	11.57%	9.46%	9.49%	9.37%	9.42%	9.86%	9.36%	7.88%	9.20%	9.25%	9.27%	9.18%	8.40%	9.24%	9.27%	9.31%	9.29%	9.19%	9.29%	9.71%	9.54%	9.21%	9.34%	9.23%	9.12%	9.33%	9.31%	9.35%	9.17%	9.49%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	123	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	44	1	17	1	2	1	1	1	1	1	5	2	1	1	1	1	1	1	1	1	2	1	2	1	2					
		0.14%	0.04%	0.04%	0.09%	0.06%	0.06%	0.05%	0.08%	0.06%	0.09%	0.11%	0.05%	0.08%	0.07%	0.06%	0.07%	0.19%	0.06%	0.11%	0.08%	0.08%	0.07%	0.07%	0.08%	0.11%	0.07%	0.05%	0.07%	2.25%	0.06%	1.35%	0.10%	0.08%	0.05%	0.09%	0.05%	0.06%	0.10%	0.37%	0.08%	0.11%	0.07%	0.11%	0.07%	0.05%	0.05%	0.09%	0.05%	0.08%	0.07%	0.08%	0.05%	0.08%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	76737	2001	2059	2125	1539	1475	1874	2242	1403	980	826	1719	2296	1203	1447	1292	471	1429	839	1184	1096	1188	1291	1149	847	1377	1885	1298	1571	1543	948	870	2365	1919	973	1979	1409	866	1204	2353	815	1269	832	1218	1807	1651	978	1905	2202	1212	2256	1787	2270					
		89.56%	88.85%	90.31%	91.71%	90.21%	90.21%	90.27%	90.22%	91.10%	90.07%	90.08%	90.00%	90.00%	85.81%	90.10%	90.10%	90.58%	89.99%	90.12%	89.90%	90.58%	88.59%	90.22%	88.05%	90.01%	90.12%	90.11%	89.89%	80.23%	90.23%	75.48%	89.97%	90.37%	90.35%	89.35%	90.32%	90.44%	90.21%	88.92%	90.29%	90.25%	90.00%	89.75%	90.09%	89.99%	90.22%	90.30%	90.50%	90.10%	90.31%	89.74%	89.04%	90.12%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	93	2	2	2	2	2	2	2	1	1	1	2	3	1	2	2	1	2	1	1	1	1	2	1	1	2	2	2	2	2	5	1	2	2	1	2	1	1	5	3	1	1	1	1	2	2	1	2	3	1	3	2	2					
		0.11%	0.09%	0.09%	0.09%	0.12%	0.12%	0.10%	0.08%	0.06%	0.09%	0.11%	0.10%	0.12%	0.07%	0.12%	0.14%	0.19%	0.13%	0.11%	0.08%	0.08%	0.07%	0.14%	0.08%	0.11%	0.13%	0.10%	0.14%	0.10%	0.12%	0.40%	0.10%	0.08%	0.09%	0.09%	0.09%	0.06%	0.10%	0.37%	0.12%	0.11%	0.07%	0.11%	0.07%	0.10%	0.11%	0.09%	0.10%	0.12%	0.07%	0.12%	0.10%	0.08%					
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
