Выборы Президента Российской Федерации																																																																																						
Дата голосования: 18.03.2018																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Орехово-Зуевская городская																																																																																						
																																																																																						
Сводная таблица итогов голосования																																																																																						
																																																																																						
	Число участковых избирательных комиссий	75																																																																																				
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	75																																																																																				
																																																																																						
		Сумма	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №2195	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2232	УИК №4228	УИК №4229	УИК №4230	УИК №4231									
1	"Число избирателей, включенных в список избирателей"	101377	1302	1566	1406	1663	1961	1457	714	1967	1524	1502	1316	1632	1751	1419	1390	1484	1248	1762	1634	1438	1376	1599	1561	1238	1624	1432	1641	1534	1510	1456	1480	1455	1305	1966	922	1187	1555	1504	1502	1684	1373	1740	1888	1801	1774	1469	1341	1312	1629	1791	1442	1331	1387	1014	1155	1463	1722	1350	1608	249	1779	485	258	276	819	820	2220	2288	338	419	1950	443	307	306	163									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	96355	1240	1580	930	1530	1860	1360	560	1840	1500	1600	1500	1540	1680	1330	1330	1440	1320	1500	1560	1350	1420	1450	1400	1280	1450	1370	1500	1420	1370	1430	1430	1630	1020	2080	950	1280	1380	1620	1420	1600	1230	1650	1770	1700	1670	1380	1220	1260	1560	1700	1400	1260	1310	880	1250	1400	1620	1230	1480	250	1560	450	200	250	740	710	2040	2120	280	380	1850	520	430	320	235									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	59943	928	961	816	908	915	786	345	935	949	1026	870	977	1006	821	762	805	856	1089	1181	898	1013	891	915	716	677	883	767	976	854	700	750	1092	787	1360	721	677	937	929	773	1012	828	987	1163	943	755	796	677	885	1117	1021	795	824	918	522	621	934	1018	805	958	208	858	294	167	207	483	378	1230	1377	217	248	1331	404	274	292	144									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3360	28	63	24	42	58	17	12	52	67	139	46	41	33	22	29	28	14	15	27	15	111	21	21	11	13	93	37	29	22	14	28	94	26	39	80	34	22	38	22	22	22	21	42	22	33	74	21	139	38	14	9	16	134	46	43	36	28	78	32	25	65	26	25	17	18	53	113	102	33	39	346	36	33	13	19									
6	Число погашенных избирательных бюллетеней	33052	284	556	90	580	887	557	203	853	484	435	584	522	641	487	539	607	450	396	352	437	296	538	464	553	760	394	696	415	494	716	652	444	207	681	149	569	421	653	625	566	380	642	565	735	882	510	522	236	405	665	596	420	258	312	586	430	574	347	490	17	637	130	8	26	239	279	697	641	30	93	173	80	123	15	72									
