Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва								
Дата голосования: 04.12.2011								
								
Наименование Избирательной комиссии:    Северо-Курильская								
								
Сводная таблица результатов выборов								
								
		Сумма	УИК №160					
1	"Число избирателей, внесенных в список избирателей"	2092	2092					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2000	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	16	16					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	1431	1431					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	60	60					
6	Число погашенных избирательных бюллетеней	493	493					
7	Число избирательных бюллетеней в переносных ящиках для голосования	76	76					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1431	1431					
9	Число недействительных избирательных бюллетеней	18	18					
10	Число действительных избирательных бюллетеней	1489	1489					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	46	46					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	8	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	38	38					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	4					
16	Число утраченных открепительных удостоверений	0	0					
17	Число утраченных избирательных бюллетеней	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0					
								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	174	174					
		11.55%	11.55%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	290	290					
		19.24%	19.24%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	10	10					
		0.66%	0.66%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	330	330					
		21.90%	21.90%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	33	33					
		2.19%	2.19%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	643	643					
		42.67%	42.67%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	9	9					
		0.60%	0.60%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
