Выборы Президента Российской Федерации																	
																	
Наименование Избирательной комиссии:    Осипенковская																	
																	
Итоги голосования 																	
																	
		Сумма	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694					
1	"Число избирателей, внесенных в список"	4519	104	85	46	521	647	167	1699	1041	77	132					
2	Число полученных избирательных бюллетеней	4600	111	92	47	520	673	172	1760	1010	82	133					
3	"Число избирательных бюллетеней, выданных  досрочно"	137	0	0	0	5	76	2	7	47	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	2998	89	74	42	386	364	127	1073	685	57	101					
5	"Число избирательных бюллетеней, выданных вне помещения"	413	4	8	0	45	74	4	142	113	7	16					
6	Число погашенных избирательных бюллетеней	1052	18	10	5	84	159	39	538	165	18	16					
7	Число избирательных бюллетеней в переносных ящиках	550	4	8	0	50	150	6	149	160	7	16					
8	Число бюллетеней в стационарных ящиках для голосования	2998	89	74	42	386	364	127	1073	685	57	101					
9	Число недействительных избирательных бюллетеней	44	0	0	0	2	7	0	18	14	2	1					
10	Число действительных избирательных бюллетеней	3504	93	82	42	434	507	133	1204	831	62	116					
11	Число полученных открепительных  удостоверений	148	5	4	3	17	29	10	50	20	5	5					
12	Число выданных открепительных удостоверений	117	5	0	0	17	29	9	46	11	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	54	3	2	3	7	4	4	14	16	1	0					
14	Число неиспользованных открепительных удостоверений	31	0	4	3	0	0	1	4	9	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	2	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																	
18	. Глазьев Сергей Юрьевич	159	6	1	1	10	23	3	56	52	0	7					
		4.48%	6.45%	1.22%	2.38%	2.29%	4.47%	2.26%	4.58%	6.15%	0.00%	5.98%					
19	. Малышкин Олег Александрович	118	0	2	0	14	19	0	44	29	2	8					
		3.33%	0.00%	2.44%	0.00%	3.21%	3.70%	0.00%	3.60%	3.43%	3.12%	6.84%					
20	. Миронов Сергей Михайлович	41	2	1	0	2	6	2	17	11	0	0					
		1.16%	2.15%	1.22%	0.00%	0.46%	1.17%	1.50%	1.39%	1.30%	0.00%	0.00%					
21	. Путин Владимир Владимирович	2466	70	68	36	335	351	109	758	612	43	84					
		69.50%	75.27%	82.93%	85.71%	76.83%	68.29%	81.95%	62.03%	72.43%	67.19%	71.79%					
22	. Хакамада Ирина Муцуовна	122	6	1	1	15	20	6	52	16	4	1					
		3.44%	6.45%	1.22%	2.38%	3.44%	3.89%	4.51%	4.26%	1.89%	6.25%	0.85%					
23	. Харитонов Николай Михайлович	423	7	8	3	38	61	12	182	87	11	14					
		11.92%	7.53%	9.76%	7.14%	8.72%	11.87%	9.02%	14.89%	10.30%	17.19%	11.97%					
																	
24	Против всех	175	2	1	1	20	27	1	95	24	2	2					
		4.93%	2.15%	1.22%	2.38%	4.59%	5.25%	0.75%	7.77%	2.84%	3.12%	1.71%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
