Выборы Президента Российской Федерации																																																																									
																																																																									
"Наименование Избирательной комиссии:    Нижний Новгород, Сормовская"																																																																									
																																																																									
Итоги голосования 																																																																									
																																																																									
		Сумма	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837					
1	"Число избирателей, внесенных в список"	144395	1465	1844	1422	2292	2669	2335	2564	1966	1946	2376	2971	2564	1991	2043	1809	1659	2408	1731	2416	2156	2265	2437	2118	1847	1982	1858	1925	1681	2007	1590	1295	1700	2643	2000	2784	2582	2361	2591	2701	3584	1638	1506	2269	2021	1808	1736	1840	2417	2144	2069	1987	2436	2220	1963	2438	2471	2060	2234	2611	2718	2928	2669	2251	2780	2698	1905					
2	Число полученных избирательных бюллетеней	141000	1400	1800	1400	2300	2600	2200	2500	1900	1900	2300	2800	2500	1900	2000	1800	1600	2400	1700	2400	2100	2200	2400	1800	1800	1900	1800	1900	1700	2000	1600	1300	1700	2600	2100	2700	2500	2400	2500	2500	3300	1600	1500	2200	2000	1800	1700	1800	2400	2100	2100	2000	2400	2200	1900	2400	2400	2000	2200	2600	2700	2800	2600	2200	2700	2600	1900					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	72083	667	842	527	1001	1303	1238	1001	793	985	1274	1436	1232	1001	1016	955	846	1174	843	1377	1169	1242	1382	1047	996	829	944	870	841	1021	892	698	892	1370	1100	1367	1207	887	1289	1305	2363	816	803	1122	1037	871	923	920	1138	1093	1100	974	1300	1141	841	1263	1292	1092	1029	1249	1327	1436	1284	1058	1468	1367	917					
5	"Число избирательных бюллетеней, выданных вне помещения"	2472	44	38	53	43	43	26	88	83	5	35	93	33	11	15	24	26	42	38	50	28	44	35	311	14	34	23	30	54	26	18	20	38	24	26	18	23	45	28	34	83	32	30	17	24	34	22	75	50	31	12	38	24	29	28	24	35	17	20	38	23	24	27	23	9	15	25					
6	Число погашенных избирательных бюллетеней	66445	689	920	820	1256	1254	936	1411	1024	910	991	1271	1235	888	969	821	728	1184	819	973	903	914	983	442	790	1037	833	1000	805	953	690	582	770	1206	974	1315	1270	1468	1183	1161	854	752	667	1061	939	895	755	805	1212	976	988	988	1076	1030	1031	1113	1073	891	1151	1313	1350	1340	1289	1119	1223	1218	958					
7	Число избирательных бюллетеней в переносных ящиках	2472	44	38	53	43	43	26	88	83	5	35	93	33	11	15	24	26	42	38	50	28	44	35	311	14	34	23	30	54	26	18	20	38	24	26	18	23	45	28	34	83	32	30	17	24	34	22	75	50	31	12	38	24	29	28	24	35	17	20	38	23	24	27	23	9	15	25					
8	Число бюллетеней в стационарных ящиках для голосования	72051	666	842	526	1001	1303	1238	1000	792	985	1274	1435	1232	1000	1016	954	845	1174	843	1377	1168	1242	1377	1047	992	827	944	870	841	1017	892	698	892	1370	1100	1367	1207	887	1287	1305	2363	816	803	1121	1037	871	923	920	1138	1092	1100	974	1300	1141	841	1263	1292	1092	1029	1248	1325	1436	1284	1058	1467	1367	917					
9	Число недействительных избирательных бюллетеней	290	4	0	1	10	2	10	8	10	3	6	7	1	0	0	2	2	2	4	12	6	5	8	9	0	2	5	3	3	5	3	3	3	3	3	6	4	6	7	7	4	6	4	4	3	2	7	2	3	2	7	5	3	5	4	5	0	3	2	6	5	9	10	4	2	8	0					
10	Число действительных избирательных бюллетеней	74233	706	880	578	1034	1344	1254	1080	865	987	1303	1521	1264	1011	1031	976	869	1214	877	1415	1190	1281	1404	1349	1006	859	962	897	892	1038	907	715	927	1391	1123	1379	1226	926	1308	1332	2442	842	829	1134	1058	903	938	993	1185	1121	1105	1007	1321	1165	865	1282	1327	1106	1047	1280	1343	1451	1301	1077	1474	1374	942					
11	Число полученных открепительных  удостоверений	1130	10	10	10	15	20	15	20	15	25	25	25	20	25	15	15	20	20	10	15	15	15	20	20	15	20	15	10	10	15	15	15	15	20	15	25	20	15	20	25	10	15	10	20	25	15	20	15	15	20	15	15	20	15	10	15	20	15	15	20	20	20	20	15	20	20	20					
12	Число выданных открепительных удостоверений	721	5	3	1	9	13	6	4	7	12	20	20	19	21	10	11	13	14	8	13	12	14	12	8	12	15	12	0	7	9	11	13	12	11	14	15	14	9	12	20	6	14	5	17	12	10	12	9	8	9	9	8	18	11	5	10	13	11	9	15	9	7	13	10	11	7	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	564	8	2	9	7	9	4	3	15	8	6	9	12	21	13	9	11	6	6	9	7	13	6	12	12	16	5	14	7	7	9	1	13	13	2	10	8	13	5	8	6	5	2	12	9	9	10	4	11	9	7	5	5	7	3	8	11	6	13	8	11	5	3	6	17	13	11					
