Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																		
Дата голосования: 04.12.2011																		
																		
Наименование Избирательной комиссии:    Вуктыльская городская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238					
1	"Число избирателей, внесенных в список избирателей"	13001	329	802	1931	1904	2196	1951	2200	265	234	907	282					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10804	250	680	1600	1650	1700	1600	1750	250	224	800	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	302	125	44	0	0	0	0	0	0	0	0	133					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9643	83	528	1493	1555	1594	1553	1666	208	137	723	103					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	428	12	43	59	43	53	40	74	12	11	50	31					
6	Число погашенных избирательных бюллетеней	431	30	65	48	52	53	7	10	30	76	27	33					
7	Число избирательных бюллетеней в переносных ящиках для голосования	730	137	87	59	43	53	40	74	12	11	50	164					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9642	83	528	1493	1554	1594	1553	1666	208	137	723	103					
9	Число недействительных избирательных бюллетеней	131	1	2	18	34	32	10	19	1	4	7	3					
10	Число действительных избирательных бюллетеней	10241	219	613	1534	1563	1615	1583	1721	219	144	766	264					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	242	5	25	37	30	30	20	30	10	15	30	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	212	5	23	31	24	28	18	22	9	15	27	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	163	25	7	20	19	42	9	12	3	3	5	18					
14	Число погашенных неиспользованных открепительных удостоверений	30	0	2	6	6	2	2	8	1	0	3	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	78	4	10	11	9	15	8	11	2	1	0	7					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	190	8	9	15	56	11	26	22	4	24	8	7					
		1.83%	3.64%	1.46%	0.97%	3.51%	0.67%	1.63%	1.26%	1.82%	16.22%	1.03%	2.62%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	964	16	74	115	131	210	132	175	16	24	59	12					
		9.29%	7.27%	12.03%	7.41%	8.20%	12.75%	8.29%	10.06%	7.27%	16.22%	7.63%	4.49%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	37	1	1	3	7	7	5	6	1	3	3	0					
		0.36%	0.45%	0.16%	0.19%	0.44%	0.43%	0.31%	0.34%	0.45%	2.03%	0.39%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	890	23	53	184	120	101	177	126	22	16	54	14					
		8.58%	10.45%	8.62%	11.86%	7.51%	6.13%	11.11%	7.24%	10.00%	10.81%	6.99%	5.24%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	52	1	3	4	10	9	8	7	1	4	5	0					
		0.50%	0.45%	0.49%	0.26%	0.63%	0.55%	0.50%	0.40%	0.45%	2.70%	0.65%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8060	169	473	1199	1234	1271	1223	1379	174	73	635	230					
		77.71%	76.82%	76.91%	77.26%	77.27%	77.17%	76.77%	79.25%	79.09%	49.32%	82.15%	86.14%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	48	1	0	14	5	6	12	6	1	0	2	1					
		0.46%	0.45%	0.00%	0.90%	0.31%	0.36%	0.75%	0.34%	0.45%	0.00%	0.26%	0.37%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
