Выборы Президента Российской Федерации											
											
Наименование Избирательной комиссии:    Озерная поселковая											
											
Итоги голосования 											
											
		Сумма	УИК  750	УИК  751	УИК  752	УИК  753					
1	"Число избирателей, внесенных в список"	8771	2216	1590	2506	2459					
2	Число полученных избирательных бюллетеней	8260	2050	1600	2310	2300					
3	"Число избирательных бюллетеней, выданных  досрочно"	291	29	209	25	28					
4	"Число избирательных бюллетеней, выданных в день голосования"	5814	1516	1013	1675	1610					
5	"Число избирательных бюллетеней, выданных вне помещения"	147	19	48	35	45					
6	Число погашенных избирательных бюллетеней	2008	486	330	575	617					
7	Число избирательных бюллетеней в переносных ящиках	437	48	256	60	73					
8	Число бюллетеней в стационарных ящиках для голосования	5806	1515	1011	1672	1608					
9	Число недействительных избирательных бюллетеней	43	7	6	15	15					
10	Число действительных избирательных бюллетеней	6200	1556	1261	1717	1666					
11	Число полученных открепительных  удостоверений	200	50	50	50	50					
12	Число выданных открепительных удостоверений	179	43	44	49	43					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	38	6	13	11	8					
14	Число неиспользованных открепительных удостоверений	21	7	6	1	7					
15	"Число открепительных удостоверений, выданных в ТИК"	15	3	5	2	5					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"											
18	. Глазьев Сергей Юрьевич	202	53	33	72	44					
		3.24%	3.39%	2.60%	4.16%	2.62%					
19	. Малышкин Олег Александрович	161	30	41	40	50					
		2.58%	1.92%	3.24%	2.31%	2.97%					
20	. Миронов Сергей Михайлович	34	6	7	12	9					
		0.54%	0.38%	0.55%	0.69%	0.54%					
21	. Путин Владимир Владимирович	4832	1201	1039	1291	1301					
		77.40%	76.84%	82.00%	74.54%	77.39%					
22	. Хакамада Ирина Муцуовна	185	46	30	46	63					
		2.96%	2.94%	2.37%	2.66%	3.75%					
23	. Харитонов Николай Михайлович	478	127	56	170	125					
		7.66%	8.13%	4.42%	9.82%	7.44%					
											
24	Против всех	308	93	55	86	74					
		4.93%	5.95%	4.34%	4.97%	4.40%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
