Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																	
Дата голосования: 18.09.2016																	
																	
Наименование Избирательной комиссии:    Бисертская поселковая																	
																	
Сводная таблица итогов голосования по федеральному избирательному округу																	
																	
		Сумма	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9022	917	2173	1646	1388	2635	263									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6800	700	1600	1200	1050	2000	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	18	0	0	10	0	8	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2750	175	702	584	396	767	126									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	215	28	34	27	48	66	12									
6	Число погашенных избирательных бюллетеней	3817	497	864	579	606	1159	112									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	233	28	34	37	48	74	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2748	175	702	584	396	765	126									
9	Число недействительных избирательных бюллетеней	76	7	24	12	9	23	1									
10	Число действительных избирательных бюллетеней	2905	196	712	609	435	816	137									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	282	34	65	50	50	65	18									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	107	12	14	7	20	52	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	27	2	5	2	4	5	9									
14	Число погашенных неиспользованных открепительных удостоверений	175	22	51	43	30	13	16									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	2	4	1	4	5	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0									
																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	30	2	3	6	8	8	3									
		1.01%	0.99%	0.41%	0.97%	1.80%	0.95%	2.17%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	103	7	24	25	14	33	0									
		3.46%	3.45%	3.26%	4.03%	3.15%	3.93%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	93	5	17	18	17	30	6									
		3.12%	2.46%	2.31%	2.90%	3.83%	3.58%	4.35%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1354	82	339	272	213	361	87									
		45.42%	40.39%	46.06%	43.80%	47.97%	43.03%	63.04%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	18	0	5	4	1	8	0									
		0.60%	0.00%	0.68%	0.64%	0.23%	0.95%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	0	0	0	1	2	1									
		0.13%	0.00%	0.00%	0.00%	0.23%	0.24%	0.72%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	461	33	101	88	78	140	21									
		15.46%	16.26%	13.72%	14.17%	17.57%	16.69%	15.22%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	5	0	0	1	1	3	0									
		0.17%	0.00%	0.00%	0.16%	0.23%	0.36%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	16	0	6	1	0	8	1									
		0.54%	0.00%	0.82%	0.16%	0.00%	0.95%	0.72%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	62	8	12	16	8	17	1									
		2.08%	3.94%	1.63%	2.58%	1.80%	2.03%	0.72%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	451	46	94	113	59	130	9									
		15.13%	22.66%	12.77%	18.20%	13.29%	15.49%	6.52%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	12	1	3	2	0	6	0									
		0.40%	0.49%	0.41%	0.32%	0.00%	0.72%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	296	12	108	63	35	70	8									
		9.93%	5.91%	14.67%	10.14%	7.88%	8.34%	5.80%									
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
