Выборы Президента Российской Федерации																																																																								
																																																																								
"Наименование Избирательной комиссии:    Ставрополь, Промышленная"																																																																								
																																																																								
Итоги голосования 																																																																								
																																																																								
		Сумма	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148					
20	. Миронов Сергей Михайлович	896	13	14	20	16	8	12	14	18	14	21	13	7	13	13	14	10	12	10	22	16	9	8	7	8	16	21	10	8	11	10	17	13	22	14	12	8	22	23	4	9	16	16	32	25	15	12	18	24	25	6	8	6	20	22	24	16	10	25	10	6	12	5	3	5	3					
		1.12%	0.82%	0.92%	1.22%	1.05%	0.88%	1.13%	0.90%	1.18%	1.33%	1.30%	1.21%	0.55%	0.81%	0.83%	1.86%	1.94%	0.81%	0.71%	1.67%	1.74%	0.70%	1.37%	0.78%	0.99%	0.98%	1.39%	0.64%	1.15%	1.54%	0.59%	1.89%	1.04%	1.73%	0.97%	0.82%	0.52%	1.57%	1.65%	0.25%	1.38%	1.03%	0.93%	1.71%	1.59%	0.91%	1.14%	1.20%	1.96%	1.72%	0.97%	0.72%	1.43%	1.26%	1.49%	1.38%	1.00%	0.72%	1.60%	0.69%	0.40%	1.29%	1.05%	1.29%	2.26%	1.69%					
21	. Путин Владимир Владимирович	53863	1105	1062	1135	1066	652	789	1069	1011	735	1083	700	785	1051	1010	485	340	1019	1154	856	583	796	379	596	538	984	952	1059	466	458	1153	627	787	813	938	953	996	893	906	1068	450	994	1139	1224	1074	1044	695	1038	803	951	435	864	276	1097	1024	1174	1091	920	1029	1031	1042	634	329	182	134	137					
		67.06%	69.41%	69.59%	69.38%	69.86%	71.33%	74.02%	68.48%	66.38%	69.87%	67.14%	65.36%	61.18%	65.81%	64.13%	64.58%	65.89%	68.99%	81.61%	65.14%	63.58%	61.56%	65.12%	66.08%	66.50%	60.37%	63.09%	67.58%	67.24%	64.06%	68.39%	69.74%	62.81%	63.97%	65.00%	64.92%	64.55%	63.60%	65.04%	66.46%	69.02%	63.76%	66.34%	65.38%	68.49%	63.66%	66.00%	69.02%	65.44%	65.36%	70.62%	77.98%	65.87%	69.34%	69.24%	67.39%	68.36%	66.67%	65.92%	71.15%	68.64%	68.17%	69.12%	78.45%	60.63%	77.40%					
22	. Хакамада Ирина Муцуовна	3875	65	66	62	74	38	36	55	64	40	68	53	96	89	90	39	23	66	39	74	39	72	34	51	39	100	90	66	38	39	82	40	67	70	85	62	60	61	67	81	36	70	107	92	94	99	37	71	59	59	24	33	23	83	57	93	90	76	58	72	83	50	13	3	6	7					
		4.82%	4.08%	4.33%	3.79%	4.85%	4.16%	3.38%	3.52%	4.20%	3.80%	4.22%	4.95%	7.48%	5.57%	5.71%	5.19%	4.46%	4.47%	2.76%	5.63%	4.25%	5.57%	5.84%	5.65%	4.82%	6.13%	5.96%	4.21%	5.48%	5.45%	4.86%	4.45%	5.35%	5.51%	5.89%	4.22%	3.89%	4.34%	4.81%	5.04%	5.52%	4.49%	6.23%	4.91%	5.99%	6.04%	3.51%	4.72%	4.81%	4.05%	3.90%	2.98%	5.49%	5.25%	3.85%	5.34%	5.64%	5.51%	3.72%	4.97%	5.47%	5.38%	2.73%	1.29%	2.71%	3.95%					
23	. Харитонов Николай Михайлович	11489	218	174	207	166	98	104	224	233	114	216	147	206	270	257	115	74	230	62	196	159	223	108	136	107	314	245	270	103	128	279	95	213	211	216	271	286	252	205	229	95	291	246	297	162	248	170	190	185	251	71	83	53	185	188	201	211	183	217	169	180	106	76	13	44	13					
		14.30%	13.69%	11.40%	12.65%	10.88%	10.72%	9.76%	14.35%	15.30%	10.84%	13.39%	13.73%	16.06%	16.91%	16.32%	15.31%	14.34%	15.57%	4.38%	14.92%	17.34%	17.25%	18.56%	15.08%	13.23%	19.26%	16.24%	17.23%	14.86%	17.90%	16.55%	10.57%	17.00%	16.60%	14.97%	18.46%	18.54%	17.95%	14.72%	14.25%	14.57%	18.67%	14.33%	15.87%	10.33%	15.12%	16.14%	12.63%	15.08%	17.25%	11.53%	7.49%	12.65%	11.69%	12.71%	11.54%	13.22%	13.26%	13.90%	11.66%	11.86%	11.40%	15.97%	5.60%	19.91%	7.34%					
																																																																								
24	Против всех	4078	71	66	77	83	46	44	88	70	56	90	57	60	59	90	32	33	75	93	69	58	80	20	43	43	86	81	57	30	24	68	33	76	57	80	69	81	68	56	90	19	77	76	88	83	102	48	88	49	65	36	52	26	95	77	98	98	76	95	76	91	52	25	13	9	5					
