Выборы Президента Российской Федерации																																																																				
																																																																				
Наименование Избирательной комиссии:    Ленинск-Кузнецкая городская																																																																				
																																																																				
Итоги голосования 																																																																				
																																																																				
		Сумма	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489					
1	"Число избирателей, внесенных в список"	79758	283	9	123	304	1725	1820	1328	1139	1790	1405	1290	1056	1186	1359	1264	444	1923	1273	1864	1476	867	1884	1652	1054	1005	1722	1066	1834	1111	1637	1997	940	839	1243	689	1689	809	1571	1046	1253	1238	1235	1376	948	691	1035	1884	1793	1594	1697	1337	1222	1322	2170	657	1722	1860	2073	1263	1691	1981					
2	Число полученных избирательных бюллетеней	77250	300	50	150	500	1800	1900	1200	1100	1700	1300	1300	1000	1100	1300	1200	400	1900	1700	1750	1400	800	1750	1700	950	900	1600	1000	1650	1000	1600	1800	900	800	1100	650	1650	750	1500	1000	1250	1250	1200	1350	900	850	1000	1800	1850	1550	1600	1250	1150	1200	2100	600	1600	1750	2100	1250	1600	1900					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	49737	283	9	123	304	860	1287	825	569	1214	786	798	675	635	1033	648	245	1128	1195	1187	945	409	1062	1081	761	582	968	781	1235	735	990	1458	345	535	775	319	1259	354	963	633	850	838	549	736	448	408	598	1225	1452	861	982	715	870	903	1494	278	1076	989	1202	828	1191	1250					
5	"Число избирательных бюллетеней, выданных вне помещения"	7886	0	0	0	0	117	62	67	239	49	73	125	96	49	94	71	123	248	78	138	102	218	189	209	80	59	81	35	85	56	115	69	256	111	145	221	121	103	104	79	101	160	257	189	239	100	241	123	108	209	225	132	110	112	94	194	253	266	278	141	79	208					
6	Число погашенных избирательных бюллетеней	19626	17	41	27	196	823	551	308	292	437	441	377	229	416	173	481	32	524	427	425	353	173	499	410	109	259	551	184	330	209	495	273	299	154	180	110	270	293	433	287	299	252	394	425	213	342	161	452	290	480	393	403	170	185	512	128	271	495	620	281	330	442					
7	Число избирательных бюллетеней в переносных ящиках	7886	0	0	0	0	117	62	67	239	49	73	125	96	49	94	71	123	248	78	138	102	218	189	209	80	59	81	35	85	56	115	69	256	111	145	221	121	103	104	79	101	160	257	189	239	100	241	123	108	209	225	132	110	112	94	194	253	266	278	141	79	208					
8	Число бюллетеней в стационарных ящиках для голосования	49736	283	9	123	304	860	1287	825	569	1214	786	798	675	635	1033	648	245	1128	1195	1187	945	409	1062	1081	761	582	968	781	1235	735	990	1458	345	535	775	319	1259	354	963	632	850	838	549	736	448	408	598	1225	1452	861	982	715	870	903	1494	278	1076	989	1202	828	1191	1250					
9	Число недействительных избирательных бюллетеней	451	4	0	0	0	9	8	8	3	7	11	19	4	2	37	5	1	7	7	4	35	5	30	7	4	4	7	3	7	17	2	6	5	5	0	3	9	5	7	6	3	0	3	0	0	3	7	12	4	0	4	19	4	4	14	2	15	9	2	2	22	19					
10	Число действительных избирательных бюллетеней	57171	279	9	123	304	968	1341	884	805	1256	848	904	767	682	1090	714	367	1369	1266	1321	1012	622	1221	1283	837	637	1042	813	1313	774	1103	1521	596	641	920	537	1371	452	1060	705	948	998	803	925	687	505	832	1336	1556	1070	1203	828	976	1011	1574	470	1314	1246	1478	967	1248	1439					
