Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Акбулакская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129					
1	"Число избирателей, внесенных в список"	20059	2246	2020	2662	2437	912	186	192	319	140	139	104	521	106	287	96	569	109	85	104	357	90	168	497	50	37	452	427	85	261	613	134	486	854	110	38	101	73	218	462	90	109	598	77	438					
2	Число полученных избирательных бюллетеней	21197	2280	2036	2800	2700	1000	200	210	331	140	145	160	510	110	310	110	560	112	86	110	370	107	188	525	68	37	452	438	85	280	653	134	508	968	131	42	129	95	227	481	99	139	589	83	459					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14160	1165	1070	1529	1405	553	178	139	252	113	109	104	372	82	255	84	538	105	77	102	299	72	140	403	50	34	338	410	82	222	535	128	398	712	85	37	99	73	177	400	87	100	569	75	403					
5	"Число избирательных бюллетеней, выданных вне помещения"	1107	135	118	186	147	84	3	52	0	0	0	0	65	16	9	6	21	2	0	0	23	0	6	22	0	0	5	0	0	39	30	0	51	64	14	0	0	0	9	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	5930	980	848	1085	1148	363	19	19	79	27	36	56	73	12	46	20	1	5	9	8	48	35	42	100	18	3	109	28	3	19	88	6	59	192	32	5	30	22	41	81	12	39	20	8	56					
7	Число избирательных бюллетеней в переносных ящиках	1107	135	118	186	147	84	3	52	0	0	0	0	65	16	9	6	21	2	0	0	23	0	6	22	0	0	5	0	0	39	30	0	51	64	14	0	0	0	9	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	14160	1165	1070	1529	1405	553	178	139	252	113	109	104	372	82	255	84	538	105	77	102	299	72	140	403	50	34	338	410	82	222	535	128	398	712	85	37	99	73	177	400	87	100	569	75	403					
9	Число недействительных избирательных бюллетеней	155	11	16	13	11	2	2	5	1	0	9	1	0	0	1	0	7	3	2	0	5	0	1	3	1	0	6	10	1	2	8	1	2	8	0	0	2	0	3	6	0	0	5	0	7					
10	Число действительных избирательных бюллетеней	15112	1289	1172	1702	1541	635	179	186	251	113	100	103	437	98	263	90	552	104	75	102	317	72	145	422	49	34	337	400	81	259	557	127	447	768	99	37	97	73	183	394	87	100	564	75	396					
11	Число полученных открепительных  удостоверений	500	26	16	41	23	8	7	7	6	7	7	7	16	7	16	5	6	7	7	7	16	7	7	16	7	7	16	16	7	7	26	7	16	17	7	7	7	6	16	6	7	7	16	7	16					
12	Число выданных открепительных удостоверений	225	26	10	40	20	5	1	0	1	1	0	1	1	1	12	5	4	0	0	0	1	0	0	7	0	0	5	5	0	7	26	2	15	17	0	0	0	0	2	2	0	0	5	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	68	9	2	11	10	0	2	1	1	3	0	0	2	1	2	1	1	2	0	1	0	0	0	0	0	0	0	0	1	0	3	1	0	3	1	0	1	1	0	5	1	0	1	1	0					
